,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,福客來牛肉麵 (彰化大竹店),g9bk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.5375722503980773,328
1,炸魂雞排 (彰化彰南店),z6ta,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.7218121413576912,1840
2,TEATOP 第一味 (彰化彰南店),ppn5,2,['飲料'],False,19.0,79.0,20.0,5.0,2.6401750718567056,238
3,可不可熟成紅茶 (彰化彰南店),nqcp,1,['飲料'],False,19.0,79.0,20.0,5.0,2.616041512580133,575
4,大苑子 (彰化大竹店),z6as,2,['飲料'],False,19.0,79.0,20.0,5.0,2.5220939050637727,2156
5,溱頌什錦麵,ze2t,1,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.7020354840872614,59
6,粥公麵婆 (彰化彰南店),c214,2,"['粥', '台式']",False,19.0,79.0,20.0,5.0,2.6916228933194266,170
7,85度C (彰化大竹店),a8kv,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,2.358498982509643,1148
8,小仁泉極品豆漿 (彰化大竹店),lasm,2,['甜點'],False,19.0,79.0,20.0,5.0,2.4471215211745276,38
9,快樂鳥網路電競館 (彰化師大店),a0c8,2,['台式'],False,19.0,79.0,30.0,10.0,4.346952463474848,53
10,下站帖 (彰化彰南店),zl21,2,['飲料'],False,19.0,79.0,20.0,5.0,2.9952888790476297,177
11,弘爺漢堡 (彰化文臻店),e3bd,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.6760026188240538,1501
12,Morni莫尼早餐 (彰化彰南店),a9mp,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.645827792371001,3018
13,麻吉早午餐,x9ce,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.798512599627174,790
14,拉亞漢堡 (彰化牛埔店),q9wr,1,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,0.8053566730252789,236
15,超豐蔬果,rlaa,2,['健康餐'],False,19.0,79.0,40.0,15.0,0.9722250011051766,49
16,悟饕池上飯包 (彰化大竹店),r299,2,"['便當', '台式']",False,19.0,79.0,40.0,15.0,2.725898831687438,315
17,八方雲集 (彰化台鳳店),ohxh,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,0.727801753541172,106
18,春風稻鐵板燒丼飯 (彰化大竹店),pf6g,2,['日式'],False,19.0,79.0,40.0,15.0,2.101859980139928,227
19,炒飯媽媽,mcl1,2,['台式'],False,19.0,79.0,40.0,15.0,0.5775817828638355,61
20,Weight減五磅 (大竹店),a5lj,2,"['便當', '健康餐']",False,19.0,79.0,40.0,10.0,2.854195484458299,899
21,人情味蚵仔煎,m6eq,2,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,2.544752162497442,499
22,智盛燒臘便當,swlc,2,"['便當', '港式']",False,19.0,79.0,40.0,15.0,2.5762765420463967,1165
23,焱林鐵板料理,djjr,2,"['鐵板燒', '台式']",False,19.0,79.0,40.0,15.0,3.125730832995838,378
24,PA PA PASTA (彰化彰南店),z0qw,2,"['歐美', '麵食']",False,19.0,79.0,40.0,10.0,2.2111870021691282,1375
25,清心福全 (彰化一心店),v6ut,1,['飲料'],False,19.0,79.0,40.0,15.0,0.8095116354227386,736
26,五邁鄉茶菁文化舍 (彰化彰南店),j5or,2,['飲料'],False,19.0,79.0,40.0,15.0,2.691223938984177,36
27,珍北平豬肉餡餅 (彰化彰南店),p6pc,2,['小吃'],False,19.0,79.0,40.0,15.0,2.7296229784955526,337
28,藏蜜手作烘培坊,z4dm,1,"['甜點', '蛋糕']",False,19.0,79.0,40.0,10.0,2.2817767715664923,4
29,熊香割包大王,ajl7,2,['小吃'],False,19.0,79.0,40.0,15.0,3.116681054195338,123
30,展新牛排,gmq7,2,"['台式', '牛排']",False,19.0,79.0,40.0,15.0,0.6970622729165282,214
31,裕新嘉義火雞肉飯 (彰化中山店),z4es,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,10.0,3.99281530322346,3238
