,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (彰化花壇店),zimg,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,10.0,5.0,0.32593319809674515,243
1,胖老爹美式炸雞 (彰化花壇店),b2dj,2,"['歐美', '炸雞']",False,15.0,79.0,15.0,15.0,0.4560940577453664,1436
2,傻師傅湯包 (彰化花壇店),l94y,2,"['中式', '餃子']",False,15.0,79.0,15.0,10.0,0.4560940577453664,218
3,麥當勞 (S241 花壇中山店),x7gu,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.38160041868334776,6637
4,砰砰雞 (花壇店),f5gy,2,"['歐美', '炸雞']",False,15.0,79.0,10.0,10.0,0.3009156878309964,1273
5,炸魂雞排 (彰化花壇店),xvc8,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.37852066647856003,287
6,萬波島嶼紅茶 (彰化花壇店),flb8,2,['飲料'],False,19.0,79.0,10.0,5.0,0.30816779438362973,92
7,四海遊龍 (彰化學前店),f0bk,2,"['台式', '餃子']",False,15.0,79.0,15.0,10.0,0.2672919462004442,1552
8,可不可熟成紅茶 (彰化花壇店),vts1,1,['飲料'],False,15.0,79.0,10.0,5.0,0.3698285071135497,820
9,爆Q美式炸雞 (花壇學前店),f7vh,2,"['歐美', '炸雞']",False,15.0,79.0,15.0,10.0,0.0839301115670327,1579
10,阿呆滷味 (彰化花壇店),hegn,2,['小吃'],False,15.0,79.0,10.0,5.0,0.3684675300073425,166
11,Pizza Hut必勝客 (彰化花壇店),o3td,2,"['披薩', '歐美']",True,19.0,79.0,15.0,10.0,0.36439506063747823,1435
12,干丹小吃臭豆腐,rknb,2,"['湯品', '小吃']",False,15.0,79.0,10.0,5.0,0.5834614614661822,115
13,迷客夏 Milksha (彰化花壇店),h9nd,2,['飲料'],False,15.0,79.0,10.0,5.0,0.3695930558115106,1061
14,大苑子 (花壇店),f3zl,2,['飲料'],False,15.0,79.0,10.0,5.0,0.06363103602554859,1375
15,85度C (彰化花壇店),s2mj,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,10.0,5.0,0.34576704071350367,688
16,流口水豆乳雞 (彰化花壇店),h5nd,2,"['小吃', '炸雞']",False,15.0,79.0,10.0,5.0,0.30950216653107476,326
17,大廟口碳烤鹹酥雞烤肉飯總店直營店 (彰化花壇店),nwdr,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,10.0,0.2683968409192824,12
18,二鍋頭東山鴨頭 (彰化花壇店),z82j,2,['小吃'],False,15.0,79.0,10.0,10.0,0.24951814025462324,34
19,回味一鍋,i2zq,2,"['火鍋', '台式']",False,19.0,79.0,10.0,5.0,0.42806423150685835,250
