,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,曲肯叔叔美式炸雞 (台南永康店),hu1r,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,3.0881850580056125,7
1,小東門咖喱 (台南東興店),wbee,2,"['咖哩', '日式']",False,19.0,79.0,15.0,5.0,0.8394436603596237,242
2,肯德基KFC炸雞漢堡店 (台南東門店),z7pr,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,15.0,5.0,0.8346561933484622,3574
3,胖老爹美式炸雞 (台南東寧店),m8pq,2,"['歐美', '炸雞']",True,19.0,79.0,25.0,15.0,0.8483567794062573,1807
4,黑盤PASTA崑山店,d50h,2,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,3.3242176831960055,901
5,京享鐵板燒 (台南忠義店),jb6h,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.1291396742354163,2105
6,臭灶脚-東寧店 台北深坑清蒸麻辣臭豆腐,z7ho,2,['台式'],False,19.0,79.0,15.0,5.0,0.437585393537036,4248
7,鶴茶樓 (台南金華店),yyhs,1,['飲料'],False,19.0,79.0,25.0,5.0,3.5333359009700787,113
8,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.3797825140533226,2642
9,叮哥茶飲 (台南民族店),l27v,2,['飲料'],False,19.0,79.0,20.0,5.0,1.8438621985833166,84
10,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,20.0,5.0,2.8941695501256297,5843
11,有豐鐵板燒,kt9p,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.5271314055779757,16
12,石頭鄉燜烤玉米保安路35年老店,qwff,2,['小吃'],False,19.0,79.0,25.0,10.0,2.867967604404587,19
13,235巷義大利麵 (台南站前店),y2gu,2,"['歐美', '麵食']",False,19.0,79.0,30.0,15.0,1.3018831987833164,7232
14,東洲黑糖奶鋪 (台南總店),b4jb,2,['飲料'],False,19.0,79.0,15.0,5.0,0.41692960893390724,2645
15,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,2.8598562452966183,255
16,一九九九茶水灘小吃店,v861,2,['中式'],False,19.0,79.0,20.0,5.0,1.5927053776658677,65
17,夢東籬餐廳,tcxg,2,['台式'],False,19.0,79.0,15.0,5.0,0.5106233889662304,66
18,秘密義大利麵,azcu,2,['歐美'],False,19.0,79.0,20.0,10.0,1.5000692861633131,54
19,豐源上好吃牛肉麵,ypij,2,"['麵食', '台式']",False,19.0,79.0,20.0,5.0,3.0018906786405557,68
20,永林綜合料理,qx90,3,['台式'],False,19.0,79.0,20.0,5.0,1.5927287046663667,36
21,板塊牛排 (台南文賢店),okjm,2,"['歐美', '牛排']",False,19.0,79.0,25.0,5.0,3.931626825253098,66
22,家鄉的八寶冰,vbla,2,['台式'],False,19.0,79.0,20.0,5.0,3.2428895313302797,101
23,黑丸嫩仙草 (台南健康店),z7fk,2,['甜點'],True,19.0,79.0,25.0,10.0,2.608086093382245,646
24,哞熹哞熹 (台南總店),b8zj,2,['甜點'],False,19.0,79.0,25.0,5.0,2.681037618532221,213
25,8818比薩屋 (台南永康店),y8xj,3,"['披薩', '歐美']",False,19.0,79.0,25.0,5.0,2.8324360702710987,935
