,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,宮本武丼 (新北板橋分店),jfuo,2,['日式'],False,29.0,79.0,25.0,5.0,1.1837870853516401,173
1,炬日式烤肉飯 (板中店),f3wn,2,"['便當', '日式']",False,29.0,79.0,30.0,15.0,0.22662792886529412,4212
2,三合苑炒飯炒麵,i222,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,1.2704350559588906,1195
3,胖老爹美式炸雞 (板橋民權店),y5uj,2,"['歐美', '炸雞']",True,29.0,79.0,30.0,15.0,0.6632352622077422,1747
4,肯德基KFC炸雞漢堡店 (板橋中山二店),y7pf,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,25.0,5.0,1.3524302452575008,5766
5,三合苑手工豆花,h9ob,2,['甜點'],False,29.0,79.0,25.0,10.0,1.2738766824955714,2731
6,德心湯包.排骨酥,d9us,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,3.657282129761589,3852
7,大華蚵仔煎滷肉飯,e3fu,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,4.068245701141944,1791
8,鐘予原味當歸鴨 (新北忠孝店),z2zg,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,2.197554274765738,10867
9,聚鼎閣極品養生膳坊(新北板橋店),fxzy,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,1.3246417200214196,325
10,56巷口湯包,p493,2,['中式'],False,29.0,79.0,25.0,10.0,1.3096356032575243,97
11,頂呱呱TKK (新北新埔店),jlkg,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,10.0,1.4693193111302796,325
12,大阪王將 (環球購物中心板橋車站),zd05,2,"['餃子', '日式']",False,29.0,79.0,40.0,20.0,1.2417985086185854,227
13,如意擔仔麵,lowz,2,"['麵食', '台式']",False,29.0,79.0,35.0,15.0,2.5266968519174307,73
14,眼鏡仔豬血湯,g3lj,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,1.5545604309015884,7680
15,後站羊肉.魷魚羹,x9zg,2,"['麵食', '台式']",False,29.0,79.0,25.0,5.0,2.174717555549045,1789
16,新の埔居酒屋,u7c2,3,['日式'],False,29.0,79.0,25.0,10.0,1.3527231988324375,122
17,重量級牛排館,zsmr,2,"['湯品', '歐美', '牛排']",False,29.0,79.0,30.0,5.0,2.725294066104038,73
