,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (土城中央店),g4br,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,30.0,5.0,0.4300479883257358,1779
1,孫東寶 (土城中央店),kaxs,3,"['台式', '牛排']",False,29.0,79.0,35.0,10.0,0.6465705208140541,610
2,Burger King 漢堡王 (新北土城店),n3w5,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,5.0,0.36824054386015337,3119
3,大苑子 (土城中央店),z6gj,2,['飲料'],False,29.0,79.0,30.0,5.0,0.2857476718147956,2191
4,鮮自然 (土城裕民門市),ha2x,1,['飲料'],False,29.0,79.0,35.0,5.0,1.826986511893407,95
5,頂呱呱TKK (土城裕民店),b4z2,2,"['歐美', '炸雞']",False,29.0,79.0,35.0,5.0,1.804727302510821,163
6,麥當勞 (S143 土城中央店),o6yx,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.4536898802705456,8241
7,老客馥粥品專賣連鎖 (土城中央店),z7vq,2,"['粥', '台式']",False,29.0,79.0,30.0,5.0,0.1608245456585145,2482
8,鬍鬚張魯肉飯 (土城裕民店),y5pw,2,"['便當', '台式']",False,29.0,79.0,35.0,5.0,1.8058361548607573,5059
9,八方雲集 (土城中央店),b8cj,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,0.3766468775763939,1586
10,八鍋聯軍百元湯鍋 新北土城店 (原阿里88香香鍋),z1sh,2,"['火鍋', '台式']",False,29.0,79.0,40.0,20.0,0.3576976403921134,2483
11,潮味決．湯滷專門店 (土城中央分社),lrme,2,['台式'],False,29.0,79.0,30.0,5.0,0.33948708421727164,683
12,(極)黃燜雞米飯 (土城裕民店),e1l6,2,['中式'],False,29.0,79.0,35.0,5.0,1.8892254476705623,757
13,泰之雲泰式料理,p9co,2,['東南亞'],False,29.0,79.0,30.0,5.0,0.8401372492320117,1073
14,開源社香雞排 (新北中央店),a4gg,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,0.15847959424629005,1103
15,大正鐵板燒,ay30,2,"['鐵板燒', '台式']",False,29.0,79.0,30.0,5.0,0.40828106016973165,357
16,馬提火鍋茶飲外帶專賣店,o5ye,2,"['火鍋', '台式']",False,29.0,79.0,40.0,20.0,0.4971186589219226,1874
17,五桐號Wootea (土城學府店),gfmk,2,['飲料'],False,29.0,79.0,35.0,5.0,1.784588000158062,490
18,清心福全 (土城員福店),z6pl,2,['飲料'],False,29.0,79.0,30.0,5.0,1.294857723181417,2331
19,蔡家小館,vk10,2,"['湯品', '台式']",False,29.0,79.0,30.0,5.0,0.3065343266810969,45
20,四方阿九滷肉飯 (新北土城店),a1xz,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,2.0833476701164484,4817
21,東呷牛肉麵 (新北土城店),p3hn,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.30129578406776397,1166
22,SUBWAY (土城中央店),t6tr,2,['歐美'],False,29.0,79.0,30.0,10.0,0.3359090232967565,15
23,三商巧福 (4228土城店),j05g,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.3358927498925733,872
24,愛麵族,c7nn,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.23817351151871963,554
25,兩支北方麵食館 (土城總店),a3dc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,35.0,5.0,1.8305404235905967,2230
26,珍煮丹 (土城中央店),rg5a,2,['飲料'],False,29.0,79.0,30.0,5.0,0.789926855763651,796
27,Pizza Hut必勝客 (土城中央店),z5nc,2,"['披薩', '歐美']",False,29.0,79.0,35.0,10.0,0.20204164660932514,2004
28,興隆豆漿店,u0vv,2,['小吃'],False,29.0,79.0,30.0,5.0,1.3597079507377923,2209
29,台灣蒸美食,whl3,2,"['便當', '台式']",True,29.0,79.0,30.0,5.0,0.27267734384908454,563
30,太原豆漿,zqox,2,['小吃'],False,29.0,79.0,30.0,5.0,0.7152471843268179,316
31,拿坡里 (土城店8122),y0w9,3,"['披薩', '歐美', '炸雞']",False,29.0,79.0,35.0,10.0,0.28793185004785443,799
32,Golden營養三明治,j1iz,2,"['台式', '三明治 / 吐司']",False,29.0,79.0,30.0,5.0,0.76216450006671,1051
33,Tea’s原味 (土城中央店),v2ii,2,['飲料'],False,29.0,79.0,30.0,5.0,1.4105445748150076,1380
34,摩斯漢堡Mos Burger (土城永寧店),a7eh,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,0.825741676151783,3154
35,麗媽香香鍋 (新北土城中央店),a6vc,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.3083345025685709,2748
36,築夢雞排,z5ma,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,1.4607707764917672,1156
37,建誼滷味土城 (新北永寧店),o4ya,2,['小吃'],False,29.0,79.0,30.0,10.0,0.7850331099313965,405
38,龍恩焢肉飯 (新北裕民店),y6nx,2,['台式'],False,29.0,79.0,35.0,5.0,1.788673717875323,5088
39,豚將日本拉麵 (新北土城店),z0cn,2,"['麵食', '日式']",False,29.0,79.0,35.0,5.0,1.5729688273716091,1189
40,阿淯宵夜點心,ecps,2,['小吃'],False,29.0,79.0,30.0,10.0,0.2736783732376978,133
41,一九一切仔麵 (台式麵食切菜小吃),n0ps,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.4158322463485984,996
42,胖老爹美式炸雞 (土城海山店),y9yy,2,"['歐美', '炸雞']",True,29.0,79.0,40.0,15.0,1.7261720132712894,3109
43,清原芋圓 (土城中央店),kyuj,2,['甜點'],False,29.0,79.0,40.0,15.0,0.5051280395835717,403
44,柒奉堂［韓式炸雞、鍋物］,hjwr,2,"['韓式', '炸雞']",False,29.0,79.0,30.0,5.0,0.6191489442143036,66
45,鍋台銘 (土城裕民店),u1dz,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.7437710575486864,2176
