,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (大直外送店),y3wp,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,0.5431277839072729,1493
1,作伙滷肉飯 X 無限廚房 (台北內湖店),op0d,2,"['湯品', '便當', '台式']",False,29.0,79.0,35.0,10.0,2.7165248843727783,2215
2,職人雙饗丼 (中山實踐店),d4xp,2,['日式'],False,29.0,79.0,25.0,5.0,0.48360415778766636,1139
3,可不可熟成紅茶 (台北大直店),ekzr,2,['飲料'],False,29.0,79.0,25.0,5.0,0.49568308075141465,616
4,尚鼎鐵板燒,f6yn,2,"['鐵板燒', '台式']",False,29.0,79.0,25.0,5.0,0.31511909601261723,810
5,天天分饗小火鍋 X 無限廚房 (台北內湖店),ynoe,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,2.7188762933324226,1226
6,百盛咖哩 (台北實踐店),aq5d,3,"['咖哩', '日式']",False,29.0,79.0,25.0,10.0,0.4790668764783844,36
7,萬波島嶼紅茶 (台北大直店),vw5j,2,['飲料'],False,29.0,79.0,25.0,5.0,0.48879410302635756,217
8,胖2鍋物,wvk2,2,"['火鍋', '咖哩', '台式']",False,29.0,79.0,45.0,25.0,1.5140892560159753,11
9,清心福全 (台北大直店),s9ql,2,['飲料'],False,29.0,79.0,25.0,5.0,0.36351954506817274,660
10,新東羊羊肉料理專賣店,sa4o,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,1.5115927898234887,45
11,森鱻生猛活海鮮,ukrw,3,['台式'],False,29.0,79.0,35.0,10.0,2.1955663319845766,29
12,台灣鹽酥雞 (大直總店),us6t,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,0.3695418335879814,898
13,大直晴光豆花,mekc,2,['甜點'],False,29.0,79.0,35.0,15.0,0.39337541575236556,44
14,22:02火鍋 (美麗華店),ao2e,2,"['火鍋', '台式']",False,29.0,79.0,55.0,30.0,1.591943312913817,115
15,すき家 Sukiya (大直北安店),r9yw,2,"['便當', '日式']",False,29.0,79.0,25.0,5.0,0.7272248005598093,2693
16,桶一天下 (台北大直店),f0if,2,['小吃'],False,29.0,79.0,25.0,10.0,0.4076253726283754,1487
17,麥當勞 (S249 台北北安店),p9da,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.7329900458766676,4208
18,八方雲集 (台北北安店),s00t,2,"['台式', '餃子']",True,29.0,79.0,25.0,5.0,0.4483714085666523,748
19,義麵坊,a5mc,3,"['歐美', '麵食']",False,29.0,79.0,25.0,5.0,0.5809196933513746,966
20,老師！雞 韓國料理、調味炸雞 (台北大直店),nxzm,2,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,0.49375957067371884,87
21,鬍鬚張魯肉飯 (大直北安店),y8vz,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,0.7864427025370827,2925
22,胖老爹美式炸雞 (台北大直店),z3sp,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,0.4677404446929066,1806
23,雙和豆漿 (台北龍江店),q9ks,2,['小吃'],False,29.0,79.0,30.0,5.0,1.5398666174676672,2269
24,周胖子(台北大直店),xwb5,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,0.812492575287363,626
25,岡山正味羊肉,r815,2,"['湯品', '麵食', '火鍋', '台式']",False,29.0,79.0,40.0,20.0,1.5080460029671787,517
26,I’m pasta (台北大直店),flmc,2,"['歐美', '麵食']",False,29.0,79.0,25.0,10.0,0.49778213122651654,69
27,好奇營養豆花 (台北大直店),vopb,2,['甜點'],False,29.0,79.0,30.0,10.0,0.5160436963178642,180
28,川味老郭牛肉麵.水餃,b9oe,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.4870772304769966,990
29,開源社香雞排 (台北北安店),x3ya,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,0.5155179537467617,814
30,三顧茅廬 (大直北安店),k2i0,2,['小吃'],False,29.0,79.0,25.0,5.0,0.6242747295460563,89
31,50嵐 (台北實踐店),j0ww,2,['飲料'],False,29.0,79.0,25.0,5.0,0.5453547357216635,939
32,舞紅花鐵板燒 (ATT e Life),f6tb,2,"['鐵板燒', '台式']",False,29.0,79.0,30.0,5.0,1.2995977836878538,525
33,馬祖麵館 (台北錦州店),i5fd,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,2.1247591733323614,1427
34,Ｗeilagirl微辣女孩 螺螄粉酸辣粉專賣,p1su,2,['小吃'],False,29.0,79.0,30.0,5.0,1.5083712978617523,472
35,搖滾披薩Pizza Rock (台北大直店),m7ia,3,"['披薩', '歐美']",False,29.0,79.0,25.0,5.0,0.6078326104340336,409
36,京典越南美食,y0ex,2,"['湯品', '麵食', '東南亞']",False,29.0,79.0,25.0,5.0,0.3173419418488559,794
37,芳珍蔬食-素食專賣(中山復民店),koqf,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,1.9794086923329608,83
38,劉震川韓潮吧 (ATT e Life),scp2,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,1.310216953633173,479
39,星島海南雞飯 (台北龍江店),a5tw,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,1.509417945981964,1618
40,迷客夏 Milksha (臺北大直店),zgnc,2,['飲料'],False,29.0,79.0,30.0,10.0,0.6381179956534944,186
41,大戶屋 (台北美麗華店),h2dy,3,"['便當', '日式']",False,29.0,79.0,30.0,10.0,1.4869516394584628,679
42,珍美味火雞肉飯 (台北龍江店),pnrh,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,1.5074729323314122,254
43,邱太太甜品坊,g0oq,2,['甜點'],False,29.0,79.0,30.0,10.0,1.42400620221269,62
44,Subway (台北大直店),slwz,2,['歐美'],False,29.0,79.0,25.0,5.0,0.47934226540456465,17
45,摩斯漢堡Mos Burger (台北實踐大學店),f8cj,2,"['漢堡', '日式']",False,29.0,79.0,35.0,15.0,0.5709938921516113,944
46,日船章魚小丸子 (台北龍江店),y4cy,1,['日式'],True,29.0,79.0,30.0,5.0,1.5246275304807502,1148
47,李掌櫃精緻麵食館,y6id,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,2.3160036284023424,1287
48,作伙滷肉飯 X 無限廚房 (台北內湖店),op0d,2,"['湯品', '便當', '台式']",False,29.0,79.0,35.0,10.0,2.7165248843727783,2215
49,職人雙饗丼 (中山實踐店),d4xp,2,['日式'],False,29.0,79.0,25.0,5.0,0.48360415778766636,1139
50,可不可熟成紅茶 (台北大直店),ekzr,2,['飲料'],False,29.0,79.0,25.0,5.0,0.49568308075141465,616
51,尚鼎鐵板燒,f6yn,2,"['鐵板燒', '台式']",False,29.0,79.0,25.0,5.0,0.31511909601261723,810
52,天天分饗小火鍋 X 無限廚房 (台北內湖店),ynoe,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,2.7188762933324226,1226
53,百盛咖哩 (台北實踐店),aq5d,3,"['咖哩', '日式']",False,29.0,79.0,25.0,10.0,0.4790668764783844,36
54,萬波島嶼紅茶 (台北大直店),vw5j,2,['飲料'],False,29.0,79.0,25.0,5.0,0.48879410302635756,217
55,胖2鍋物,wvk2,2,"['火鍋', '咖哩', '台式']",False,29.0,79.0,45.0,25.0,1.5140892560159753,11
56,清心福全 (台北大直店),s9ql,2,['飲料'],False,29.0,79.0,25.0,5.0,0.36351954506817274,660
57,新東羊羊肉料理專賣店,sa4o,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,1.5115927898234887,45
58,森鱻生猛活海鮮,ukrw,3,['台式'],False,29.0,79.0,35.0,10.0,2.1955663319845766,29
59,台灣鹽酥雞 (大直總店),us6t,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,0.3695418335879814,898
60,大直晴光豆花,mekc,2,['甜點'],False,29.0,79.0,35.0,15.0,0.39337541575236556,44
61,22:02火鍋 (美麗華店),ao2e,2,"['火鍋', '台式']",False,29.0,79.0,55.0,30.0,1.591943312913817,115
62,すき家 Sukiya (大直北安店),r9yw,2,"['便當', '日式']",False,29.0,79.0,25.0,5.0,0.7272248005598093,2693
63,桶一天下 (台北大直店),f0if,2,['小吃'],False,29.0,79.0,25.0,10.0,0.4076253726283754,1487
64,麥當勞 (S249 台北北安店),p9da,2,"['漢堡', '歐美']",False,29.0,79.0,30.0,10.0,0.7329900458766676,4208
65,八方雲集 (台北北安店),s00t,2,"['台式', '餃子']",True,29.0,79.0,25.0,5.0,0.4483714085666523,748
66,義麵坊,a5mc,3,"['歐美', '麵食']",False,29.0,79.0,25.0,5.0,0.5809196933513746,966
67,老師！雞 韓國料理、調味炸雞 (台北大直店),nxzm,2,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,0.49375957067371884,87
68,鬍鬚張魯肉飯 (大直北安店),y8vz,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,0.7864427025370827,2925
69,胖老爹美式炸雞 (台北大直店),z3sp,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,0.4677404446929066,1806
70,雙和豆漿 (台北龍江店),q9ks,2,['小吃'],False,29.0,79.0,30.0,5.0,1.5398666174676672,2269
71,周胖子(台北大直店),xwb5,2,"['湯品', '台式', '餃子']",False,29.0,79.0,30.0,5.0,0.812492575287363,626
72,岡山正味羊肉,r815,2,"['湯品', '麵食', '火鍋', '台式']",False,29.0,79.0,40.0,20.0,1.5080460029671787,517
73,I’m pasta (台北大直店),flmc,2,"['歐美', '麵食']",False,29.0,79.0,25.0,10.0,0.49778213122651654,69
74,好奇營養豆花 (台北大直店),vopb,2,['甜點'],False,29.0,79.0,30.0,10.0,0.5160436963178642,180
75,川味老郭牛肉麵.水餃,b9oe,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,1.4870772304769966,990
76,開源社香雞排 (台北北安店),x3ya,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,0.5155179537467617,814
77,三顧茅廬 (大直北安店),k2i0,2,['小吃'],False,29.0,79.0,25.0,5.0,0.6242747295460563,89
78,50嵐 (台北實踐店),j0ww,2,['飲料'],False,29.0,79.0,25.0,5.0,0.5453547357216635,939
79,舞紅花鐵板燒 (ATT e Life),f6tb,2,"['鐵板燒', '台式']",False,29.0,79.0,30.0,5.0,1.2995977836878538,525
80,馬祖麵館 (台北錦州店),i5fd,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,2.1247591733323614,1427
81,Ｗeilagirl微辣女孩 螺螄粉酸辣粉專賣,p1su,2,['小吃'],False,29.0,79.0,30.0,5.0,1.5083712978617523,472
82,搖滾披薩Pizza Rock (台北大直店),m7ia,3,"['披薩', '歐美']",False,29.0,79.0,25.0,5.0,0.6078326104340336,409
83,京典越南美食,y0ex,2,"['湯品', '麵食', '東南亞']",False,29.0,79.0,25.0,5.0,0.3173419418488559,794
84,芳珍蔬食-素食專賣(中山復民店),koqf,2,"['台式', '餃子']",False,29.0,79.0,30.0,5.0,1.9794086923329608,83
85,劉震川韓潮吧 (ATT e Life),scp2,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,10.0,1.310216953633173,479
86,星島海南雞飯 (台北龍江店),a5tw,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,1.509417945981964,1618
