,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (淡水竹圍店),b4no,2,"['甜點', '漢堡', '歐美', '炸雞']",True,29.0,79.0,25.0,5.0,0.7936679930591211,3160
1,頂呱呱TKK (新北竹圍店),qh5y,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,5.0,1.1287242533215334,166
2,鬍鬚張魯肉飯 (淡水竹圍店),f1wi,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,1.1130985350706473,3739
3,粥師傅廣東粥 (淡水竹圍店),f1wk,1,"['中式', '粥']",True,29.0,79.0,30.0,5.0,1.2777942156864248,2861
4,八方雲集 (淡水紅樹林店),t6jg,2,"['台式', '餃子']",False,29.0,79.0,30.0,10.0,0.9680832007385947,1506
5,娘娘雞排 (淡水竹圍殿),m2pz,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.5628355541033159,1391
6,153麵線臭豆腐,j21q,2,"['麵食', '小吃']",False,29.0,79.0,25.0,5.0,1.0860877563717681,1068
7,迷客夏 Milksha (新北竹圍店),ahl1,2,['飲料'],False,29.0,79.0,25.0,5.0,1.0902099708219395,287
8,么么洞之拐 (竹圍總店),i4ac,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,1.7745734227447763,2476
9,摩斯漢堡Mos Burger (新北淡水竹圍店),f2on,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,1.150279953434266,3888
10,Pizza Hut必勝客 (淡水竹圍店),b2hb,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,1.4315435490681143,3093
11,男子漢拉麵食堂 (淡水竹圍店),mb7a,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.3143440449619486,78
12,九湯屋日式拉麵 (淡水竹圍店),b2jg,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.1198948110572504,1837
13,馨雞財 (竹圍總店),yevh,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,5.0,1.231979280860791,112
14,百八魚場 (新北竹圍店),a3ma,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,1.0381113617051827,1478
15,可不可熟成紅茶 (竹圍民族店),jgmd,2,['飲料'],False,29.0,79.0,30.0,5.0,1.1776166853184136,1207
16,肥叔/咖哩/蓋飯 (新北淡水店),htrz,2,"['咖哩', '日式']",False,29.0,79.0,30.0,5.0,1.6223448089718502,434
17,萬華莊家班麻油雞 (淡水竹圍店),jb7h,2,['台式'],False,29.0,79.0,30.0,5.0,1.1647579943244526,116
18,三商巧福 (4213新北竹圍二店),u2tz,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,1.1334249238070089,1586
19,三禾冰舖,j08u,2,['甜點'],False,29.0,79.0,30.0,5.0,1.0868516711135694,165
20,金瑞珍快炒,g8fw,2,"['湯品', '台式']",False,29.0,79.0,40.0,15.0,1.2978660247504128,2066
21,CoCo都可 (淡水竹圍店),psnd,2,['飲料'],False,29.0,79.0,30.0,5.0,1.2725799481702078,111
22,老先覺功夫窯燒鍋 (淡水紅樹林MiNi店),d2is,2,"['火鍋', '台式']",True,29.0,79.0,45.0,20.0,1.6186830239571168,1465
23,三顧茅廬 (竹圍民族店),f8np,2,['小吃'],True,29.0,79.0,30.0,5.0,1.274197106953317,1157
24,桶一天下 (淡水竹圍店),f1wb,2,['小吃'],False,29.0,79.0,30.0,10.0,1.2243481160039968,600
25,Best Pizza,a3ol,3,"['披薩', '歐美']",False,29.0,79.0,30.0,5.0,1.6661015683489495,1949
26,嗆食麻辣鮮燙滷味,s8jv,2,['小吃'],False,29.0,79.0,30.0,5.0,1.1832571653751158,784
27,怡嘉食堂,f1lr,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.1783922517871608,828
28,臘皇燒臘店 (淡水民生店),c6l0,2,['港式'],False,29.0,79.0,30.0,5.0,1.0891653426547285,45
29,嘉宜食坊,px64,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.1753152752401188,678
30,宇滷味 (淡水竹圍店),a0zd,2,['小吃'],False,29.0,79.0,35.0,10.0,1.5377140228432609,1753
31,好香小吃店,a3oo,2,"['湯品', '台式']",False,29.0,79.0,40.0,20.0,1.2834631682107236,1311
32,喬太郎涼麵蓋飯 (淡水自強店),rws5,2,"['麵食', '日式']",False,29.0,79.0,30.0,5.0,1.6223448089718502,267
33,85度C (竹圍民權店),me3i,2,"['甜點', '咖啡', '蛋糕']",False,29.0,79.0,30.0,5.0,1.2233367313758838,364
