,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鴨肉松 (新北汐止店),e9bd,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,1.133568990765404,2033
1,清心福全 (汐止忠孝東店),d4bn,2,['飲料'],False,29.0,79.0,35.0,5.0,1.112312781176723,2847
2,達美樂 (汐止忠孝店),g6jq,3,"['披薩', '歐美']",False,30.0,199.0,30.0,25.0,0.9084441930601167,1205
3,君仔滷味 (鐵路橋下巷子旁),gb8i,2,['小吃'],False,29.0,79.0,30.0,5.0,0.12267343199304089,202
4,好康南洋素食館餐廳,i9x4,2,"['湯品', '素食']",False,29.0,79.0,35.0,5.0,1.0919021869711514,56
5,品味豆乳雞 (新北汐止店),e6cw,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,10.0,0.27586589840351633,1788
6,COMEBUY (汐止忠孝店),o3yp,2,['飲料'],False,29.0,79.0,35.0,5.0,1.130151192516586,2097
7,吉米早餐店,mpdw,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.2839568761341808,171
8,秘村Secret早午餐,fwv6,2,"['早餐', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,0.35150512517672405,56
9,微晨早午餐,xjeq,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.8146859197867562,156
10,早晨飽複合式早午餐,qzlp,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,1.175595666434368,629
11,呷尚寶早餐店 (新北汐止店),z1xh,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,0.9751251045752684,2015
12,Louisa 路易莎 (汐止建成店),v9p9,2,"['咖啡', '蛋糕', '歐美']",False,29.0,79.0,40.0,15.0,1.0315536961452143,641
13,鬍子茶Who's Tea (汐止橋東店),rkw6,2,['飲料'],False,29.0,79.0,40.0,15.0,0.722227926813332,48
14,玉越南美食,bnnq,2,"['麵食', '東南亞']",False,29.0,79.0,40.0,15.0,1.018638244135007,1633
15,八方雲集 (汐止茄苳店),b3ua,2,"['台式', '餃子']",False,29.0,79.0,40.0,10.0,0.8863682320658596,1713
16,李記紅茶冰 (汐止大同店),e2v7,1,['飲料'],False,29.0,79.0,40.0,15.0,0.8182487616994811,37
17,凰鶯好食館,e4ab,2,"['便當', '台式']",False,29.0,79.0,40.0,10.0,0.9835205765076565,548
18,西門町阿川滷味 (汐止保長店),oy5f,2,['小吃'],False,29.0,79.0,40.0,15.0,0.2629748035060364,4
19,小吉士,a0ce,2,"['台式', '炸雞']",False,29.0,79.0,40.0,10.0,0.8870288651598925,1068
20,拉亞漢堡 (汐止忠孝店),iiad,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,0.749419101702102,585
21,華姐麵店,rsyj,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,3.2297570008271452,124
22,新疆燒烤,io2z,2,['中式'],False,29.0,79.0,40.0,15.0,1.7774235344434346,440
23,永和豆漿 (新北汐科店),t7gq,2,['小吃'],False,29.0,79.0,40.0,15.0,2.4892877064011114,346
24,金豊 八寶冬粉/香菇肉羹,zw93,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,1.4379935391900458,164
25,巨林美而美 (汐止樟樹店),y1xu,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,3.152019426500646,1894
26,麥味登 (汐止名城店),mfab,2,['台式'],False,29.0,79.0,40.0,15.0,1.5026820247214,1003
