,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (新竹林森店),z3im,2,"['披薩', '歐美']",False,19.0,79.0,30.0,10.0,1.4295684048518824,2794
1,陳家台南豆乳雞翅,ng64,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,2.1676622109640893,95
2,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.5530513664114456,1810
3,繼光香香雞 (新竹廟前店),b9jv,2,"['台式', '炸雞']",False,19.0,79.0,30.0,5.0,1.993677659093174,838
4,金方-熱壓吐司,iaje,2,"['歐美', '三明治 / 吐司']",False,19.0,79.0,30.0,5.0,1.650127041901587,236
5,四海遊龍 (新竹牛埔店),a4wi,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,0.9470261377470415,1538
6,50嵐 (新竹北大店),s4yi,2,['飲料'],False,19.0,79.0,30.0,10.0,2.004596395441286,953
7,草本茶 (新竹埔東店),b1ev,2,['甜點'],False,19.0,79.0,25.0,5.0,1.250610169615063,1659
8,甘蔗の媽媽 (新竹信義店),iilo,2,['飲料'],False,19.0,79.0,30.0,5.0,2.215711553511185,252
9,八鷹料亭,f2cd,2,['日式'],True,19.0,79.0,40.0,15.0,2.226048930048653,469
10,鳳麟粥飯麵食館 (新竹中山店),o224,2,"['麵食', '粥', '台式']",False,19.0,79.0,35.0,15.0,0.9204327277294451,146
11,阿城號米粉,z1wm,2,['台式'],True,19.0,79.0,30.0,5.0,1.9675633973404214,1367
12,憶客披薩 (新竹中華店),es7w,3,"['披薩', '歐美']",False,19.0,79.0,30.0,10.0,0.7776253593825317,674
13,王子神谷おうじかみや (新竹店),z4rn,2,"['甜點', '蛋糕']",True,19.0,79.0,30.0,10.0,1.885016507976563,740
14,小東門,ko1z,2,['台式'],False,19.0,79.0,40.0,15.0,2.2265181533618,323
15,苗楊冬瓜仙草絲,d1px,1,['甜點'],True,19.0,79.0,30.0,5.0,1.9391833731808954,584
16,麥當勞 (S495 新竹經國二店),d2ei,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,1.002802883560082,11311
