,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,炒飯國度,lhu2,2,"['湯品', '麵食', '台式']",False,25.0,79.0,30.0,5.0,1.0092318046227222,1857
1,吮指王 (基隆暖暖店),g1ct,2,"['台式', '炸雞']",False,25.0,79.0,30.0,5.0,0.9084908169545566,1351
2,魯都香 (暖暖碇內店),lvrj,2,['小吃'],False,25.0,79.0,30.0,5.0,1.3936696403960875,83
3,人義小吃便當,v0un,2,"['湯品', '便當', '台式']",False,25.0,79.0,30.0,10.0,0.6558115895874725,812
4,飯曰食堂,g9sr,2,['台式'],False,25.0,79.0,30.0,10.0,0.7506505467577462,92
5,三媽臭臭鍋 (基隆暖暖店),n5fh,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,1.5151401690159791,801
6,邱記龍鳳腿,o5tv,2,['小吃'],False,25.0,79.0,30.0,10.0,0.29898442269566333,192
7,牛曰先生,ub3t,2,"['麵食', '台式']",False,25.0,79.0,45.0,20.0,0.7597602182131807,133
8,苗栗客家菜館,b1vh,2,"['麵食', '台式']",False,25.0,79.0,55.0,30.0,1.4393023554587465,1076
9,唯莓主義 (基隆暖暖店),l8ls,2,['飲料'],False,29.0,79.0,30.0,5.0,0.5729129850470578,131
10,乙凡凡咖啡,zerg,1,"['咖啡', '飲料']",False,25.0,79.0,30.0,5.0,1.2380989319876,111
11,火炎焱夯肉料理,zno4,2,['小吃'],False,29.0,79.0,40.0,15.0,1.4144930129941158,3
12,煜前早餐店,e8ca,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,0.8933520368793028,1785
13,陳家早點,d81k,1,"['小吃', '素食']",False,29.0,79.0,40.0,15.0,0.9855660370258871,48
14,童童濰可早午餐,e4vg,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,1.3260998662912233,910
15,太祖魷魚羹 (基隆碇內店),kbcu,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,0.566583590666146,88
16,八方雲集 (基隆源遠店),t3ns,2,"['台式', '餃子']",False,25.0,79.0,40.0,15.0,1.4166205193866703,2149
17,圍兜兜廚房,i6oo,2,"['麵食', '咖哩', '台式']",False,29.0,79.0,40.0,15.0,0.6946180618030446,21
18,賀嘉牛肉麵 (基隆碇內店),b2nl,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.5772959593571072,599
19,浙川園,e6bh,2,"['湯品', '台式']",False,29.0,79.0,40.0,10.0,0.6482512171205015,229
20,金牌咖哩炒麵 (基隆碇內店),sc1t,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,15.0,0.5966106725000264,160
21,熊麻·麻辣燙 (基隆暖暖店),kmyh,2,['台式'],False,29.0,79.0,40.0,15.0,1.277132964096096,16
22,一朵茶,rd3k,1,['飲料'],False,25.0,79.0,40.0,15.0,0.93782536985867,35
23,媽媽樂早餐屋,sew4,1,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.3518359567457976,105
24,麥味登 (基隆義六店),a1wq,2,"['早餐', '台式']",True,25.0,79.0,40.0,10.0,3.5357873276288405,2333
25,諸城水煎包 (基隆暖暖店),lzsk,2,"['湯品', '小吃']",False,25.0,79.0,40.0,15.0,2.5946754524388473,289
26,家弘米粉湯,a0ac,2,['小吃'],False,25.0,79.0,40.0,10.0,3.436988057377999,948
27,麥味登 (基隆暖暖店),d1da,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.829674762259874,2703
28,雞大娘 鹽水 甘蔗 雞鵝,gs75,2,['小吃'],False,25.0,79.0,40.0,15.0,3.333664185906237,18
29,美亭香早餐店,tnkm,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.4243305406085915,156
30,Louisa 路易莎 (基隆仁二店),tf1e,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,40.0,15.0,3.383154163277186,1349
31,鑫暖暖蔥油餅,wetg,2,['小吃'],False,25.0,79.0,40.0,15.0,2.895491806898215,17
32,七年級暖暖店,b3le,2,['日式'],True,25.0,79.0,40.0,10.0,2.9214908088077673,877
