,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好食丼 (高雄興中店),n445,2,['日式'],False,15.0,79.0,15.0,5.0,0.49066444112919183,462
1,十管香-香香拌,j1ys,2,"['中式', '火鍋']",False,15.0,79.0,35.0,20.0,2.389326405101692,98
2,肯德基KFC炸雞漢堡店 (高雄文化店),y0vz,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.7314443306644439,2885
3,Pizza Hut必勝客 (高雄文化店),y4yh,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.5444822238519366,2216
4,捌捌迷你土雞鍋 (高雄成功店),r8bb,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.7899090324539542,1020
5,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,20.0,5.0,2.2773489188145097,4613
6,滷味先生 (鳳山自強店),j4vn,2,['小吃'],False,15.0,79.0,25.0,5.0,3.241733220290939,1495
7,鶴茶樓 (三民十全店),t209,1,['飲料'],False,15.0,79.0,20.0,5.0,2.70290666968201,2651
8,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,4.032459408400865,2465
9,三十年老店雞肉飯,e0se,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.7207430639936727,1706
10,阿文壽司,euci,2,['日式'],False,15.0,79.0,40.0,25.0,1.7286993914473379,20
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,1.7525605798166892,6
12,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,25.0,10.0,1.60334227959326,4
13,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,30.0,15.0,2.6796105044607827,1
14,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,1.2542115030186325,1478
15,阿美海產,v8l8,3,"['湯品', '台式']",False,15.0,79.0,15.0,5.0,0.3351370825440083,248
16,穩記港式點心 (高雄瑞源店),f4he,3,"['湯品', '港式', '粥']",True,15.0,79.0,25.0,15.0,1.74634148874666,1011
17,肉肉先生,m88x,3,"['歐美', '牛排']",False,15.0,79.0,20.0,10.0,0.548762265972844,36
18,金漢城韓國料理,f5xs,2,"['韓式', '湯品', '麵食']",True,15.0,79.0,20.0,5.0,1.4183627835815573,837
19,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,20.0,5.0,2.5087201259302385,821
20,三民街老周冷熱飲,zy6r,2,['甜點'],False,15.0,79.0,20.0,5.0,2.606793936123308,137
21,陳記手工蒸餃鴨肉羹,dhcd,2,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,1.716318581449538,368
22,德州小騎士炸雞 (高雄六合店),k3ol,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,10.0,1.6489222795811727,1187
23,饈饈火鍋,d215,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.5814069212323456,16
24,王哥陽春麵傳奇,g0xw,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,1.4317466672252672,560
