,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (三峽北大店),a7cg,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,20.0,5.0,0.6248452659031681,2928
1,Pizza Hut必勝客 (三峽復興店),a7hy,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,0.3168742046188096,3248
2,義級棒義大利麵,k1xv,2,['歐美'],False,29.0,79.0,20.0,5.0,0.6778816340753877,728
3,厚片牛排鐵板炒飯 (三峽愛國店),pyy4,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.6778816340753877,665
4,松柏園加熱滷味（小火鍋）,o0ev,2,['小吃'],False,29.0,79.0,20.0,5.0,0.6685955984300841,595
5,四海遊龍 (三峽中華店),f0yd,2,"['台式', '餃子']",False,29.0,79.0,20.0,5.0,0.8140731902140449,2563
6,孫東寶 (三峽大學店),jsdt,3,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.4872473171390991,991
7,珍煮丹 (三峽北大店),z7bi,2,['飲料'],False,29.0,79.0,20.0,5.0,0.5557379074066318,6350
8,玉津咖啡 (三峽學成店),y420,2,"['甜點', '咖啡']",False,29.0,79.0,20.0,5.0,0.572002207871031,231
9,泰鍋古藝 (北大店),me8o,2,"['火鍋', '台式']",False,29.0,79.0,30.0,20.0,0.42640883374715666,1339
10,Aposo 艾波索 法式甜點 (新北三峽北大總店),a6da,3,"['甜點', '蛋糕']",False,29.0,79.0,20.0,5.0,0.5323081628481773,133
11,師傅很忙平價鐵板燒,a0dy,2,"['鐵板燒', '台式']",False,29.0,79.0,20.0,5.0,0.48338539477839065,3003
12,麥當勞 (S254 三峽文化店),d7ao,2,"['漢堡', '歐美']",False,29.0,79.0,20.0,10.0,0.35625931124689497,11180
13,鬍鬚張魯肉飯 (三峽北大店),bx7b,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,0.369018475585097,3910
14,麻醉燙加熱滷味,r3og,2,['小吃'],False,29.0,79.0,25.0,15.0,0.3554674275350488,5395
15,元爵味黃燜雞米飯 (三峽店),gr3y,2,['中式'],False,29.0,79.0,15.0,5.0,0.47243214023306446,409
16,嚐嚐九九 (新北三峽店),z3sh,3,['台式'],False,29.0,79.0,20.0,10.0,0.21351076379224007,3779
17,弘爺漢堡 (三峽國光店),z1el,2,"['早餐', '台式']",False,29.0,79.0,15.0,5.0,0.25024217604020726,6695
18,日生珍味,f2yl,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,0.6155613697173796,4496
19,鐘予原味當歸鴨 (新北三峽店),wl7v,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.6670488475447194,1766
20,すき家 Sukiya (新北三峽店),f5ze,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.6184253349936021,7668
21,源士林粥品 (新北三峽和平店),r9hr,2,"['粥', '台式']",False,29.0,79.0,15.0,5.0,0.34563838587769974,2482
22,胖老爹美式炸雞 (三峽和平店),jedi,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,0.2922057120015175,335
23,明新豆漿,gf31,2,['小吃'],False,29.0,79.0,15.0,5.0,0.510210771223778,1798
24,茶聚 (三峽和平店),z5uq,2,['飲料'],True,29.0,79.0,15.0,5.0,0.2819677745141411,2956
25,龍鹹酥雞 (新北北大店),tqu6,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,10.0,1.2425562045833665,1426
26,白巷子 (新北三峽店),v2ba,2,['飲料'],False,29.0,79.0,15.0,5.0,0.36431518624500075,3194
27,麗媽四季鍋 (三峽北大店),z2js,2,"['火鍋', '台式']",True,29.0,79.0,30.0,15.0,0.4852297233781641,3792
28,台南港口土魠魚羹,klxz,2,"['便當', '台式']",False,29.0,79.0,15.0,5.0,0.3939513206929671,949
29,龜記茗品 (三峽文化店),jy5m,2,['飲料'],False,29.0,79.0,15.0,5.0,0.39802793201096504,1095
30,三峽碳烤,d9gh,2,['小吃'],False,29.0,79.0,25.0,15.0,0.6410110491888014,793
31,不貽樣湯包 (新北三峽店),i5fp,2,"['中式', '湯品', '麵食']",False,29.0,79.0,15.0,5.0,0.416806405069698,2864
32,蘆洲阿芳魯肉飯 (新北學成店),k7mk,2,"['湯品', '麵食', '台式']",False,29.0,79.0,15.0,5.0,0.2953791286074638,1011
33,清心福全 (三峽文化店),nck4,2,['飲料'],False,29.0,79.0,15.0,5.0,0.3761944066052093,439
34,大苑子 (三峽和平店),t9if,2,['飲料'],False,29.0,79.0,15.0,5.0,0.2990994799600732,1672
35,雞嚐LuLu-炸物(使用脫油機),j3px,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,15.0,0.6725120946746281,2465
36,Subway (三峽北大店),dqt6,2,['歐美'],False,29.0,79.0,15.0,5.0,0.4160916785808082,1480
37,來壹碗好粥,uhwz,2,"['粥', '台式']",False,29.0,79.0,15.0,5.0,0.35265969659435925,501
38,可不可熟成紅茶 (三峽北大店),l64h,2,['飲料'],False,29.0,79.0,15.0,5.0,0.41868272671122675,1373
39,爭鮮迴轉壽司 (三峽北大店),o5mo,2,['日式'],False,29.0,79.0,20.0,5.0,0.4611991168029101,2218
40,奇雞香雞排.炸物飲料一次搞定,q7b8,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,0.3006993051286005,403
41,龍鳳廣式燒臘,mw1s,2,"['便當', '港式']",False,29.0,79.0,15.0,5.0,0.2851277224336804,899
42,六扇門 (三峽學成店),fyas,2,"['火鍋', '台式']",False,29.0,79.0,30.0,20.0,0.46923376179284004,1587
43,豪神滷味 (三峽三樹店),h8qg,2,['小吃'],False,29.0,79.0,20.0,5.0,0.5046766486293783,1114
44,合浦刀切麵食工坊 (樹林學成店),k9as,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,1.0677808089947871,1645
45,鍋媽精緻小火鍋 (新北北大店),z4cg,2,"['火鍋', '台式']",False,29.0,79.0,30.0,20.0,0.4550069355529397,2702
46,家妤黑糖刨冰 (甜品),ccod,2,['甜點'],False,29.0,79.0,20.0,10.0,0.3454501975443488,629
47,勝博殿 (北大三峽店),a6ja,2,"['便當', '日式']",False,29.0,79.0,20.0,10.0,0.4130948218976294,1388
48,Pizza Hut必勝客 (三峽復興店),a7hy,2,"['披薩', '歐美']",False,29.0,79.0,20.0,10.0,0.3168742046188096,3248
49,義級棒義大利麵,k1xv,2,['歐美'],False,29.0,79.0,20.0,5.0,0.6778816340753877,728
50,厚片牛排鐵板炒飯 (三峽愛國店),pyy4,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.6778816340753877,665
51,松柏園加熱滷味（小火鍋）,o0ev,2,['小吃'],False,29.0,79.0,20.0,5.0,0.6685955984300841,595
52,四海遊龍 (三峽中華店),f0yd,2,"['台式', '餃子']",False,29.0,79.0,20.0,5.0,0.8140731902140449,2563
53,孫東寶 (三峽大學店),jsdt,3,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,0.4872473171390991,991
54,珍煮丹 (三峽北大店),z7bi,2,['飲料'],False,29.0,79.0,20.0,5.0,0.5557379074066318,6350
55,玉津咖啡 (三峽學成店),y420,2,"['甜點', '咖啡']",False,29.0,79.0,20.0,5.0,0.572002207871031,231
56,泰鍋古藝 (北大店),me8o,2,"['火鍋', '台式']",False,29.0,79.0,30.0,20.0,0.42640883374715666,1339
57,Aposo 艾波索 法式甜點 (新北三峽北大總店),a6da,3,"['甜點', '蛋糕']",False,29.0,79.0,20.0,5.0,0.5323081628481773,133
58,師傅很忙平價鐵板燒,a0dy,2,"['鐵板燒', '台式']",False,29.0,79.0,20.0,5.0,0.48338539477839065,3003
59,麥當勞 (S254 三峽文化店),d7ao,2,"['漢堡', '歐美']",False,29.0,79.0,20.0,10.0,0.35625931124689497,11180
60,鬍鬚張魯肉飯 (三峽北大店),bx7b,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,0.369018475585097,3910
61,麻醉燙加熱滷味,r3og,2,['小吃'],False,29.0,79.0,25.0,15.0,0.3554674275350488,5395
62,元爵味黃燜雞米飯 (三峽店),gr3y,2,['中式'],False,29.0,79.0,15.0,5.0,0.47243214023306446,409
63,嚐嚐九九 (新北三峽店),z3sh,3,['台式'],False,29.0,79.0,20.0,10.0,0.21351076379224007,3779
64,弘爺漢堡 (三峽國光店),z1el,2,"['早餐', '台式']",False,29.0,79.0,15.0,5.0,0.25024217604020726,6695
65,日生珍味,f2yl,2,"['麵食', '台式']",False,29.0,79.0,30.0,15.0,0.6155613697173796,4496
66,鐘予原味當歸鴨 (新北三峽店),wl7v,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,0.6670488475447194,1766
67,すき家 Sukiya (新北三峽店),f5ze,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.6184253349936021,7668
68,源士林粥品 (新北三峽和平店),r9hr,2,"['粥', '台式']",False,29.0,79.0,15.0,5.0,0.34563838587769974,2482
69,胖老爹美式炸雞 (三峽和平店),jedi,2,"['歐美', '炸雞']",False,29.0,79.0,25.0,10.0,0.2922057120015175,335
70,明新豆漿,gf31,2,['小吃'],False,29.0,79.0,15.0,5.0,0.510210771223778,1798
71,茶聚 (三峽和平店),z5uq,2,['飲料'],True,29.0,79.0,15.0,5.0,0.2819677745141411,2956
72,龍鹹酥雞 (新北北大店),tqu6,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,10.0,1.2425562045833665,1426
73,白巷子 (新北三峽店),v2ba,2,['飲料'],False,29.0,79.0,15.0,5.0,0.36431518624500075,3194
74,麗媽四季鍋 (三峽北大店),z2js,2,"['火鍋', '台式']",True,29.0,79.0,30.0,15.0,0.4852297233781641,3792
75,台南港口土魠魚羹,klxz,2,"['便當', '台式']",False,29.0,79.0,15.0,5.0,0.3939513206929671,949
76,龜記茗品 (三峽文化店),jy5m,2,['飲料'],False,29.0,79.0,15.0,5.0,0.39802793201096504,1095
77,三峽碳烤,d9gh,2,['小吃'],False,29.0,79.0,25.0,15.0,0.6410110491888014,793
78,不貽樣湯包 (新北三峽店),i5fp,2,"['中式', '湯品', '麵食']",False,29.0,79.0,15.0,5.0,0.416806405069698,2864
79,蘆洲阿芳魯肉飯 (新北學成店),k7mk,2,"['湯品', '麵食', '台式']",False,29.0,79.0,15.0,5.0,0.2953791286074638,1011
80,清心福全 (三峽文化店),nck4,2,['飲料'],False,29.0,79.0,15.0,5.0,0.3761944066052093,439
81,大苑子 (三峽和平店),t9if,2,['飲料'],False,29.0,79.0,15.0,5.0,0.2990994799600732,1672
82,雞嚐LuLu-炸物(使用脫油機),j3px,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,15.0,0.6725120946746281,2465
83,Subway (三峽北大店),dqt6,2,['歐美'],False,29.0,79.0,15.0,5.0,0.4160916785808082,1480
84,來壹碗好粥,uhwz,2,"['粥', '台式']",False,29.0,79.0,15.0,5.0,0.35265969659435925,501
85,可不可熟成紅茶 (三峽北大店),l64h,2,['飲料'],False,29.0,79.0,15.0,5.0,0.41868272671122675,1373
86,爭鮮迴轉壽司 (三峽北大店),o5mo,2,['日式'],False,29.0,79.0,20.0,5.0,0.4611991168029101,2218
87,奇雞香雞排.炸物飲料一次搞定,q7b8,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,5.0,0.3006993051286005,403
