,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (永和保福店),kk67,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,0.6782753876800622,148
1,嵐迪義大利麵館 (新北永和店),h9qc,2,"['歐美', '麵食']",False,29.0,79.0,25.0,5.0,0.3779042049315646,6996
2,呈信傳統鵝肉店 (永和文化店),y6ko,2,['台式'],True,29.0,79.0,25.0,5.0,0.24245966797237337,769
3,元爵味黃燜雞米飯 (台北廈門店),lgbr,2,['中式'],False,29.0,79.0,30.0,5.0,1.1390042499738637,196
4,鍾記蒜香鹹酥雞 (永和文化店),lv6f,2,"['小吃', '炸雞']",False,29.0,79.0,30.0,10.0,0.665674695870954,805
5,老鄉麵館,fl8h,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,10.0,0.2578203435197385,476
6,肯德基KFC炸雞漢堡店 (永和中山店),k6kl,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,25.0,5.0,0.9758147280639252,66
7,龍鹹酥雞（新北永和店）,ks8g,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,0.24495868385972644,1063
8,濃氣屋拉麵 (新北竹林店),f94e,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,0.3977731250562994,752
9,丼飯屋,g5am,2,['日式'],False,29.0,79.0,25.0,10.0,0.3977731250562994,233
10,永青鐵板燒,wype,2,"['鐵板燒', '台式']",False,29.0,79.0,30.0,5.0,1.1216769546538197,23
11,世界豆漿大王 (永和店),z9ce,2,['小吃'],False,29.0,79.0,25.0,5.0,0.16353541853122971,8178
12,韓五花燒烤料理,bhzy,2,['韓式'],False,29.0,79.0,30.0,5.0,1.181267516071924,44
13,老王原汁牛肉麵 (永和保平店),u89f,2,"['麵食', '台式']",False,29.0,79.0,35.0,15.0,0.9776538008584602,124
14,台灣鹽酥雞 (新北永和樂華店),z6lu,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,15.0,0.6879240672056467,9343
15,創義麵 (中和永安店),omne,2,"['歐美', '麵食']",False,29.0,79.0,35.0,10.0,1.4788576792986903,464
16,燙燙極致涮涮鍋－永和店,lfpk,3,"['火鍋', '日式']",False,29.0,79.0,30.0,10.0,0.7831616642076992,152
17,麥當勞 (S12 永和店),d3qv,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,10.0,0.23841935421655025,5284
18,鐘點棧當歸鴨.鴨肉飯專賣店,y1qc,2,"['湯品', '麵食', '台式']",False,29.0,79.0,25.0,5.0,0.898738200737406,6398
19,粥師傅廣東粥 (永和樂華店),f0qf,2,"['中式', '粥']",False,29.0,79.0,25.0,5.0,0.869309623243172,2400
20,8鍋 (永和文化店),z5ne,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,0.2702191519080945,4889
21,五桐號Wootea (永和樂華店),obrp,2,['飲料'],False,29.0,79.0,25.0,5.0,0.7670654854353163,444
22,樂華嘉味仙麻油雞腿庫飯 (新北永平店),w8mb,2,"['便當', '台式']",False,29.0,79.0,25.0,5.0,0.7153814508494398,2892
23,鬍鬚張魯肉飯 (永和樂華店),y5nb,2,"['便當', '台式']",False,29.0,79.0,30.0,10.0,0.9119875364623474,11110
24,21PLUS、21風味館 (永安門市),v0ut,2,"['歐美', '炸雞']",True,29.0,79.0,30.0,5.0,1.4790553404899067,3434
25,Burger King 漢堡王 (新北頂溪店),y1vp,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,5.0,0.16053828505856174,3284
26,大福亭丼飯 (新北永和店),yczs,2,"['便當', '日式']",False,29.0,79.0,30.0,10.0,1.0055929273196358,1159
27,八方雲集 (永和頂溪店),b2aj,2,"['台式', '餃子']",False,29.0,79.0,25.0,10.0,0.44737550284713173,2712
28,大苑子 (永和樂華店),z7nm,2,['飲料'],False,29.0,79.0,25.0,5.0,0.7808328673091451,3811
29,浩克健身早餐。宵夜-頂溪,b0ig,2,['健康餐'],False,29.0,79.0,25.0,5.0,0.3350847016641668,4818
