,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,南松山炒飯麵,e8if,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.4746136686544032,1857
1,Burger King 漢堡王 (南京三民店),y0tc,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,5.0,0.7471685084388668,3427
2,COMEBUY (台北西松店),f4ya,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7206823012740364,1613
3,清水茶香 (台北饒河店),r1xk,1,['飲料'],False,29.0,79.0,35.0,5.0,0.817378521746529,1013
4,周胖子 (台北民生店),utor,2,"['湯品', '台式', '餃子']",False,29.0,79.0,35.0,10.0,1.0075831070276304,956
5,三顧茅廬 (松山八德店),b1tv,2,['小吃'],False,29.0,79.0,35.0,10.0,0.7498023523056476,2680
6,全記滷味健康店,nu5m,2,['小吃'],False,29.0,79.0,35.0,5.0,0.6754779212422127,27
7,四海遊龍 (台北民生店),y5yb,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.6673177267906885,2044
8,尬意雞肉飯 X 無限廚房 (台北松山店),wuay,1,"['便當', '台式']",False,29.0,79.0,40.0,10.0,1.1727014193119993,147
9,宜品福州乾拌麵,e7tc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,40.0,5.0,2.2705079777631054,8437
10,市民大道涮涮鍋 (松山東興店),r8su,3,"['火鍋', '日式']",False,29.0,79.0,45.0,20.0,0.571247628577319,211
11,饒河炒飯麵,f5gi,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.4785438128132139,2092
12,三媽臭臭鍋 (台北南京店),l1xn,2,"['火鍋', '台式']",False,29.0,79.0,50.0,25.0,0.6830848388883017,9445
13,吉品勝口味 (松山南京店),cr7q,2,"['湯品', '麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.4326753080544103,1544
14,南京廣東粥,q2ec,2,"['中式', '粥']",False,29.0,79.0,35.0,5.0,0.9763367838513727,3056
15,麥當勞 (S150 台北民生二店),n7ai,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.40352352411817866,3479
16,艋舺雞排 (台北饒河店),z4ee,2,"['小吃', '炸雞']",False,29.0,79.0,50.0,20.0,1.016572718697383,9559
17,老王炸烤 (台北南京店),uulm,2,"['小吃', '炸雞']",False,29.0,79.0,40.0,15.0,0.6597810017732149,627
18,凱大雞排 (松山八德店),f9fu,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,5.0,0.7071307455697898,2196
19,粥師傅廣東粥 (台北民生店),f1kn,2,"['中式', '粥']",True,29.0,79.0,30.0,5.0,0.39612086902496224,1644
20,東引小吃店,swhq,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.3640149815147599,56
21,大汗麻辣鴨血臭豆腐 (南京東123店),h5vu,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6701239668166792,1938
22,享想 台灣珍藏茶 (台北民生總店),h7ly,2,['飲料'],False,29.0,79.0,30.0,5.0,0.44358128284885406,1440
23,作伙滷肉飯 X 無限廚房 (台北松山店),qs5s,2,"['湯品', '便當', '台式']",False,29.0,79.0,35.0,5.0,1.1727014193119993,371
24,鬍鬚張魯肉飯 (南京三民店),ygg4,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.5266557964779685,988
25,B&B STEAK,dge8,2,['歐美'],False,29.0,79.0,35.0,10.0,0.970523586162353,675
26,50嵐 (新東店),d3do,2,['飲料'],False,29.0,79.0,30.0,5.0,0.40576440880488296,1334
27,八方雲集 (台北民生店),b2xr,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.3990658381432534,1661
28,齒牛香牛肉麵,g3rx,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.9632319483875779,2126
29,匠喝嫩仙草 (民生店),w8ve,2,['甜點'],False,29.0,79.0,30.0,5.0,0.4112905550747491,1700
30,SUBWAY (南京三民餐廳),y2py,2,['歐美'],False,29.0,79.0,30.0,5.0,0.5868970578466612,1523
31,茶湯會 (松山民生東五店),r6of,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4015326484528193,727
32,下港名彭臭豆腐,n8yy,2,['小吃'],False,29.0,79.0,35.0,5.0,1.0497355232702665,867
33,素素如意蔬食滷味店,e4da,2,"['小吃', '素食']",False,29.0,79.0,30.0,5.0,0.4088298200357471,1065
34,可不可熟成紅茶 (南京三民店),lj69,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6250647455723592,732
35,型男現烤甜甜 (松山富錦2號店),xg78,2,"['甜點', '咖啡']",False,29.0,79.0,30.0,5.0,0.6438354948712927,310
36,芳珍蔬食-素食專賣 (松山三民店),lcg2,2,"['台式', '餃子']",False,29.0,79.0,35.0,5.0,0.4398265060468009,73
37,摩斯漢堡Mos Burger (民生二店),y0dh,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,0.4534158188094989,2993
38,50嵐 (南京三民店),e7vt,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6732562465583429,1854
39,齊媽媽雞湯麵牛肉麵 (南京三民店),s17a,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.67988371915686,187
40,大呼過癮 (松山南京店),s2uc,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,0.835703223847865,1583
41,鼎吉豐越南麵食館,yaxe,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,0.7372901683819215,131
42,港瀧燒臘,uvbh,2,['港式'],False,29.0,79.0,30.0,5.0,0.6764927052610205,123
43,青花瓷茶飲,apb0,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7292800053466345,348
44,圓環鴨肉羹,v2qs,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.4578679427072118,279
45,阿宏師涼麵嘉義雞肉飯 (松山八德店),j22e,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.7012573016105855,211
46,吉野家 Yoshinoya (台北南二店),x8kn,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.7621662264303648,2108
47,肯德基KFC炸雞漢堡店 (台北南京東二店),y4rc,2,"['甜點', '漢堡', '歐美', '炸雞']",False,29.0,79.0,35.0,5.0,0.6185374776988142,3016
48,Burger King 漢堡王 (南京三民店),y0tc,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,5.0,0.7471685084388668,3427
49,COMEBUY (台北西松店),f4ya,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7206823012740364,1613
50,清水茶香 (台北饒河店),r1xk,1,['飲料'],False,29.0,79.0,35.0,5.0,0.817378521746529,1013
51,周胖子 (台北民生店),utor,2,"['湯品', '台式', '餃子']",False,29.0,79.0,35.0,10.0,1.0075831070276304,956
52,三顧茅廬 (松山八德店),b1tv,2,['小吃'],False,29.0,79.0,35.0,10.0,0.7498023523056476,2680
53,全記滷味健康店,nu5m,2,['小吃'],False,29.0,79.0,35.0,5.0,0.6754779212422127,27
54,四海遊龍 (台北民生店),y5yb,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.6673177267906885,2044
55,尬意雞肉飯 X 無限廚房 (台北松山店),wuay,1,"['便當', '台式']",False,29.0,79.0,40.0,10.0,1.1727014193119993,147
56,宜品福州乾拌麵,e7tc,2,"['中式', '湯品', '麵食']",False,29.0,79.0,40.0,5.0,2.2705079777631054,8437
57,市民大道涮涮鍋 (松山東興店),r8su,3,"['火鍋', '日式']",False,29.0,79.0,45.0,20.0,0.571247628577319,211
58,饒河炒飯麵,f5gi,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.4785438128132139,2092
59,三媽臭臭鍋 (台北南京店),l1xn,2,"['火鍋', '台式']",False,29.0,79.0,50.0,25.0,0.6830848388883017,9445
60,吉品勝口味 (松山南京店),cr7q,2,"['湯品', '麵食', '小吃']",False,29.0,79.0,30.0,5.0,0.4326753080544103,1544
61,南京廣東粥,q2ec,2,"['中式', '粥']",False,29.0,79.0,35.0,5.0,0.9763367838513727,3056
62,麥當勞 (S150 台北民生二店),n7ai,2,"['漢堡', '歐美']",False,29.0,79.0,35.0,10.0,0.40352352411817866,3479
63,艋舺雞排 (台北饒河店),z4ee,2,"['小吃', '炸雞']",False,29.0,79.0,50.0,20.0,1.016572718697383,9559
64,老王炸烤 (台北南京店),uulm,2,"['小吃', '炸雞']",False,29.0,79.0,40.0,15.0,0.6597810017732149,627
65,凱大雞排 (松山八德店),f9fu,2,"['小吃', '炸雞']",False,29.0,79.0,35.0,5.0,0.7071307455697898,2196
66,粥師傅廣東粥 (台北民生店),f1kn,2,"['中式', '粥']",True,29.0,79.0,30.0,5.0,0.39612086902496224,1644
67,東引小吃店,swhq,2,"['湯品', '麵食', '台式']",False,29.0,79.0,30.0,5.0,0.3640149815147599,56
68,大汗麻辣鴨血臭豆腐 (南京東123店),h5vu,2,['小吃'],False,29.0,79.0,30.0,5.0,0.6701239668166792,1938
69,享想 台灣珍藏茶 (台北民生總店),h7ly,2,['飲料'],False,29.0,79.0,30.0,5.0,0.44358128284885406,1440
70,作伙滷肉飯 X 無限廚房 (台北松山店),qs5s,2,"['湯品', '便當', '台式']",False,29.0,79.0,35.0,5.0,1.1727014193119993,371
71,鬍鬚張魯肉飯 (南京三民店),ygg4,2,"['便當', '台式']",False,29.0,79.0,30.0,5.0,0.5266557964779685,988
72,B&B STEAK,dge8,2,['歐美'],False,29.0,79.0,35.0,10.0,0.970523586162353,675
73,50嵐 (新東店),d3do,2,['飲料'],False,29.0,79.0,30.0,5.0,0.40576440880488296,1334
74,八方雲集 (台北民生店),b2xr,2,"['台式', '餃子']",False,29.0,79.0,35.0,10.0,0.3990658381432534,1661
75,齒牛香牛肉麵,g3rx,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.9632319483875779,2126
76,匠喝嫩仙草 (民生店),w8ve,2,['甜點'],False,29.0,79.0,30.0,5.0,0.4112905550747491,1700
77,SUBWAY (南京三民餐廳),y2py,2,['歐美'],False,29.0,79.0,30.0,5.0,0.5868970578466612,1523
78,茶湯會 (松山民生東五店),r6of,2,['飲料'],False,29.0,79.0,30.0,5.0,0.4015326484528193,727
79,下港名彭臭豆腐,n8yy,2,['小吃'],False,29.0,79.0,35.0,5.0,1.0497355232702665,867
80,素素如意蔬食滷味店,e4da,2,"['小吃', '素食']",False,29.0,79.0,30.0,5.0,0.4088298200357471,1065
81,可不可熟成紅茶 (南京三民店),lj69,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6250647455723592,732
82,型男現烤甜甜 (松山富錦2號店),xg78,2,"['甜點', '咖啡']",False,29.0,79.0,30.0,5.0,0.6438354948712927,310
83,芳珍蔬食-素食專賣 (松山三民店),lcg2,2,"['台式', '餃子']",False,29.0,79.0,35.0,5.0,0.4398265060468009,73
84,摩斯漢堡Mos Burger (民生二店),y0dh,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,0.4534158188094989,2993
85,50嵐 (南京三民店),e7vt,2,['飲料'],False,29.0,79.0,30.0,5.0,0.6732562465583429,1854
86,齊媽媽雞湯麵牛肉麵 (南京三民店),s17a,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.67988371915686,187
87,大呼過癮 (松山南京店),s2uc,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,0.835703223847865,1583
88,鼎吉豐越南麵食館,yaxe,2,"['麵食', '東南亞']",False,29.0,79.0,30.0,5.0,0.7372901683819215,131
89,港瀧燒臘,uvbh,2,['港式'],False,29.0,79.0,30.0,5.0,0.6764927052610205,123
90,青花瓷茶飲,apb0,2,['飲料'],False,29.0,79.0,30.0,5.0,0.7292800053466345,348
91,圓環鴨肉羹,v2qs,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,0.4578679427072118,279
92,阿宏師涼麵嘉義雞肉飯 (松山八德店),j22e,2,"['湯品', '麵食', '台式']",False,29.0,79.0,35.0,5.0,0.7012573016105855,211
93,吉野家 Yoshinoya (台北南二店),x8kn,2,"['便當', '日式']",False,29.0,79.0,30.0,5.0,0.7621662264303648,2108
