,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,超大杯 (基隆復興店),z9gg,1,['甜點'],False,25.0,79.0,35.0,5.0,1.10843267770787,1686
1,達美樂 (基隆復興店),fj5x,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,1.200707522484907,78
2,清心福全 (基隆復興店),a0sj,2,['飲料'],False,25.0,79.0,35.0,5.0,1.074856694318282,1094
3,CoCo都可 (基隆復興店),krlq,2,['飲料'],False,25.0,79.0,35.0,5.0,1.0861075190008957,184
4,融好台，越式美食小館,cn5l,2,"['便當', '東南亞']",False,25.0,79.0,35.0,5.0,0.9359862550054925,158
5,富小屋鹹酥雞,jd1x,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,10.0,0.9766587156954408,144
6,有點義式Pasta,k9jy,2,"['歐美', '麵食']",False,25.0,79.0,40.0,15.0,0.9358219144658002,0
7,桶Q紫米飯糰瑞麟美而美 (基隆中華店),zqkk,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,1.3133382372639928,263
8,餐車阿姨早午晚餐,vcam,1,"['早餐', '粥', '台式']",False,25.0,79.0,40.0,15.0,0.5737051898147818,99
9,麥味登 (基隆經國店),c2fp,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.5327867517789001,224
10,永瑞美又美早餐店,a4yw,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.6411461708303346,1001
11,老窩咖啡館 (基隆復興店),a3qr,2,"['咖啡', '歐美']",False,25.0,79.0,40.0,10.0,1.1739942869077458,831
12,一路甄香,e6bq,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.5864510611942939,683
13,黃麵豬腳湯,d3ey,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,1.2140342783559337,889
14,滷冰花麻辣燙,n5u6,2,['小吃'],False,25.0,79.0,40.0,15.0,0.6038777648286734,1094
15,八角弁當,z2oq,2,"['便當', '台式']",False,25.0,79.0,40.0,10.0,0.4597627135948719,867
16,三媽臭臭鍋 (基隆復興店),hxoa,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,1.289757300597776,254
17,金城燒臘店 (基隆復興店),t0cz,2,"['便當', '港式']",False,25.0,79.0,40.0,15.0,1.1577280266215457,1211
18,高記麵疙瘩,z1rp,2,"['湯品', '粥', '台式']",False,25.0,79.0,40.0,10.0,0.6545407762746157,821
19,鍋台銘 (基隆文化店),y555,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.08903103581111996,17
20,八方雲集 (基隆復興店),te1j,2,"['台式', '餃子']",False,25.0,79.0,40.0,15.0,1.1325704711176696,114
21,榮爸小廚房麵飯館,d7je,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.956470396985623,587
22,發現奇雞 (經國店),r7gb,2,"['小吃', '炸雞']",False,25.0,79.0,40.0,15.0,0.6363549857684598,251
23,桔林鐵板燒,lv9o,2,"['鐵板燒', '台式']",False,25.0,79.0,40.0,15.0,0.8649268489007816,21
24,天廚,h3mn,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,0.6157915034778649,490
25,上海湯包,z1mq,2,"['中式', '湯品']",False,25.0,79.0,40.0,10.0,0.592189679504117,1072
26,鍋燒MAN,o9y9,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,1.2835049112493198,5
27,石碇公臭臭鍋,z1af,2,"['火鍋', '台式']",False,25.0,79.0,40.0,10.0,0.6028954009357024,491
28,陳姐臺灣食堂 (基隆復興店),z2vp,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.6403189200117271,966
29,愛喝飲料、輕食,a0dm,1,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.6535646790029379,327
30,陳家蜜汁香雞排,z1dd,2,"['小吃', '炸雞']",False,25.0,79.0,40.0,10.0,0.6139640382463154,510
31,95平價厚切牛排館,d0cq,3,"['歐美', '牛排']",False,25.0,79.0,40.0,10.0,0.9788862236162388,295
32,滿足手工蛋餅,a4gf,1,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.8171902606356015,3026
33,何家當歸,d6fl,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.967923851229495,328
34,基隆廟口鴨肉飯 (基隆仁愛分店),k6rs,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,3.0654547844149356,785
35,QQ烤鴨 (基隆西定店),pd0d,3,['中式'],False,25.0,79.0,40.0,15.0,2.4881976547507967,351
36,貴客咖啡複合式餐飲,ud2l,2,"['咖啡', '台式']",False,25.0,79.0,40.0,15.0,2.883241658815638,43
37,謝記章魚腳,z0am,2,['小吃'],False,25.0,79.0,40.0,10.0,3.1568269471139465,459
38,今日早點,m882,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.9091939549495627,684
39,崁仔頂東方美,ctib,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.975273270057718,51
40,阿信豆漿,jwyc,2,['小吃'],False,25.0,79.0,40.0,15.0,2.8044048712560756,92
41,呷尚寶Jsp早餐店(基隆西定店),z6yf,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.1963963578609955,4697
42,樂多吐司,z4ej,2,"['歐美', '三明治 / 吐司']",False,25.0,79.0,40.0,10.0,2.8762508932498987,570
43,曾豆腐,v5x6,2,['小吃'],False,25.0,79.0,40.0,15.0,2.2917659377121034,76
44,安樂美而美,z6nl,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.896169812574911,2217
45,呷尚寶早餐店,i8yl,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.4331464968620735,2636
46,五點鐘漢堡 (基隆中和店),td4j,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,1.3738591452693212,364
47,哈囉Q堡早餐店,qk8d,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.2577815850909917,480
48,達美樂 (基隆復興店),fj5x,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,1.200707522484907,78
49,清心福全 (基隆復興店),a0sj,2,['飲料'],False,25.0,79.0,35.0,5.0,1.074856694318282,1094
50,CoCo都可 (基隆復興店),krlq,2,['飲料'],False,25.0,79.0,35.0,5.0,1.0861075190008957,184
51,融好台，越式美食小館,cn5l,2,"['便當', '東南亞']",False,25.0,79.0,35.0,5.0,0.9359862550054925,158
52,富小屋鹹酥雞,jd1x,2,"['小吃', '炸雞']",False,25.0,79.0,35.0,10.0,0.9766587156954408,144
53,有點義式Pasta,k9jy,2,"['歐美', '麵食']",False,25.0,79.0,40.0,15.0,0.9358219144658002,0
54,桶Q紫米飯糰瑞麟美而美 (基隆中華店),zqkk,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,1.3133382372639928,263
55,餐車阿姨早午晚餐,vcam,1,"['早餐', '粥', '台式']",False,25.0,79.0,40.0,15.0,0.5737051898147818,99
56,麥味登 (基隆經國店),c2fp,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,0.5327867517789001,224
57,永瑞美又美早餐店,a4yw,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.6411461708303346,1001
58,老窩咖啡館 (基隆復興店),a3qr,2,"['咖啡', '歐美']",False,25.0,79.0,40.0,10.0,1.1739942869077458,831
59,一路甄香,e6bq,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.5864510611942939,683
60,黃麵豬腳湯,d3ey,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,1.2140342783559337,889
61,滷冰花麻辣燙,n5u6,2,['小吃'],False,25.0,79.0,40.0,15.0,0.6038777648286734,1094
62,八角弁當,z2oq,2,"['便當', '台式']",False,25.0,79.0,40.0,10.0,0.4597627135948719,867
63,三媽臭臭鍋 (基隆復興店),hxoa,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,1.289757300597776,254
64,金城燒臘店 (基隆復興店),t0cz,2,"['便當', '港式']",False,25.0,79.0,40.0,15.0,1.1577280266215457,1211
65,高記麵疙瘩,z1rp,2,"['湯品', '粥', '台式']",False,25.0,79.0,40.0,10.0,0.6545407762746157,821
66,鍋台銘 (基隆文化店),y555,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,0.08903103581111996,17
67,八方雲集 (基隆復興店),te1j,2,"['台式', '餃子']",False,25.0,79.0,40.0,15.0,1.1325704711176696,114
68,榮爸小廚房麵飯館,d7je,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.956470396985623,587
69,發現奇雞 (經國店),r7gb,2,"['小吃', '炸雞']",False,25.0,79.0,40.0,15.0,0.6363549857684598,251
70,桔林鐵板燒,lv9o,2,"['鐵板燒', '台式']",False,25.0,79.0,40.0,15.0,0.8649268489007816,21
71,天廚,h3mn,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,0.6157915034778649,490
72,上海湯包,z1mq,2,"['中式', '湯品']",False,25.0,79.0,40.0,10.0,0.592189679504117,1072
73,鍋燒MAN,o9y9,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,1.2835049112493198,5
74,石碇公臭臭鍋,z1af,2,"['火鍋', '台式']",False,25.0,79.0,40.0,10.0,0.6028954009357024,491
75,陳姐臺灣食堂 (基隆復興店),z2vp,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,0.6403189200117271,966
76,愛喝飲料、輕食,a0dm,1,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,0.6535646790029379,327
77,陳家蜜汁香雞排,z1dd,2,"['小吃', '炸雞']",False,25.0,79.0,40.0,10.0,0.6139640382463154,510
78,95平價厚切牛排館,d0cq,3,"['歐美', '牛排']",False,25.0,79.0,40.0,10.0,0.9788862236162388,295
79,滿足手工蛋餅,a4gf,1,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,0.8171902606356015,3026
80,何家當歸,d6fl,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.967923851229495,328
81,基隆廟口鴨肉飯 (基隆仁愛分店),k6rs,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,3.0654547844149356,785
82,QQ烤鴨 (基隆西定店),pd0d,3,['中式'],False,25.0,79.0,40.0,15.0,2.4881976547507967,351
83,貴客咖啡複合式餐飲,ud2l,2,"['咖啡', '台式']",False,25.0,79.0,40.0,15.0,2.883241658815638,43
84,謝記章魚腳,z0am,2,['小吃'],False,25.0,79.0,40.0,10.0,3.1568269471139465,459
85,今日早點,m882,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.9091939549495627,684
86,崁仔頂東方美,ctib,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.975273270057718,51
87,阿信豆漿,jwyc,2,['小吃'],False,25.0,79.0,40.0,15.0,2.8044048712560756,92
88,呷尚寶Jsp早餐店(基隆西定店),z6yf,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.1963963578609955,4697
89,樂多吐司,z4ej,2,"['歐美', '三明治 / 吐司']",False,25.0,79.0,40.0,10.0,2.8762508932498987,570
90,曾豆腐,v5x6,2,['小吃'],False,25.0,79.0,40.0,15.0,2.2917659377121034,76
91,安樂美而美,z6nl,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.896169812574911,2217
92,呷尚寶早餐店,i8yl,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.4331464968620735,2636
93,五點鐘漢堡 (基隆中和店),td4j,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,1.3738591452693212,364
94,哈囉Q堡早餐店,qk8d,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.2577815850909917,480
95,辰味早午餐,wyqe,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.260683266596775,794
96,city 晨市早餐,rnvb,2,"['早餐', '歐美']",False,25.0,79.0,40.0,15.0,2.4738540845194423,128
97,餐車阿姨早午晚餐 (大慶店),psf4,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,1.47908559052291,39
98,諸城水煎包 (基隆武崙店),m6g9,2,"['湯品', '小吃']",False,25.0,79.0,40.0,15.0,2.410599197467347,341
99,元味黑豬肉小籠包燒賣,adsi,2,['中式'],False,25.0,79.0,40.0,15.0,2.485197096368643,81
100,東方美成功店華二街,yr2j,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.1061798371267426,850
101,基隆香濃永和豆漿 (基隆仁二店),k7oy,2,"['早餐', '小吃']",False,25.0,79.0,40.0,15.0,3.4611141761149034,1573
102,媽媽樂早餐屋,sew4,1,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.5936328816333782,105
103,康堡,d3vy,1,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,3.508147156670141,540
104,昇美早餐屋 (基隆成功店),y8ut,2,"['早餐', '歐美']",False,25.0,79.0,40.0,15.0,3.026780277542149,2957
105,早安楊婆婆早午餐店,d3at,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.6333211826020864,2128
106,麥味登 (基隆凱悅店),e6m5,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,2.174690135137172,51
107,江家養生素麵線羹,t4jr,1,"['麵食', '素食']",False,25.0,79.0,40.0,15.0,2.6872964441879956,219
108,瑞麟美而美 (基隆安一店),a1mj,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.4189732731869604,1569
109,紅橘子精緻早午餐 (基隆仁五店),s3hu,2,"['早餐', '台式']",True,25.0,79.0,40.0,15.0,3.2043630954680693,1824
110,晨光清粥小菜,yuiv,2,['台式'],False,25.0,79.0,40.0,15.0,2.1673828121174568,130
111,雅緹小棧早餐店,o078,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,3.646691693389765,47
112,Morning簡單點,guyi,2,"['早餐', '歐美']",False,25.0,79.0,40.0,15.0,2.3368216004101114,126
113,呷尚寶早餐店 (基隆東岸店),z5sx,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.663808743263117,1455
114,品昶小籠包,z0zp,2,"['中式', '湯品']",False,25.0,79.0,40.0,10.0,2.1255872627978256,1261
115,燒賣大王,q79m,2,"['湯品', '台式']",False,25.0,79.0,40.0,15.0,2.768375008206595,93
116,蔬福素食早午餐,zpcf,2,"['麵食', '素食']",False,25.0,79.0,40.0,15.0,2.802200638703056,69
117,My Way早午餐,a0ti,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.3734774022288176,1493
118,摩斯漢堡Mos Burger (基隆站前店),y2bt,2,"['漢堡', '日式']",False,25.0,79.0,40.0,20.0,2.709519396471024,3391
119,阿惜仔古早味,z0wm,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,3.140430473897935,1211
120,A-bao (安樂基金店),d3id,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.643451479291039,1927
121,燈村號,z3xk,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.5197913407265,1039
122,樂樂複合式餐飲,yu5x,1,"['便當', '台式']",False,25.0,79.0,40.0,15.0,3.3231689775372395,24
123,家弘米粉湯,a0ac,2,['小吃'],False,25.0,79.0,40.0,10.0,3.5105471309528227,948
124,幸福旗魚麵線羹,v5xp,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,2.6505421119418857,1071
125,麥味登 (基隆孝三店),y6ax,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.835686732810444,1430
126,黃大塊財麵線焿,hglm,2,"['麵食', '小吃']",False,25.0,79.0,40.0,15.0,3.5624816206826955,440
127,超吉碳烤三明治,pkab,1,"['台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,2.872436746405413,0
128,cama café (基隆仁愛店),b1d5,2,"['咖啡', '飲料']",False,25.0,79.0,40.0,15.0,3.254865668649761,119
129,兩津芙蓉蛋塔 (基隆安樂店),mvsb,2,['甜點'],False,25.0,79.0,40.0,15.0,2.492376612007086,144
130,車站阿伯,z3hz,2,"['湯品', '台式']",False,25.0,79.0,40.0,10.0,2.517296850230662,437
131,麥味登 (基隆情人湖店),z2no,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.5799739560882085,3547
132,雞大娘 鹽水 甘蔗 雞鵝,gs75,2,['小吃'],False,25.0,79.0,40.0,15.0,3.6039702230942687,18
133,港邊小吃,kg1e,2,"['麵食', '粥', '台式']",False,25.0,79.0,40.0,15.0,2.65676116654451,5
134,郭家美食,l3m1,1,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,15.0,2.717092857178078,468
135,愛弘早餐．義式咖啡 (基隆復興店),z4dd,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,1.3941634261308942,1307
136,Louisa 路易莎 (安樂大武崙店),d2kj,2,"['咖啡', '蛋糕', '歐美']",False,25.0,79.0,40.0,10.0,2.5845128359985887,2116
137,祝福早餐店,y0fp,1,['台式'],False,25.0,79.0,40.0,10.0,2.4759936109523686,457
138,初沐Qmilk Coffee&JuiceBar(基隆站前店),ec9m,2,"['咖啡', '歐美']",False,25.0,79.0,40.0,15.0,2.778612373507445,873
139,麻辣大腸麵線,i4kj,1,['小吃'],False,25.0,79.0,40.0,15.0,2.8876021309942903,381
140,尋飽早餐,z7rt,2,"['早餐', '台式']",False,25.0,79.0,40.0,10.0,2.6165927858024087,519
141,小豬媽碳烤吐司,u4xd,1,"['台式', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,2.5391273533869083,144
142,三坑高記手工粉圓,z2pa,1,['甜點'],True,25.0,79.0,40.0,10.0,3.673598704844803,462
143,溫莎堡 (仁愛忠一店),f2zl,1,"['甜點', '蛋糕']",False,25.0,79.0,40.0,15.0,2.715069066615701,92
144,homee CAFE 好饗咖啡 (基隆中正店),gmt6,2,"['咖啡', '歐美']",False,25.0,79.0,40.0,15.0,2.807472845905171,320
145,弘爺漢堡 (基隆孝三店),vg9u,2,"['早餐', '台式']",False,25.0,79.0,40.0,15.0,2.743577070081523,106
146,月之牛牛排 義大利麵,m0su,3,"['台式', '牛排']",True,25.0,79.0,40.0,15.0,2.9950092990291566,277
147,漫步藍咖啡 (基隆義二店),c7il,2,"['咖啡', '蛋糕', '歐美', '三明治 / 吐司']",False,25.0,79.0,40.0,15.0,2.96468759990688,2
148,鍋苔皿麵食館仁愛市場A7,yhnx,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,3.138278502172159,1080
149,鄭媽の滷味,z6no,2,['小吃'],False,25.0,79.0,40.0,10.0,2.396334024250494,673
150,8克咖啡,h4nv,2,"['咖啡', '台式']",False,25.0,79.0,40.0,15.0,3.5043447899111637,238
151,站前壽司,p25x,2,['日式'],False,25.0,79.0,40.0,15.0,3.6514229381842416,179
152,越南姊妹美食,d0gq,2,"['湯品', '東南亞']",False,25.0,79.0,40.0,10.0,2.8087662711922197,1341
153,三坑阿婆麵線羹,x9iv,2,"['湯品', '麵食', '小吃']",False,25.0,79.0,40.0,15.0,3.658238067451167,971
154,八方雲集 (基隆中和店),d7dt,2,"['台式', '餃子']",False,25.0,79.0,40.0,10.0,1.5395274430131427,749
155,越吃越多 廣東粥,uxkc,2,"['粥', '台式']",False,25.0,79.0,40.0,15.0,2.895845608660951,294
156,隆晴樺食堂,ogku,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,2.9840585215224364,2480
157,范師傅燒烤便當,f9yt,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,2.7748469816866534,1920
158,饗食雞便當屋,dbgz,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,3.258320463376951,375
159,小劉排骨飯專賣店,e1vs,2,"['便當', '台式']",False,25.0,79.0,40.0,10.0,2.6139038791991758,624
160,可不可熟成紅茶 (基隆孝一店),d61n,2,['飲料'],False,25.0,79.0,40.0,15.0,2.8577488356524086,1906
161,龍門客棧麵店,z4ia,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.7386159951852385,372
162,義思海苔飯捲,z3iv,2,['韓式'],False,25.0,79.0,40.0,10.0,2.905681357076828,2140
163,黑沃咖啡 (基隆義一店),nxkb,2,"['咖啡', '飲料']",False,25.0,79.0,40.0,15.0,2.6925616772764855,29
164,箏壽司,y7ci,2,['日式'],False,25.0,79.0,40.0,15.0,2.8394418876061778,1589
165,基隆孝三大腸圈 (50年正宗老店),zwqt,2,['小吃'],False,25.0,79.0,40.0,15.0,2.7355664482921767,295
166,崔家小卷米粉,ph67,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,2.8499099756184885,112
167,祖傳潤餅&有緣果汁,crxc,1,['小吃'],False,25.0,79.0,40.0,15.0,3.1459632176273384,148
168,金仙魯肉飯 (基隆安樂店),y7sk,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,3.5485919159392476,2407
169,郭家炒飯炒麵,v54g,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,15.0,3.194872844502682,67
170,紅越河粉餐廳,d10u,2,"['湯品', '東南亞']",False,25.0,79.0,40.0,15.0,3.3045162239369614,47
171,351廚房 刈包 米糕 肉粽 清蒸肉圓 焢肉飯,b75z,2,['小吃'],False,25.0,79.0,40.0,15.0,3.1376071485632844,31
172,食全食美小吃店,pi4n,2,"['湯品', '便當', '台式']",False,25.0,79.0,40.0,15.0,2.797272345446327,59
173,豬隊友食堂,v4kt,2,"['麵食', '台式']",False,25.0,79.0,40.0,15.0,3.131368437219489,5
174,虎克咖啡及日式炒麵,qwsf,2,"['咖啡', '麵食', '日式']",False,25.0,79.0,40.0,15.0,2.9390842545001705,72
175,三京麥面,hbz1,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,15.0,2.809714324028218,300
176,梁社漢排骨 (基隆義二店),q1m5,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,2.9657506558080713,37
177,家味鮮熱炒店,dsgc,2,['台式'],False,25.0,79.0,40.0,15.0,1.2883186707151035,364
178,滬家自助餐 (基隆安樂店),nbkn,2,"['便當', '台式']",False,25.0,79.0,40.0,15.0,3.642181173256714,443
179,一鍋台式鍋燒麵 (基隆武崙店),z7cb,2,"['湯品', '麵食', '台式']",False,25.0,79.0,40.0,10.0,2.691964526722498,3418
180,龍記燒臘 (基隆店),y4pg,2,"['便當', '港式']",False,25.0,79.0,40.0,15.0,3.584680772438297,240
181,心辣面舖,fypd,2,"['湯品', '台式']",False,25.0,79.0,40.0,15.0,2.4761038174694785,289
182,永御手工水餃,cq6d,2,"['湯品', '台式', '餃子']",False,25.0,79.0,40.0,15.0,2.9328969024048983,3
183,水中餃龍,z1kt,2,"['湯品', '台式', '餃子']",False,25.0,79.0,40.0,20.0,2.4246224504290996,3071
184,新泰海南雞飯 (基隆義二店),ty30,2,"['便當', '東南亞']",False,25.0,79.0,40.0,15.0,2.9158064911867854,1503
185,九湯屋日式拉麵 (基隆店),y1yx,2,"['麵食', '日式']",False,25.0,79.0,40.0,15.0,3.11460353700485,2129
186,咘咘糕,z0wa,2,['甜點'],False,25.0,79.0,40.0,10.0,3.1583759710400257,199
187,人从众厚切牛排 (基隆愛三店),xv05,3,"['歐美', '牛排']",False,25.0,79.0,40.0,15.0,3.032374616713337,1836
188,炒飯匠 (基隆廟口店),x4rj,2,['台式'],False,25.0,79.0,40.0,15.0,3.191935596416627,17
189,寶媽麵飯館,d6ue,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,3.2729646638946,3296
190,龜記茗品 (基隆廟口店),cssd,2,['飲料'],False,25.0,79.0,40.0,15.0,3.1046265839238134,267
191,微笑PASTA (基隆仁一店),y0ys,2,"['歐美', '麵食']",False,25.0,79.0,40.0,15.0,3.138060690679141,1310
192,丸亀製麵 (基隆仁愛店),z9gb,2,"['麵食', '日式']",False,25.0,79.0,40.0,10.0,2.9294728209662675,1673
193,大呼過癮 (基隆忠二店),h6he,2,"['火鍋', '台式']",False,25.0,79.0,40.0,15.0,2.814954040358519,1325
194,太祖魷魚羹 (基隆情人湖店),a4hp,2,"['麵食', '台式']",False,25.0,79.0,40.0,10.0,2.336607334731489,1410
195,安一海南雞飯 (基隆總店),q564,2,"['便當', '東南亞']",False,25.0,79.0,40.0,15.0,2.7688820799756217,144
196,雙醬咖哩 (大武崙店),d5ru,2,"['咖哩', '日式']",False,25.0,79.0,40.0,10.0,2.6692975560035235,2204
197,麻弍子 麻辣臭豆腐鴨血專賣店,mmfz,2,['小吃'],False,25.0,79.0,40.0,15.0,2.2487123953630435,588
198,胖茶,xgcd,1,['飲料'],False,25.0,79.0,40.0,15.0,2.57012399615881,1
199,一燔咖哩歐姆蛋包飯 (基隆總店),y2cg,2,"['咖哩', '日式']",False,25.0,79.0,40.0,15.0,3.112019496446253,3035
200,50嵐 (基隆廟口店),f2zu,2,['飲料'],False,25.0,79.0,40.0,15.0,3.1991070707533895,2071
201,Let’s Poke 來吃波奇 (夏威夷拌飯),aioz,2,"['便當', '健康餐']",False,25.0,79.0,40.0,15.0,2.264755696847787,563
202,西定生炒鴨肉羹,rsan,2,"['麵食', '小吃']",False,25.0,79.0,40.0,15.0,1.812139460169148,84
203,泰機車泰式料理,y2ly,2,"['湯品', '東南亞']",False,25.0,79.0,40.0,15.0,3.1350610079054695,1934
