,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (淡水淡金外送店),fwo2,2,"['披薩', '歐美']",False,29.0,79.0,30.0,10.0,1.07935789856852,22
1,清心福全 (淡水淡金店),t8qx,2,['飲料'],False,29.0,79.0,30.0,5.0,1.0329265924095432,106
2,鳥巢義窩,kiu1,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,0.17668700927059391,90
3,石鍋燉飯俱樂部 (新北淡水店),xkp3,2,"['便當', '歐美']",False,29.0,79.0,40.0,15.0,0.17668700927059391,30
4,義式蔬食料理,rqlk,2,['素食'],False,29.0,79.0,40.0,15.0,0.14211302933530276,82
5,泰好吃打拋豬,y7ju,2,"['麵食', '東南亞']",False,29.0,79.0,40.0,10.0,0.14221091612917539,616
6,弘爺漢堡 (新淡金店),lki5,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.2291521069575078,153
7,新加坡肉骨茶 (新北淡水店),y7uy,1,['東南亞'],False,29.0,79.0,40.0,15.0,0.14221091612917539,146
8,冷翠茶,y3dp,2,['飲料'],False,29.0,79.0,40.0,15.0,0.14211302933530276,216
9,焗烤厚片工坊,krb1,2,['歐美'],False,29.0,79.0,40.0,15.0,0.17668700927059391,7
10,小西門飲食店,ppk6,1,"['便當', '台式']",False,29.0,79.0,40.0,15.0,1.2512647790237956,0
11,下山串義Café,dgrd,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,1.9364838341915362,6
12,朵ㄦ義麵,rx72,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,3.2934871524532348,19
13,大鐤小吃,qyua,2,"['湯品', '便當', '台式']",False,29.0,79.0,40.0,15.0,3.2627638863983113,15
14,哦嗨喲布朗趣 (水碓店),gwha,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,4.468499507198182,332
15,宅宅便當&早午餐,p7x6,2,"['便當', '麵食', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,3.0399184607059584,21
16,淡水巧沛東方美,ihg6,2,['台式'],False,29.0,79.0,40.0,15.0,3.9409428959814026,570
17,素環珍-香菇素麵線,c1pr,1,"['麵食', '素食']",False,29.0,79.0,40.0,15.0,4.523366121621291,1106
18,咘魯詩早午餐,oakx,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,3.4079244574938423,1337
19,拉亞漢堡 (淡水海都店),e3yq,2,"['早餐', '歐美']",False,29.0,79.0,40.0,10.0,2.5709995731554276,1343
20,花開早午餐,b0np,2,"['早餐', '歐美']",False,29.0,79.0,40.0,10.0,3.1714478950915495,1398
21,麥町吐司工房 (淡水北新店),h7em,2,"['早餐', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,4.148579092174048,69
22,摩斯漢堡Mos Burger  (淡水中北店),mjke,2,"['漢堡', '日式']",False,29.0,79.0,40.0,15.0,3.683462562971414,1017
23,N25早午餐,a7vj,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,3.2731956835266685,1055
24,夠in咖啡 (淡水北新店),d1gq,2,"['咖啡', '歐美']",False,29.0,79.0,40.0,10.0,4.465668868494685,2479
25,早早。早午餐,z6fv,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,4.37599336984545,3003
26,cama café (淡水新市店),e2ix,2,"['咖啡', '飲料']",True,29.0,79.0,40.0,10.0,3.605246233108983,769
27,醇粹飲品館,a5qt,2,['台式'],False,29.0,79.0,40.0,10.0,3.193796075156647,314
28,海維克早午餐,z8ev,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,3.6414461273885848,841
29,黑沃咖啡 (淡水新市店),xkmf,2,"['咖啡', '飲料']",False,29.0,79.0,40.0,15.0,3.7486626163637387,41
30,晶淳快餐,uqac,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,4.438405967353168,452
31,三重知高飯 (淡水北新店),b8hc,2,"['便當', '台式']",False,29.0,79.0,40.0,10.0,4.421507427919211,2163
32,老圓環超大雞腿便當店,hwev,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,4.705208827850055,1788
33,川味串香麵食館,z8en,2,"['中式', '麵食']",False,29.0,79.0,40.0,10.0,4.391986020177173,3370
34,悟饕池上飯包 (淡水新市鎮店),rcup,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,3.4079127146679484,347
35,汰汰泰式熱炒 (淡新家樂福店),i6gv,3,['東南亞'],False,29.0,79.0,40.0,15.0,3.3513074823116336,494
36,義米蘭 (淡水店),koa1,2,"['披薩', '歐美']",False,29.0,79.0,40.0,15.0,2.4230639113045003,247
37,八方雲集 (淡水新市店),b5vx,2,"['台式', '餃子']",False,29.0,79.0,40.0,10.0,3.8711236776272377,2822
38,青丘苑,egms,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,4.215257100290265,706
39,八方雲集 (淡水新春店),huba,2,"['台式', '餃子']",False,29.0,79.0,40.0,15.0,4.14289693993638,157
40,金鶴呷,wodp,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,4.118501476854322,108
41,香港財哥快餐,c7np,2,"['便當', '港式']",False,29.0,79.0,40.0,15.0,4.600804851320151,1133
42,Doris's Kitchen健康餐盒,lvvl,2,"['便當', '健康餐']",False,29.0,79.0,40.0,15.0,3.6744942510954712,1993
43,荖子鍋 (淡新家樂福店),n4am,3,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,3.3421548403548456,120
44,J6韓食餐館,usyr,2,"['韓式', '炸雞']",False,29.0,79.0,40.0,15.0,2.3966155221221763,96
45,福裕大阪焼,e4lm,3,"['麵食', '日式']",False,29.0,79.0,40.0,10.0,2.639296066143775,248
46,台灣G湯 淡水新市店,m0zd,2,"['湯品', '便當', '台式']",False,29.0,79.0,40.0,15.0,3.615477452637281,1486
47,鑫之食堂,tap6,1,"['便當', '麵食', '台式']",False,29.0,79.0,40.0,15.0,2.555102656427155,14
48,清心福全 (淡水淡金店),t8qx,2,['飲料'],False,29.0,79.0,30.0,5.0,1.0329265924095432,106
49,鳥巢義窩,kiu1,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,0.17668700927059391,90
50,石鍋燉飯俱樂部 (新北淡水店),xkp3,2,"['便當', '歐美']",False,29.0,79.0,40.0,15.0,0.17668700927059391,30
51,義式蔬食料理,rqlk,2,['素食'],False,29.0,79.0,40.0,15.0,0.14211302933530276,82
52,泰好吃打拋豬,y7ju,2,"['麵食', '東南亞']",False,29.0,79.0,40.0,10.0,0.14221091612917539,616
53,弘爺漢堡 (新淡金店),lki5,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.2291521069575078,153
54,新加坡肉骨茶 (新北淡水店),y7uy,1,['東南亞'],False,29.0,79.0,40.0,15.0,0.14221091612917539,146
55,冷翠茶,y3dp,2,['飲料'],False,29.0,79.0,40.0,15.0,0.14211302933530276,216
56,焗烤厚片工坊,krb1,2,['歐美'],False,29.0,79.0,40.0,15.0,0.17668700927059391,7
57,小西門飲食店,ppk6,1,"['便當', '台式']",False,29.0,79.0,40.0,15.0,1.2512647790237956,0
58,下山串義Café,dgrd,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,1.9364838341915362,6
59,朵ㄦ義麵,rx72,2,"['歐美', '麵食']",False,29.0,79.0,40.0,15.0,3.2934871524532348,19
60,大鐤小吃,qyua,2,"['湯品', '便當', '台式']",False,29.0,79.0,40.0,15.0,3.2627638863983113,15
61,哦嗨喲布朗趣 (水碓店),gwha,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,4.468499507198182,332
62,宅宅便當&早午餐,p7x6,2,"['便當', '麵食', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,3.0399184607059584,21
63,淡水巧沛東方美,ihg6,2,['台式'],False,29.0,79.0,40.0,15.0,3.9409428959814026,570
