,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Home28咖哩 (台中大里店),jg61,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,2.5414919820928867,612
1,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,50.0,35.0,1.9914728466261764,7292
2,麻角-鍋專門鍋物．拌麵,wcrq,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,1.7016589506783952,800
3,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.8022320247443594,1883
4,Pizza Hut必勝客 (台中工學店),z7ix,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.3659840885965056,2670
5,鴨王鴨肉飯 (台中向上店),z4jg,2,"['湯品', '台式']",True,15.0,79.0,30.0,15.0,3.061072512079592,8368
6,3鼎紅麻辣鴨血臭豆腐 (南屯黎明店),imxx,2,['小吃'],False,15.0,79.0,25.0,5.0,3.035571420183303,221
7,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.7611708384936418,2259
8,釜山崔炸雞 (南區大慶店),ikgs,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,1.2026823613452788,1935
9,斗六門當歸鴨 台中南屯店,r2ox,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.5487001431420078,1998
10,頂呱呱TKK (台中南屯店),qn5z,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,5.0,3.363421255140087,463
11,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,45.0,30.0,0.8532630587467115,32
12,肉鮮生Mr.M.EAT韓式烤肉 (台中文心店),i28p,2,"['韓式', '便當', '炸雞']",False,15.0,79.0,40.0,20.0,2.3581974736878593,28
13,信川屋博多豚骨拉麵店,jbvp,2,"['麵食', '日式']",False,15.0,79.0,35.0,15.0,3.245233962189703,10
14,上和園滷味,yqr5,2,['小吃'],False,15.0,79.0,30.0,5.0,4.238332832148417,8
15,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,65.0,45.0,2.8036339352731763,10
16,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,2.705476649477394,1087
17,丸勝咖哩,eulz,2,"['咖哩', '日式']",False,15.0,79.0,30.0,10.0,4.292250561547744,1970
