,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,三漫食義,vkqd,3,"['歐美', '麵食']",False,9.0,79.0,25.0,10.0,3.6066666915584795,693
1,鮮炒飲食,rb5m,2,"['便當', '台式']",False,9.0,79.0,25.0,5.0,3.80112332711128,1015
2,粉圓之家 QQ HOUSE,zl1u,2,['小吃'],False,9.0,79.0,25.0,5.0,3.888180569633787,1297
3,暗共叫炒飯麵燉品專門,ir7e,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,5.0,3.372818628780194,96
4,醇滷味 (苗栗竹南店),h2ft,2,['小吃'],False,9.0,79.0,25.0,5.0,3.922578509996984,744
5,清心福全 (竹南公義店),th92,2,['飲料'],False,9.0,79.0,25.0,5.0,3.383325504812756,12
6,人愛小館,ejdv,2,"['湯品', '台式']",False,9.0,79.0,40.0,20.0,3.605208752935671,109
7,店長料理,u0uq,3,"['麵食', '台式']",False,9.0,79.0,35.0,20.0,3.9793670962951833,296
8,Old Soul老靈魂餐酒館,axrc,2,['東南亞'],False,9.0,79.0,35.0,15.0,3.8780570223855064,6
9,好吉爸餐點,d0hj,2,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.029759624118811,4046
10,弘爺漢堡 (竹南廣源店),f1fv,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.017910402988508,400
11,拉亞漢堡 (竹南中華店),odmo,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,3.2539428855587884,70
12,H 食在點,eh8w,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.278164210395882,99
13,享食享吃嘉義雞肉飯,k5rn,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,3.679062971052773,2117
14,京都腿庫飯,ahyk,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.7975755397233337,249
15,澔呆食堂手做飯盒專賣店,tss1,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.566157222718993,2880
16,六角工房,a8uy,2,"['便當', '日式']",False,9.0,79.0,40.0,10.0,3.384739626083295,1779
17,天仁CHAFFEE (苗栗竹南店),b6ql,2,['飲料'],False,9.0,79.0,40.0,10.0,3.181325315266068,1370
18,天仁喫茶趣 餐點 (竹南店),d4ht,3,['台式'],False,9.0,79.0,40.0,10.0,3.236404008729,377
19,鼎味寶藍菠雞 (竹南科專店),nkv2,2,['健康餐'],False,9.0,79.0,40.0,15.0,3.605411634193933,7
20,巴豆么食堂,rj27,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.3801527717515825,19
21,鮮炒飲食,rb5m,2,"['便當', '台式']",False,9.0,79.0,25.0,5.0,3.80112332711128,1015
22,粉圓之家 QQ HOUSE,zl1u,2,['小吃'],False,9.0,79.0,25.0,5.0,3.888180569633787,1297
23,暗共叫炒飯麵燉品專門,ir7e,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,5.0,3.372818628780194,96
24,醇滷味 (苗栗竹南店),h2ft,2,['小吃'],False,9.0,79.0,25.0,5.0,3.922578509996984,744
25,清心福全 (竹南公義店),th92,2,['飲料'],False,9.0,79.0,25.0,5.0,3.383325504812756,12
26,人愛小館,ejdv,2,"['湯品', '台式']",False,9.0,79.0,40.0,20.0,3.605208752935671,109
27,店長料理,u0uq,3,"['麵食', '台式']",False,9.0,79.0,35.0,20.0,3.9793670962951833,296
28,Old Soul老靈魂餐酒館,axrc,2,['東南亞'],False,9.0,79.0,35.0,15.0,3.8780570223855064,6
29,好吉爸餐點,d0hj,2,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,4.029759624118811,4046
30,弘爺漢堡 (竹南廣源店),f1fv,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.017910402988508,400
31,拉亞漢堡 (竹南中華店),odmo,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,3.2539428855587884,70
32,H 食在點,eh8w,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.278164210395882,99
33,享食享吃嘉義雞肉飯,k5rn,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,3.679062971052773,2117
34,京都腿庫飯,ahyk,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.7975755397233337,249
35,澔呆食堂手做飯盒專賣店,tss1,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.566157222718993,2880
36,六角工房,a8uy,2,"['便當', '日式']",False,9.0,79.0,40.0,10.0,3.384739626083295,1779
37,天仁CHAFFEE (苗栗竹南店),b6ql,2,['飲料'],False,9.0,79.0,40.0,10.0,3.181325315266068,1370
38,天仁喫茶趣 餐點 (竹南店),d4ht,3,['台式'],False,9.0,79.0,40.0,10.0,3.236404008729,377
39,鼎味寶藍菠雞 (竹南科專店),nkv2,2,['健康餐'],False,9.0,79.0,40.0,15.0,3.605411634193933,7
40,巴豆么食堂,rj27,2,"['便當', '台式']",False,9.0,79.0,40.0,15.0,3.3801527717515825,19
