,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (新竹馬偕店),z5gj,2,"['披薩', '歐美']",False,19.0,79.0,30.0,10.0,0.3175873373657359,2426
1,粥大福 (新竹東南店),s79y,2,"['粥', '台式']",False,19.0,79.0,30.0,5.0,1.200309266480847,277
2,陳家台南豆乳雞翅,ng64,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,2.100003903044752,95
3,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.9544074807060945,1810
4,繼光香香雞 (新竹廟前店),b9jv,2,"['台式', '炸雞']",False,19.0,79.0,30.0,5.0,2.0442108194494972,838
5,阿力香雞排 (新竹東門店),z0qp,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,1.4089358376617986,2340
6,法諾義式廚房,f8gr,2,"['歐美', '麵食']",False,19.0,79.0,30.0,5.0,1.3584223878916024,887
7,小時厚牛排 (新竹民生店),j1lk,3,"['台式', '牛排']",False,19.0,79.0,35.0,10.0,1.7969594726885594,964
8,臻穎牛肉麵食館,y3aj,2,"['麵食', '台式']",False,19.0,79.0,45.0,20.0,1.7867841951835508,2078
9,草本茶 (新竹中正店),v0tj,2,['甜點'],False,19.0,79.0,30.0,5.0,2.287296735823935,731
10,八鷹料亭,f2cd,2,['日式'],True,19.0,79.0,35.0,15.0,1.71871035232961,469
11,阿城號米粉,z1wm,2,['台式'],True,19.0,79.0,30.0,5.0,2.0451783958875387,1367
12,錢都 (新竹光復店),vinb,3,"['火鍋', '日式']",False,19.0,79.0,30.0,10.0,0.3962009108330837,114
13,小東門,ko1z,2,['台式'],False,19.0,79.0,40.0,15.0,1.7272817738651145,323
14,王子神谷おうじかみや (新竹店),z4rn,2,"['甜點', '蛋糕']",True,19.0,79.0,35.0,10.0,2.1158517612717156,740
15,苗楊冬瓜仙草絲,d1px,1,['甜點'],True,19.0,79.0,30.0,5.0,2.0754716200559455,584
16,海洋牛排,qpt4,2,"['台式', '牛排']",False,19.0,79.0,30.0,5.0,1.466730258005591,568
17,涮肉亭麻辣鍋 (新竹光復店),qnnr,3,"['中式', '火鍋']",False,19.0,79.0,45.0,25.0,0.4028399703399392,196
18,yummy私房料理,x3fl,3,['台式'],True,19.0,79.0,30.0,5.0,1.0730317123388309,113
19,麥當勞 (S412 新竹光復二店),g8yr,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,0.5575530891478858,5399
20,すき家 Sukiya (新竹站前店),f7ug,2,"['便當', '日式']",False,19.0,79.0,30.0,5.0,1.405856416089136,8399
21,璽子牛肉麵 (新竹店),au6z,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.29330889823291306,270
22,田園燉品屋,f1ub,2,['台式'],False,19.0,79.0,30.0,5.0,1.3043963143974033,4147
23,麻將麻辣臭豆腐 (新竹清大店),k65j,2,['小吃'],False,19.0,79.0,30.0,5.0,1.3510354022005933,242
24,墨竹亭｜燃麵本家 新竹光復店,w7u7,2,"['中式', '麵食']",False,19.0,79.0,25.0,5.0,0.30312889899511325,129
25,五桐號 (新竹食品店),adxk,2,['飲料'],False,19.0,79.0,30.0,5.0,0.983400208638169,184
26,粥大福 (新竹清大店),uhry,2,"['粥', '台式']",False,19.0,79.0,30.0,5.0,1.208798315654764,296
27,50嵐 (新竹民生店),a2nl,2,['飲料'],False,19.0,79.0,30.0,5.0,1.3094019893305946,2381
28,3Q脆皮雞排 (新竹清大店),y0yq,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,1.3580889517321622,4009
29,白鬍子厚切牛排 (新竹清大店),q637,2,"['台式', '牛排']",False,19.0,79.0,30.0,5.0,1.2792502682952989,2955
30,台北永和豆漿大王 (新竹南大店),e8ly,2,['小吃'],False,19.0,79.0,30.0,5.0,1.6983720754360128,5672
31,車站肉焿麵,v1gx,2,"['麵食', '台式']",False,19.0,79.0,35.0,10.0,1.4824406416824425,4155
32,鬍鬚張魯肉飯 (新竹北大店),y3vg,2,"['便當', '台式']",False,19.0,79.0,30.0,5.0,2.461817699844859,5285
33,粥師傅廣東粥 (新竹清大店),z0za,1,"['中式', '粥']",True,19.0,79.0,30.0,5.0,1.3677205894165818,2177
34,竹源快炒 (清大店),z7sr,2,['台式'],False,19.0,79.0,30.0,5.0,1.3075822829538128,2525
35,爆Q美式炸雞 (新竹中華店),e9ox,2,"['歐美', '炸雞']",False,19.0,79.0,35.0,15.0,1.014177649443531,1938
36,熊霸.串燒.鹽酥雞（林森店）,g636,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,1.8441743527008716,300
37,烏弄 (新竹巨城店),wsld,2,['飲料'],False,19.0,79.0,30.0,5.0,1.3421428523769627,1204
38,大爺鹽酥雞 (新竹食品店),b7ka,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,1.5015489816354104,3042
39,超愛吃湯包 (新竹民生店),s9qi,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,10.0,1.51473662042469,3723
40,SUBWAY (新竹東門店),d9hb,2,['歐美'],False,19.0,79.0,30.0,5.0,1.2966061759489287,4038
41,游麵館 (新竹中央店),z1x2,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,1.3615799144721916,266
42,肯德基KFC炸雞漢堡店 (新竹清大店),z0vx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,30.0,5.0,1.378785311178883,3595
