,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,朝正泰泰式料理（新竹水田旗艦店）,dml8,2,"['咖哩', '東南亞']",False,19.0,79.0,25.0,5.0,1.269014551223727,204
1,紅竹現炒,h2se,2,['台式'],False,19.0,79.0,25.0,5.0,0.6791312577768531,1968
2,陳家台南豆乳雞翅,ng64,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.593483773830081,95
3,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.2098301861766652,1810
4,繼光香香雞 (新竹廟前店),b9jv,2,"['台式', '炸雞']",False,19.0,79.0,25.0,5.0,0.6757151964928012,838
5,阿力香雞排 (新竹東門店),z0qp,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,1.283169316258566,2340
6,法諾義式廚房,f8gr,2,"['歐美', '麵食']",False,19.0,79.0,30.0,5.0,1.778385140448227,887
7,藍一東山鴨頭 (新竹延平店),c3rl,2,['小吃'],False,19.0,79.0,25.0,10.0,0.17524665009256518,875
8,小時厚牛排 (新竹民生店),j1lk,3,"['台式', '牛排']",False,19.0,79.0,30.0,10.0,1.5694961867943416,964
9,臻穎牛肉麵食館,y3aj,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,1.558410509905298,2078
10,八鷹料亭,f2cd,2,['日式'],True,19.0,79.0,35.0,15.0,0.9755105055485194,469
11,阿城號米粉,z1wm,2,['台式'],True,19.0,79.0,25.0,5.0,0.6847729195188781,1367
12,小東門,ko1z,2,['台式'],False,19.0,79.0,35.0,15.0,0.966560661726928,323
13,王子神谷おうじかみや (新竹店),z4rn,2,"['甜點', '蛋糕']",True,19.0,79.0,30.0,10.0,0.6470145816716613,740
14,苗楊冬瓜仙草絲,d1px,1,['甜點'],True,19.0,79.0,25.0,5.0,0.6637448665184046,584
15,憶客披薩 (新竹中華店),es7w,3,"['披薩', '歐美']",False,19.0,79.0,35.0,10.0,1.3698410497331985,674
16,yummy私房料理,x3fl,3,['台式'],True,19.0,79.0,30.0,5.0,1.8203900780067876,113
17,帝王食補 (新竹曙光店),k0o4,3,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.378093600926955,52
18,鬍鬚張魯肉飯 (新竹北大店),y3vg,2,"['便當', '台式']",False,19.0,79.0,25.0,5.0,0.3086591891049431,5285
19,麥當勞 (S287 新竹西大店),j7ax,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,0.31241027904746627,5950
20,麥味登 (新竹經國店),e0jh,2,"['早餐', '台式']",False,19.0,79.0,25.0,5.0,0.10803173502315981,4783
21,白鬍子厚切牛排 (城隍廟北門店),uye5,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.5823574730522972,3182
22,すき家 Sukiya (新竹站前店),f7ug,2,"['便當', '日式']",False,19.0,79.0,30.0,5.0,1.2910883724584683,8399
23,焗の飽 (新竹西大店),l3cq,2,"['歐美', '麵食']",False,19.0,79.0,30.0,10.0,0.4318281567826741,1257
24,阿香小吃 (西大店),a1as,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,0.5647602455650822,7131
25,郭家烤肉,o9yp,2,['小吃'],False,19.0,79.0,25.0,10.0,0.4670375510797749,1747
26,鴨肉許 (新竹中正店),e2co,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.608516829757572,3371
27,吳家小吃,b4pf,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.3539813665645968,1117
28,大碗公冰·甜品 (新竹中正店),b0pd,2,['甜點'],False,19.0,79.0,25.0,5.0,0.7642832189790515,1923
29,鴨肉許 (新竹西大店),y9ls,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6634033369355565,6209
30,阿力香雞排 (新竹中正店),l22d,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.6043173773306789,811
31,川牛木石亭 (新竹北門店),z3tc,2,"['便當', '日式']",False,19.0,79.0,25.0,5.0,0.5229710812682494,3312
32,日拾鹽酥雞專賣,u1qm,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,0.6563067239849872,2296
33,六扇門 (新竹延平店),a0it,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,0.5211642133769407,2569
34,粥師傅廣東粥 (新竹北門店),p1pu,2,"['中式', '粥']",False,19.0,79.0,25.0,5.0,0.6037391638831766,1516
35,重慶水煮魚,ok4r,2,"['中式', '麵食']",False,19.0,79.0,25.0,5.0,0.39369806045356925,551
36,北木鹽酥雞,y5fc,2,"['小吃', '炸雞']",False,19.0,79.0,40.0,20.0,0.593194712722547,7044
37,摩斯漢堡Mos Burger (新竹北大店),f7uz,2,"['漢堡', '日式']",False,19.0,79.0,35.0,15.0,0.3166522493838402,3670
38,林娘炸醬麵,x8hd,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6018780568638913,1717
39,川上小火鍋,z1fn,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,0.6199062544393837,2207
40,郭燒麵,y4ah,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,0.5158407084777493,5850
41,城隍廟商圈 阿富魯肉飯,qu8g,2,['台式'],False,19.0,79.0,25.0,5.0,0.6682127269656478,125
42,歐爹 全日早午餐,dy1i,2,['歐美'],False,19.0,79.0,30.0,10.0,1.2562260858605223,1785
43,白巷子 (新竹西大店),kefs,2,['飲料'],False,19.0,79.0,25.0,5.0,0.1935535787880334,1235
44,田園燉品屋,f1ub,2,['台式'],False,19.0,79.0,30.0,5.0,1.7726312812255733,4147
45,鴨董,a0ng,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.6956180401883995,2349
46,三十年老店,sy0o,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.596486507318642,1077
47,老賴茶棧 (新竹城隍店),zjz2,2,['飲料'],False,19.0,79.0,25.0,5.0,0.6564235743734184,269
48,紅竹現炒,h2se,2,['台式'],False,19.0,79.0,25.0,5.0,0.6791312577768531,1968
49,陳家台南豆乳雞翅,ng64,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,0.593483773830081,95
50,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.2098301861766652,1810
51,繼光香香雞 (新竹廟前店),b9jv,2,"['台式', '炸雞']",False,19.0,79.0,25.0,5.0,0.6757151964928012,838
52,阿力香雞排 (新竹東門店),z0qp,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,1.283169316258566,2340
53,法諾義式廚房,f8gr,2,"['歐美', '麵食']",False,19.0,79.0,30.0,5.0,1.778385140448227,887
54,藍一東山鴨頭 (新竹延平店),c3rl,2,['小吃'],False,19.0,79.0,25.0,10.0,0.17524665009256518,875
55,小時厚牛排 (新竹民生店),j1lk,3,"['台式', '牛排']",False,19.0,79.0,30.0,10.0,1.5694961867943416,964
56,臻穎牛肉麵食館,y3aj,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,1.558410509905298,2078
57,八鷹料亭,f2cd,2,['日式'],True,19.0,79.0,35.0,15.0,0.9755105055485194,469
58,阿城號米粉,z1wm,2,['台式'],True,19.0,79.0,25.0,5.0,0.6847729195188781,1367
59,小東門,ko1z,2,['台式'],False,19.0,79.0,35.0,15.0,0.966560661726928,323
60,王子神谷おうじかみや (新竹店),z4rn,2,"['甜點', '蛋糕']",True,19.0,79.0,30.0,10.0,0.6470145816716613,740
61,苗楊冬瓜仙草絲,d1px,1,['甜點'],True,19.0,79.0,25.0,5.0,0.6637448665184046,584
62,憶客披薩 (新竹中華店),es7w,3,"['披薩', '歐美']",False,19.0,79.0,35.0,10.0,1.3698410497331985,674
63,yummy私房料理,x3fl,3,['台式'],True,19.0,79.0,30.0,5.0,1.8203900780067876,113
64,帝王食補 (新竹曙光店),k0o4,3,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.378093600926955,52
65,鬍鬚張魯肉飯 (新竹北大店),y3vg,2,"['便當', '台式']",False,19.0,79.0,25.0,5.0,0.3086591891049431,5285
66,麥當勞 (S287 新竹西大店),j7ax,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,0.31241027904746627,5950
67,麥味登 (新竹經國店),e0jh,2,"['早餐', '台式']",False,19.0,79.0,25.0,5.0,0.10803173502315981,4783
68,白鬍子厚切牛排 (城隍廟北門店),uye5,2,"['台式', '牛排']",False,19.0,79.0,25.0,5.0,0.5823574730522972,3182
69,すき家 Sukiya (新竹站前店),f7ug,2,"['便當', '日式']",False,19.0,79.0,30.0,5.0,1.2910883724584683,8399
70,焗の飽 (新竹西大店),l3cq,2,"['歐美', '麵食']",False,19.0,79.0,30.0,10.0,0.4318281567826741,1257
71,阿香小吃 (西大店),a1as,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,0.5647602455650822,7131
72,郭家烤肉,o9yp,2,['小吃'],False,19.0,79.0,25.0,10.0,0.4670375510797749,1747
73,鴨肉許 (新竹中正店),e2co,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.608516829757572,3371
74,吳家小吃,b4pf,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.3539813665645968,1117
75,大碗公冰·甜品 (新竹中正店),b0pd,2,['甜點'],False,19.0,79.0,25.0,5.0,0.7642832189790515,1923
