,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,手作功夫茶 (新竹高翠店),b8ao,2,['飲料'],False,19.0,79.0,30.0,5.0,1.0633339964223203,1620
1,僑記刀切麵食館 (新竹高翠店),f9ar,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,1.3057791972499742,1650
2,夏日鍋物,y9rl,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.0965889803942108,1768
3,犁田鹹酥雞 (新竹寶豐店),ls4l,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,0.9669523105248728,46
4,李媽媽筒仔米糕,y7em,1,['台式'],False,19.0,79.0,30.0,5.0,1.1026215446364063,754
5,阿傅哥沙茶羊肉炒麵,hhbd,2,"['湯品', '台式']",False,19.0,79.0,30.0,10.0,0.22599520834143974,33
6,達美樂 (新竹南大店),v3jb,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.1405842118171807,756
7,弘爺漢堡 (新竹高翠店),g7yk,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.1251082466483484,891
8,雙醬咖哩 (新竹雙溪店),wrue,2,"['咖哩', '日式']",False,19.0,79.0,40.0,15.0,1.160880533958222,395
9,CoCo都可 (園區寶山店),m2xx,2,['飲料'],False,19.0,79.0,40.0,15.0,1.2764379339233853,142
10,瘋丼,q6sy,2,"['便當', '日式']",False,19.0,79.0,40.0,15.0,1.0904856356854593,1189
11,海水屋 (寶山雙豐店),pve6,3,"['便當', '台式']",False,19.0,79.0,40.0,15.0,1.0523253988587018,435
12,北ㄟ私房餐盒,mekw,2,"['便當', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.12085182137037158,11
13,小阿姨雞絲滷肉飯餐車,lhi6,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,3.7838862029398546,573
14,樂平鐵板麵,dfx8,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.3756388282712346,16
15,碗上見麵 (新竹大成店),zuwe,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.821443915466339,27
16,北方大陸餅 (新竹竹蓮店),e2ao,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.3892642452562356,2050
17,牛埔水煎包 (新竹東南店),cq1j,1,['小吃'],False,19.0,79.0,40.0,15.0,2.9739898146394865,371
18,榮記客家湯圓,f0df,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.8485348039090574,7496
19,早安公雞 (新竹東南店),z4ih,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.0444994783305925,5990
20,晨間廚房 (新竹建華店),uvzz,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,2.8636364592689647,487
21,和風飯糰 (新竹振興總店),li8d,2,['小吃'],False,19.0,79.0,40.0,15.0,3.4736376445554757,228
22,蕃茄村 (新竹東南店),z8ua,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.305472040384547,538
23,劉姊姊飯糰 (新竹建華店),dsfl,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.7648823074641813,60
24,麥味登 (新竹育賢店),vqgf,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.8034893627773254,1499
25,唯斯,xs9y,2,"['早餐', '歐美']",False,19.0,79.0,40.0,15.0,3.3216909498658236,137
26,彭記小籠包,z9aq,2,['中式'],False,19.0,79.0,40.0,10.0,2.8304625418943687,1680
27,瑞麟美而美明湖20號早餐,d5dd,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.138694327686579,1372
