,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,饗吃丼 (新竹大庄店),chah,2,['日式'],False,19.0,79.0,30.0,5.0,1.9235893647357944,255
1,Pizza Hut必勝客 (新竹香山店),z6hv,2,"['披薩', '歐美']",False,19.0,79.0,35.0,10.0,1.83906903971823,2036
2,八方雲集 (新竹延平店),f0ta,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.2993891828707491,924
3,百盛咖哩 (新竹大庄店),ke5x,2,"['咖哩', '日式']",False,19.0,79.0,30.0,5.0,1.9235893647357944,77
4,泰饗念 (新竹大庄店),fh30,2,['東南亞'],False,19.0,79.0,30.0,5.0,1.9235893647357944,56
5,Pasta Hut義大利麵 (新竹香山店),wl8d,2,"['歐美', '麵食']",False,19.0,79.0,35.0,10.0,1.8380219163154752,38
6,大廟厚切牛排 (新竹大庄店),m3zu,2,"['台式', '牛排']",False,19.0,79.0,30.0,5.0,1.8821449866132125,1325
7,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,2.2356740115021627,1810
8,四海遊龍 (新竹牛埔店),a4wi,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,0.9232975801197106,1538
9,丘森茶室 (新竹香山店),cx1q,2,['飲料'],False,19.0,79.0,30.0,5.0,1.7829338965745625,276
10,鳳麟粥飯麵食館 (新竹中山店),o224,2,"['麵食', '粥', '台式']",False,19.0,79.0,35.0,15.0,1.2941535775572812,146
11,阿城號米粉,z1wm,2,['台式'],True,19.0,79.0,30.0,5.0,2.3677762860130813,1367
12,憶客披薩 (新竹中華店),es7w,3,"['披薩', '歐美']",False,19.0,79.0,35.0,10.0,1.4707927914343881,674
13,王子神谷おうじかみや (新竹店),z4rn,2,"['甜點', '蛋糕']",True,19.0,79.0,35.0,10.0,2.276836741890585,740
14,苗楊冬瓜仙草絲,d1px,1,['甜點'],True,19.0,79.0,30.0,5.0,2.33334192303983,584
15,食在泰讚,s79i,2,"['麵食', '東南亞']",False,19.0,79.0,30.0,5.0,1.8357967907801915,84
16,佳林鐵板燒,f7di,2,"['鐵板燒', '台式']",True,19.0,79.0,30.0,10.0,1.7850078878603068,574
17,麥當勞 (S495 新竹經國二店),d2ei,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,1.0671950174494833,11311
18,璽子牛肉麵 (新竹香山店),z1bs,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,0.17884944886286316,1854
19,夯臭豆腐 (香山中華店),f6mk,1,['小吃'],False,19.0,79.0,25.0,5.0,0.7195793277188886,1517
20,鬍鬚張魯肉飯 (新竹北大店),y3vg,2,"['便當', '台式']",False,19.0,79.0,30.0,5.0,2.0765260840473183,5285
21,歐爹 全日早午餐,dy1i,2,['歐美'],False,19.0,79.0,30.0,10.0,1.74225129316023,1785
22,阿香小吃 (西大店),a1as,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,2.08293912238585,7131
23,六扇門 (新竹延平店),a0it,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,1.6289629640576362,2569
24,草本茶 (新竹埔東店),b1ev,2,['甜點'],False,19.0,79.0,25.0,5.0,0.2450710490958108,1659
25,同和鍋物,hzk4,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,0.24053181921390393,71
26,麥味登 (新竹經國店),e0jh,2,"['早餐', '台式']",False,19.0,79.0,30.0,5.0,2.1467735023958796,4783
27,焗の飽 (新竹西大店),l3cq,2,"['歐美', '麵食']",False,19.0,79.0,35.0,10.0,2.166536872115487,1257
28,白鬍子厚切牛排 (城隍廟北門店),uye5,2,"['台式', '牛排']",False,19.0,79.0,30.0,5.0,2.483330617223858,3182
29,小木可私房料理 阿亮香雞排,xvun,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,0.8118109532831628,147
30,老饕滷味,mhi7,2,['小吃'],False,19.0,79.0,30.0,10.0,1.3877662794960683,638
31,醇滷味 (新竹延平店),a2gl,2,['小吃'],False,19.0,79.0,30.0,5.0,1.2574116757995522,1264
32,清心福全 (新竹大庄店),ticw,2,['飲料'],False,19.0,79.0,30.0,5.0,1.7922752827225008,217
33,日拾鹽酥雞專賣,u1qm,2,"['小吃', '炸雞']",False,19.0,79.0,35.0,10.0,2.0159024723478964,2296
34,台北永和豆漿大王 (新竹南大店),e8ly,2,['小吃'],False,19.0,79.0,30.0,5.0,2.505738991511051,5672
35,鴨肉許 (新竹西大店),y9ls,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,2.212122733020105,6209
36,熊霸.串燒.鹽酥雞（林森店）,g636,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,2.376345492105899,300
37,思茶 (新竹中山店),l3vr,2,['飲料'],False,19.0,79.0,30.0,5.0,1.402644156675602,2370
38,3Q脆皮雞排 (新竹振興店),z0al,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,1.7862505005284224,1817
39,南大羊肉炒麵,hzhu,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,2.056486773282651,115
40,王記麵店,i6km,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,1.4053829216778766,891
41,寶山廟口滷味 (新竹中山店),xvua,2,['小吃'],False,19.0,79.0,30.0,5.0,1.5118054780501635,128
42,CoCo都可 (新竹牛埔店),x7sy,2,['飲料'],False,19.0,79.0,25.0,5.0,0.22319241296256856,89
43,胖老爹美式炸雞 (新竹大庄店),ok2s,2,"['歐美', '炸雞']",False,19.0,79.0,35.0,10.0,1.8334153739781263,78
44,50嵐 (新竹中山店),a7fm,2,['飲料'],False,19.0,79.0,30.0,5.0,1.615263698782378,2792
45,吳家小吃,b4pf,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,2.4124002088832133,1117
46,小中東沙威瑪 &伍師父車輪餅,lrk9,2,['異國'],False,19.0,79.0,25.0,5.0,1.3281183628386988,160
47,粥師傅廣東粥 (新竹北門店),p1pu,2,"['中式', '粥']",False,19.0,79.0,30.0,5.0,2.48281107209281,1516
48,Pizza Hut必勝客 (新竹香山店),z6hv,2,"['披薩', '歐美']",False,19.0,79.0,35.0,10.0,1.83906903971823,2036
49,八方雲集 (新竹延平店),f0ta,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.2993891828707491,924
50,百盛咖哩 (新竹大庄店),ke5x,2,"['咖哩', '日式']",False,19.0,79.0,30.0,5.0,1.9235893647357944,77
51,泰饗念 (新竹大庄店),fh30,2,['東南亞'],False,19.0,79.0,30.0,5.0,1.9235893647357944,56
52,Pasta Hut義大利麵 (新竹香山店),wl8d,2,"['歐美', '麵食']",False,19.0,79.0,35.0,10.0,1.8380219163154752,38
53,大廟厚切牛排 (新竹大庄店),m3zu,2,"['台式', '牛排']",False,19.0,79.0,30.0,5.0,1.8821449866132125,1325
54,八方雲集 (新竹中華店),d9gl,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,2.2356740115021627,1810
