,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,20.0,5.0,3.203950953171875,241
1,麥當勞 (S252 太平中興店),b8ar,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.6222886509490158,12105
2,就醬炒 (台中勤益店),sb0k,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,3.0130034975311304,889
3,餓了台式丼飯 (台中太平店),s3ob,2,['台式'],False,15.0,79.0,25.0,5.0,3.6317643402322055,9085
4,尚品滷味懷舊紅茶冰,d7lv,2,['台式'],False,15.0,79.0,20.0,5.0,2.9496558960087,1393
5,漢林鐵板燒 (台中中興東店),a6yy,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,3.2098190210148556,2562
6,吉蜂蒸餃 (台中太平店),ju2p,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,3.4395431832299024,594
7,炸沏販 (勤益店),kt2h,2,['小吃'],False,15.0,79.0,25.0,5.0,2.958689529211629,148
8,88虱目魚,q9mb,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,3.311972684983163,1381
9,525滷肉飯(平價餐飲),k5iu,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,3.3513146789589268,1139
10,社頭鍋貼專賣店,b9tl,2,"['麵食', '台式', '餃子']",False,15.0,79.0,25.0,5.0,3.0526527679169773,2419
11,桐話餐飲 (台中勤益店),z0dr,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,2.9735192449553254,1828
12,50嵐 (太平中興店),w20y,2,['飲料'],False,15.0,79.0,25.0,5.0,3.713316759244102,102
13,喫茶小舖 (太平勤益店),b2vl,1,['飲料'],False,15.0,79.0,20.0,5.0,2.9066161806972044,1150
14,三媽臭臭鍋 (台中太平店),b7uc,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.316245944994255,2679
15,Pizza Hut必勝客 (台中中興東店),z5nk,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,3.3462885048316102,2668
16,紅帽炸物 (太平長億店),hpkb,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.247715788013226,36
17,欣滿福·廣東粥 鍋燒麵,t8zu,1,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,10.0,3.016107859900949,86
18,台中小鎮關東煮,a7fo,2,"['湯品', '小吃', '日式']",False,15.0,79.0,25.0,5.0,3.2178449832058704,1504
19,喫茶小舖 (太平長億店),b8ry,1,['飲料'],False,15.0,79.0,20.0,5.0,3.093950046838095,1093
20,粥膳海鮮粥,l6wd,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.4115371142199895,104
21,85度C (台中勤益店),qhgg,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,2.9465027611097887,94
22,台北江麻辣臭豆腐 (台中太平店),r3hl,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,4.080433916244967,2012
23,黑皮蜜汁燒烤,sxtc,2,['小吃'],False,15.0,79.0,25.0,5.0,2.9696434411271855,57
24,火星窯烤披薩5號車,e9kf,2,"['披薩', '歐美']",False,15.0,79.0,25.0,5.0,3.1829269823770026,996
25,吮指王 (太平中興店),m8jk,2,"['台式', '炸雞']",False,15.0,79.0,25.0,10.0,3.5315443094571295,648
26,可不可熟成紅茶 (太平長億店),v1zz,2,['飲料'],False,15.0,79.0,20.0,5.0,3.1875041660206045,95
27,新井茶 (太平東平店),h2vr,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6505487239031766,1246
28,太平屏東鵝肉店,f1lq,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.3445533582127305,223
29,雞排吐司 (太平勤益店),fniv,2,"['小吃', '炸雞', '三明治 / 吐司']",False,15.0,79.0,25.0,10.0,2.9663906426059374,251
30,讚不絕口 (台中太平店),a8gp,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,3.5326213476574586,1527
31,超人氣炸食雞大爺 (太平太平店),oxuo,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.394212211251221,63
32,鳥榕頭獨醬滷味,rs8h,2,['小吃'],False,15.0,79.0,30.0,15.0,2.960452761316393,57
33,好食基美式炸雞 (太平中興店),b4js,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,3.6110310820118494,1394
34,豪紀無骨戰鬥雞 (台中太平店),e9wk,2,['小吃'],False,15.0,79.0,20.0,5.0,3.097269985287116,287
35,義坊,lejx,2,['歐美'],False,15.0,79.0,25.0,5.0,3.4087363591921775,176
36,古都麵食,jk2i,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.9709734523617617,155
37,均均食坊,x9sl,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.9696434411271855,380
38,三番兩食,cr2o,2,['台式'],False,15.0,79.0,25.0,10.0,3.7733856679978217,382
39,胖哥當歸麵線 (台中小鎮),a1jc,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.1037463752897607,717
40,胖老爹美式炸雞 (太平勤益店),zaeh,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.4925875899072767,64
41,小鎮蚵仔煎,z8vf,2,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,3.212817747801934,1508
42,小鎮炒飯，炒麵,z8hd,2,"['湯品', '台式']",False,15.0,79.0,40.0,25.0,3.1945479714851372,1141
43,六扇門 (台中太平店),ivta,2,"['火鍋', '台式']",False,15.0,79.0,40.0,25.0,4.195009044377881,730
44,巧味麵食館,d4mr,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.867358915981738,2119
45,阿秋嬤養生排骨湯 (台中太平店),a49b,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,3.1857744281952383,99
46,大呼過癮 (太平中興店),f3bi,2,"['火鍋', '台式']",True,15.0,79.0,35.0,20.0,3.9139236014606382,764
47,黑金饌茶,m051,2,['飲料'],False,15.0,79.0,20.0,5.0,3.115832955927597,408
48,麥當勞 (S252 太平中興店),b8ar,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.6222886509490158,12105
49,就醬炒 (台中勤益店),sb0k,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,3.0130034975311304,889
50,餓了台式丼飯 (台中太平店),s3ob,2,['台式'],False,15.0,79.0,25.0,5.0,3.6317643402322055,9085
51,尚品滷味懷舊紅茶冰,d7lv,2,['台式'],False,15.0,79.0,20.0,5.0,2.9496558960087,1393
52,漢林鐵板燒 (台中中興東店),a6yy,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,3.2098190210148556,2562
53,吉蜂蒸餃 (台中太平店),ju2p,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,3.4395431832299024,594
54,炸沏販 (勤益店),kt2h,2,['小吃'],False,15.0,79.0,25.0,5.0,2.958689529211629,148
55,88虱目魚,q9mb,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,3.311972684983163,1381
56,525滷肉飯(平價餐飲),k5iu,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,3.3513146789589268,1139
57,社頭鍋貼專賣店,b9tl,2,"['麵食', '台式', '餃子']",False,15.0,79.0,25.0,5.0,3.0526527679169773,2419
58,桐話餐飲 (台中勤益店),z0dr,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,2.9735192449553254,1828
59,50嵐 (太平中興店),w20y,2,['飲料'],False,15.0,79.0,25.0,5.0,3.713316759244102,102
60,喫茶小舖 (太平勤益店),b2vl,1,['飲料'],False,15.0,79.0,20.0,5.0,2.9066161806972044,1150
61,三媽臭臭鍋 (台中太平店),b7uc,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.316245944994255,2679
62,Pizza Hut必勝客 (台中中興東店),z5nk,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,3.3462885048316102,2668
63,紅帽炸物 (太平長億店),hpkb,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,3.247715788013226,36
64,欣滿福·廣東粥 鍋燒麵,t8zu,1,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,10.0,3.016107859900949,86
65,台中小鎮關東煮,a7fo,2,"['湯品', '小吃', '日式']",False,15.0,79.0,25.0,5.0,3.2178449832058704,1504
66,喫茶小舖 (太平長億店),b8ry,1,['飲料'],False,15.0,79.0,20.0,5.0,3.093950046838095,1093
67,粥膳海鮮粥,l6wd,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.4115371142199895,104
68,85度C (台中勤益店),qhgg,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,2.9465027611097887,94
69,台北江麻辣臭豆腐 (台中太平店),r3hl,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,4.080433916244967,2012
70,黑皮蜜汁燒烤,sxtc,2,['小吃'],False,15.0,79.0,25.0,5.0,2.9696434411271855,57
71,火星窯烤披薩5號車,e9kf,2,"['披薩', '歐美']",False,15.0,79.0,25.0,5.0,3.1829269823770026,996
72,吮指王 (太平中興店),m8jk,2,"['台式', '炸雞']",False,15.0,79.0,25.0,10.0,3.5315443094571295,648
73,可不可熟成紅茶 (太平長億店),v1zz,2,['飲料'],False,15.0,79.0,20.0,5.0,3.1875041660206045,95
74,新井茶 (太平東平店),h2vr,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6505487239031766,1246
75,太平屏東鵝肉店,f1lq,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.3445533582127305,223
76,雞排吐司 (太平勤益店),fniv,2,"['小吃', '炸雞', '三明治 / 吐司']",False,15.0,79.0,25.0,10.0,2.9663906426059374,251
77,讚不絕口 (台中太平店),a8gp,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,3.5326213476574586,1527
78,超人氣炸食雞大爺 (太平太平店),oxuo,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.394212211251221,63
79,鳥榕頭獨醬滷味,rs8h,2,['小吃'],False,15.0,79.0,30.0,15.0,2.960452761316393,57
80,好食基美式炸雞 (太平中興店),b4js,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,3.6110310820118494,1394
81,豪紀無骨戰鬥雞 (台中太平店),e9wk,2,['小吃'],False,15.0,79.0,20.0,5.0,3.097269985287116,287
82,義坊,lejx,2,['歐美'],False,15.0,79.0,25.0,5.0,3.4087363591921775,176
83,古都麵食,jk2i,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.9709734523617617,155
84,均均食坊,x9sl,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.9696434411271855,380
85,三番兩食,cr2o,2,['台式'],False,15.0,79.0,25.0,10.0,3.7733856679978217,382
86,胖哥當歸麵線 (台中小鎮),a1jc,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.1037463752897607,717
87,胖老爹美式炸雞 (太平勤益店),zaeh,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.4925875899072767,64
88,小鎮蚵仔煎,z8vf,2,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,3.212817747801934,1508
89,小鎮炒飯，炒麵,z8hd,2,"['湯品', '台式']",False,15.0,79.0,40.0,25.0,3.1945479714851372,1141
90,六扇門 (台中太平店),ivta,2,"['火鍋', '台式']",False,15.0,79.0,40.0,25.0,4.195009044377881,730
91,巧味麵食館,d4mr,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.867358915981738,2119
92,阿秋嬤養生排骨湯 (台中太平店),a49b,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,3.1857744281952383,99
93,大呼過癮 (太平中興店),f3bi,2,"['火鍋', '台式']",True,15.0,79.0,35.0,20.0,3.9139236014606382,764
94,黑金饌茶,m051,2,['飲料'],False,15.0,79.0,20.0,5.0,3.115832955927597,408
95,三合院辣脆腸 (台中勤益店),jj86,2,['小吃'],False,15.0,79.0,20.0,5.0,2.9954703292244123,25
96,韓悅庭韓式拌飯,brgs,2,['韓式'],False,15.0,79.0,25.0,10.0,2.972077705800823,59
97,喫茶小舖 (太平東平店),b1tj,1,['飲料'],False,15.0,79.0,25.0,5.0,3.8155977514236428,525
98,御青方麻辣臭豆腐 (太平長億店),uw6u,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,3.234681893877832,173
99,漁夫關東煮,y8b0,1,['日式'],False,15.0,79.0,25.0,5.0,2.957557258000473,18
100,愛家冰,bkfu,1,['甜點'],False,15.0,79.0,25.0,10.0,3.404499828236066,14
101,阿娟牛肉麵,j3zj,2,"['麵食', '台式']",False,15.0,79.0,25.0,5.0,3.238333457186171,380
102,原鄉人甘草芭樂 (台中太平店),rgv4,2,['甜點'],False,15.0,79.0,25.0,5.0,3.959836201603007,10
103,紅石頭炭火現烤珍珠玉米,a7pa,1,['小吃'],False,15.0,79.0,25.0,5.0,3.7391542303695338,238
104,楓川萃飲,dgck,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,25.0,10.0,3.5849603703292017,195
105,阿呆滷味 (台中太平旗艦店),t2jd,2,['小吃'],False,15.0,79.0,25.0,5.0,3.2546175759374503,148
106,啊興麻辣燙,tgu0,1,['小吃'],False,15.0,79.0,25.0,5.0,3.680926744322856,133
107,Pasta Hut義大利麵 (台中中興東店),lmr1,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,3.355428719870937,49
108,達美樂 (太平中興店),i2bx,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,3.839295861351747,601
109,源晉香雞排,erek,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,15.0,3.198815759670516,0
110,FrozenHeart凍心炸冰淇淋 (台中太平店),o8ee,2,['甜點'],False,15.0,79.0,25.0,5.0,3.710455924638553,115
111,Shin芭.甘草芭樂,qvb5,1,['甜點'],False,15.0,79.0,25.0,10.0,3.1502314792612736,9
112,求飲茶飲,a7o8,1,['飲料'],False,15.0,79.0,25.0,10.0,3.1799230765540836,3
113,微笑雞蛋糕,xswd,1,['甜點'],False,15.0,79.0,25.0,10.0,3.1799230765540836,0
114,川醉湘麻辣燙(太平店),wl3k,2,"['火鍋', '小吃']",False,15.0,79.0,30.0,15.0,3.66154471618765,1
115,華山藏窖人文茶飲 (太平勤益店),fyfw,2,['飲料'],False,15.0,79.0,20.0,5.0,2.9459893168406257,116
116,STARBUCKS 星巴克 (太平中興門市),mbv8,2,"['歐美', '飲料']",False,15.0,79.0,20.0,5.0,3.2733431045000816,461
117,TEATOP 第一味 (太平東平店),gr9r,2,['飲料'],False,15.0,79.0,25.0,5.0,3.465339770870073,44
118,大俠綠豆沙 (台中太平店)﻿,z5dn,1,['飲料'],False,15.0,79.0,25.0,5.0,3.543118768254959,909
119,國王的茶 (太平新平店),d2jr,1,['飲料'],False,15.0,79.0,25.0,5.0,3.7010794298091167,667
120,紅茶洋行 (太平東平店),d7cy,1,['飲料'],False,15.0,79.0,25.0,5.0,3.833278580061062,1051
121,八曜和茶  (台中太平店),iul2,2,['飲料'],False,15.0,79.0,25.0,5.0,3.9796563741610935,218
122,漢堡大師 (台中太平中山店),z5dv,2,"['早餐', '台式']",False,15.0,79.0,40.0,10.0,3.9195468392881336,1186
123,早！喬克屋早午餐 (太平成功店),wmbd,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.310417388746393,304
124,橘子早餐 (台中太平店),a1gn,2,"['早餐', '台式']",False,15.0,79.0,40.0,10.0,3.5603837877041133,3865
125,亞米手作早餐店,gisv,2,['台式'],False,15.0,79.0,40.0,15.0,4.2096412007621185,204
126,幽靈餐車,x7jv,2,"['麵食', '台式']",True,15.0,79.0,40.0,15.0,2.877742719454612,196
127,早安公雞農場晨食 (太平中山店),b8eo,2,"['早餐', '台式']",False,15.0,79.0,40.0,10.0,3.4702531840374577,1866
128,拉亞漢堡 (台中太平中山店),z4so,2,"['早餐', '歐美']",False,15.0,79.0,40.0,10.0,3.451289916229922,1773
129,呷尚宝 (東平店),p6lr,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.1661912837414814,1226
130,初早運早午餐,taml,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.348124917247966,231
131,早安有喜 (台中太平店),qgrc,2,"['早餐', '漢堡', '麵食', '台式']",False,15.0,79.0,40.0,15.0,3.5252596710192745,48
