,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,八方雲集 (桃園中正店),d9eb,2,"['台式', '餃子']",False,15.0,79.0,30.0,5.0,1.7926663904651186,2882
1,炬日式烤肉飯 (桃園大有店),zdv9,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,0.48165357873732295,620
2,Pizza Hut必勝客 (桃園春日店),z8cs,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,0.7026162942115998,2043
3,肯德基KFC炸雞漢堡店 (桃園南平店),z3xi,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,30.0,5.0,1.7226918820492285,2987
4,3Q脆皮雞排 (桃園大興店),a5cz,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.5663542090926029,4046
5,Pasta Hut義大利麵 (桃園春日店),j69d,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.7063751533938978,27
6,孫東寶 (桃園大興店),b1s4,3,"['台式', '牛排']",False,15.0,79.0,30.0,10.0,0.6009471756869009,573
7,俏龍爺東山鴨頭 (桃園大業店),a7ra,2,['小吃'],False,15.0,79.0,30.0,10.0,0.4638717547416739,2879
8,源香拌麵,d6ic,2,"['湯品', '麵食', '台式']",True,15.0,79.0,30.0,5.0,1.9333797811241757,2995
9,3Q脆皮雞排 (桃園藝文店),amwt,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,2.085269944661879,179
10,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,1.9665532488268134,49
11,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,2.3112341098178977,6
12,永緣永和豆漿大王 (桃園春日店),nq3b,2,['小吃'],False,15.0,79.0,30.0,5.0,1.0243936446407735,258
13,의미找含意-韓式特色餐酒館,sore,2,['韓式'],False,15.0,79.0,30.0,5.0,2.1281662779673085,269
14,阿士多海產店,nt2a,2,['台式'],False,15.0,79.0,30.0,5.0,2.1298947706740674,37
15,大麻鍋物 (桃園大有店),m6pf,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,0.35746199469120604,2
16,大麻鍋物 (桃園藝文店),g16v,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,1.8925884215928594,0
