,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,餓了台式丼飯 (大里塗城店),q6w5,2,['台式'],False,15.0,79.0,20.0,5.0,3.2005444528441958,2418
1,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,25.0,10.0,2.5949888486995234,175
2,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5717769896631877,1725
3,Bubble Z阿偉飲品專賣店 (台中霧峰店),k5bb,1,['飲料'],False,15.0,79.0,25.0,5.0,4.223684847971535,1329
4,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,25.0,5.0,3.537784484747517,241
5,喫茶小舖 (霧峰中正店),b5qi,1,['飲料'],False,15.0,79.0,25.0,5.0,3.6420103358347813,964
6,龜記茗品 (大里成功店),hhu5,2,['飲料'],False,15.0,79.0,25.0,10.0,2.603393343802326,317
7,軍茶～買一送一（台中成功店）,cls7,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6914590342837723,201
8,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,25.0,10.0,3.5477783241183984,537
9,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,25.0,10.0,2.6076557038084847,1434
10,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,20.0,10.0,1.5412571963806327,839
11,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.4409465296824644,1089
12,麥當勞 (S308 大里中興店),z9nr,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.51180728315261,17196
13,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.5675562248098314,3217
14,大漠蒙古麻辣燙 (大里成功店),mv0s,2,"['中式', '麵食']",False,15.0,79.0,20.0,5.0,2.6122741242948577,78
15,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.5710158980313262,2709
16,阿亮香雞排 (大里塗城店),d5eb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.358237403498994,2372
17,伍拾貳粥,d0cn,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,2.6279248601346104,1923
18,元春鐵板燒 (大里成功店),e9ko,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.5718631006412087,3314
19,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,2.5931144556156234,111
20,快樂吃複合式餐飲,z9fu,1,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,2.4597429948698633,2636
21,香品鴨香飯,cjd8,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.5948323707974623,456
22,澄食晨食 (大里成功店),stuw,2,['台式'],False,15.0,79.0,20.0,5.0,2.578945493191789,1913
23,21金火鍋 (大里仁化店),ltka,2,"['火鍋', '台式']",False,15.0,79.0,25.0,20.0,0.2057927240444321,329
24,上品麵食館,d9jj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.657033058023568,2408
25,開源社香雞排 (台中成功店),b1ke,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.634870986816551,1563
26,小廚師台南美食,a2xc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.3493019633006686,1478
27,三媽臭臭鍋 (台中大里成功店),a7ew,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,2.3976726781144335,4592
28,萬波島嶼紅茶 (大里成功店),k39f,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5983857277912117,110
29,吉蜂蒸餃 (大里成功店),a9pi,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,5.0,2.5680218448589813,2921
30,すき家 Sukiya (台中軟體園區店),a2cx,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,3.290431249597726,6388
31,福鹿手工水餃 (台中大里店),egss,1,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,2.60507583153355,1008
32,小黑柴和風洋食ようしょく,bj67,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.7203001611046767,69
33,勇樂小吃,d1wu,2,"['麵食', '小吃']",False,15.0,79.0,20.0,5.0,2.051556007006703,633
34,大排檔串燒,b0tx,2,['小吃'],False,15.0,79.0,25.0,10.0,2.5971604234308536,1836
35,食の友,jq5t,1,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,1.4001061952376341,87
36,橋頭美食現炒,q8eg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,3.2544533356271437,3688
37,台北永和豆漿 (大里塗城店),u9br,1,['小吃'],False,15.0,79.0,20.0,5.0,3.035718014482746,2111
38,大苑子 (大里成功店),a8ji,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6083208470075343,2576
39,翅客脆皮雞排 (台中修平店),ew0k,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.6371698376165116,134
40,大里精誠牛肉麵小館,vqya,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.6000106493378934,118
41,古都台南擔仔麵,e4td,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.254246644945684,2451
42,三爺平價牛排 (台中仁化店),k3kw,2,"['台式', '牛排']",False,15.0,79.0,25.0,10.0,3.117288546677672,1283
43,三顧茅廬 (大里成功店),e5gu,2,['小吃'],False,15.0,79.0,25.0,10.0,2.5993520077525303,1331
44,胖老爹美式炸雞 (大里塗城店),zx92,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.7888987921670432,79
45,胡店麵館,e9tl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.5564240238616707,1586
46,饗炸炸物食堂 (台中大里店),a4ow,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,15.0,2.6093821624471403,1760
47,龍鹽酥雞 (台中塗城店),ifds,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.0751067836291077,146
48,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,25.0,10.0,2.5949888486995234,175
49,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5717769896631877,1725
50,Bubble Z阿偉飲品專賣店 (台中霧峰店),k5bb,1,['飲料'],False,15.0,79.0,25.0,5.0,4.223684847971535,1329
51,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,25.0,5.0,3.537784484747517,241
52,喫茶小舖 (霧峰中正店),b5qi,1,['飲料'],False,15.0,79.0,25.0,5.0,3.6420103358347813,964
53,龜記茗品 (大里成功店),hhu5,2,['飲料'],False,15.0,79.0,25.0,10.0,2.603393343802326,317
54,軍茶～買一送一（台中成功店）,cls7,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6914590342837723,201
55,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,25.0,10.0,3.5477783241183984,537
56,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,25.0,10.0,2.6076557038084847,1434
57,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,20.0,10.0,1.5412571963806327,839
58,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.4409465296824644,1089
59,麥當勞 (S308 大里中興店),z9nr,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.51180728315261,17196
60,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.5675562248098314,3217
61,大漠蒙古麻辣燙 (大里成功店),mv0s,2,"['中式', '麵食']",False,15.0,79.0,20.0,5.0,2.6122741242948577,78
62,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.5710158980313262,2709
63,阿亮香雞排 (大里塗城店),d5eb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.358237403498994,2372
64,伍拾貳粥,d0cn,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,2.6279248601346104,1923
65,元春鐵板燒 (大里成功店),e9ko,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.5718631006412087,3314
66,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,2.5931144556156234,111
67,快樂吃複合式餐飲,z9fu,1,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,2.4597429948698633,2636
68,香品鴨香飯,cjd8,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.5948323707974623,456
69,澄食晨食 (大里成功店),stuw,2,['台式'],False,15.0,79.0,20.0,5.0,2.578945493191789,1913
70,21金火鍋 (大里仁化店),ltka,2,"['火鍋', '台式']",False,15.0,79.0,25.0,20.0,0.2057927240444321,329
71,上品麵食館,d9jj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.657033058023568,2408
72,開源社香雞排 (台中成功店),b1ke,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.634870986816551,1563
73,小廚師台南美食,a2xc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.3493019633006686,1478
74,三媽臭臭鍋 (台中大里成功店),a7ew,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,2.3976726781144335,4592
75,萬波島嶼紅茶 (大里成功店),k39f,2,['飲料'],False,15.0,79.0,20.0,5.0,2.5983857277912117,110
76,吉蜂蒸餃 (大里成功店),a9pi,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,5.0,2.5680218448589813,2921
77,すき家 Sukiya (台中軟體園區店),a2cx,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,3.290431249597726,6388
78,福鹿手工水餃 (台中大里店),egss,1,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,2.60507583153355,1008
79,小黑柴和風洋食ようしょく,bj67,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.7203001611046767,69
80,勇樂小吃,d1wu,2,"['麵食', '小吃']",False,15.0,79.0,20.0,5.0,2.051556007006703,633
81,大排檔串燒,b0tx,2,['小吃'],False,15.0,79.0,25.0,10.0,2.5971604234308536,1836
82,食の友,jq5t,1,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,1.4001061952376341,87
83,橋頭美食現炒,q8eg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,3.2544533356271437,3688
84,台北永和豆漿 (大里塗城店),u9br,1,['小吃'],False,15.0,79.0,20.0,5.0,3.035718014482746,2111
85,大苑子 (大里成功店),a8ji,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6083208470075343,2576
86,翅客脆皮雞排 (台中修平店),ew0k,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.6371698376165116,134
87,大里精誠牛肉麵小館,vqya,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.6000106493378934,118
