,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台中烏日店),z3pe,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.7972872279358012,2573
1,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.1607863438093577,1883
2,Pizza Hut必勝客 (台中工學店),z7ix,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,2.7038024933452696,2670
3,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.3120529351333783,2259
4,日出客棧茶飲-小農鮮奶 (烏日明道店),hqam,2,['飲料'],False,15.0,79.0,20.0,5.0,1.7487786187471153,166
5,Burger King 漢堡王 (台中大里店),e4pf,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,3.7615212162780147,4156
6,八方雲集 (台中楓樹店),d2yq,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,3.2543740746803795,1024
7,專賣麵義大利麵 (大里中興店),l84l,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,4.102965246264429,894
8,Louisa 路易莎 (大里國光店),bnl7,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,25.0,5.0,3.641550141851686,1924
9,茶海 (台中大明店),z9hg,2,['飲料'],False,15.0,79.0,25.0,5.0,4.214934356989719,1915
10,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,45.0,30.0,2.263595682733883,32
11,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,65.0,45.0,3.705966821919094,10
12,品心港式飲茶 (台中大里店),tbcb,3,"['湯品', '麵食', '港式']",False,15.0,79.0,30.0,10.0,3.6396264655980555,27
13,北平水餃大王,bfwp,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,3.196624130235382,267
14,联亭泡菜鍋 (台中大里店),q7oe,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.5284488390774045,2261
15,釜山崔炸雞 (南區大慶店),ikgs,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,2.1395289036903167,1935
16,麥當勞 (S110 台中烏日店),b0of,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,1.7344131792155544,5225
17,50嵐 (台中烏日店),f9qo,2,['飲料'],False,15.0,79.0,20.0,5.0,1.7993983568493475,1416
18,四海遊龍 (台中烏日店),b9ji,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,2.239746835809486,3388
19,天下第一味,d6ie,2,['小吃'],False,15.0,79.0,20.0,5.0,1.7229144612723433,1140
20,可不可熟成紅茶 (台中烏日店),qncv,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7408265676843035,1628
21,阿亮香雞排 (台中明道店),gqty,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,1.8216622253498387,441
22,林家鹹酥雞魷魚,uh93,2,['小吃'],False,15.0,79.0,25.0,5.0,2.9450709740083973,343
23,大埔鐵板燒 (台中烏日店),d4cj,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,1.7673832133558804,1655
24,豪品鐵板燒 (烏日光德店),dmvo,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,1.4779054291073894,271
25,清心福全 (台中烏日溪南店),ithj,2,['飲料'],False,15.0,79.0,20.0,5.0,1.41275342317363,339
26,山頂丼人,h3ts,1,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,1.689709495567812,553
27,這煎 蚵仔煎,b4wi,2,"['麵食', '台式', '牛排']",False,15.0,79.0,20.0,5.0,2.3403328725447774,828
28,迷客夏 Milksha (臺中烏日店),byxt,2,['飲料'],False,15.0,79.0,20.0,5.0,1.8575592988838336,148
29,滷蝦米 滷味/麻辣燙,e9un,1,['小吃'],False,15.0,79.0,25.0,10.0,2.1034649686743285,2998
30,胖甫牛排 (台中大慶店),e9yp,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,2.3193002797686746,901
31,胖老爹美式炸雞 (烏日溪南店),p1h4,2,"['歐美', '炸雞']",True,15.0,79.0,25.0,15.0,1.3400235754088134,632
32,福客來牛肉麵 (台中黎明店),k72w,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.940504188450368,262
33,丐幫滷味 (台中美村分舵),a4vq,2,['小吃'],False,15.0,79.0,25.0,5.0,2.92844677791127,4030
34,協力旺 (台中高工店),b1cq,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.7175504274887854,1886
35,Nu Pasta (台中烏日店),a5yn,3,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,1.9560801861317791,1780
36,初本粥舖 (美村南店),wig2,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,3.3223670162641423,380
37,現烤脆皮甜甜圈．飲品,qz0b,2,['甜點'],False,15.0,79.0,25.0,10.0,2.527509876231136,87
38,阿密哩黑糖找冰 (原車二廠手炒黑糖冰),es79,2,['甜點'],False,15.0,79.0,20.0,5.0,1.293208562281215,40
39,大慶滷味,he18,2,['小吃'],False,15.0,79.0,25.0,10.0,2.2826031958920145,432
40,老牌石頭火鍋 (烏日中山店),e8xf,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,1.7170399591982375,1258
41,水巷茶弄 (台中大慶店),d2bz,2,['飲料'],False,15.0,79.0,20.0,5.0,2.293384219757652,1808
42,三媽臭臭鍋 (台中楓樹店),b1xe,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.0579023368026963,4070
