,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,八方雲集 (竹北嘉興店),d9mg,2,"['台式', '餃子']",False,19.0,79.0,30.0,10.0,1.8310817881925947,1886
1,南臺灣雞肉飯,f6bo,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,2.1049359043762843,2221
2,台北紅麵線x脆皮雞蛋糕,q9ut,2,"['甜點', '湯品', '小吃']",False,19.0,79.0,25.0,5.0,2.094995979482196,2033
3,合浦刀切麵食工坊 (竹北勝利店),f2kc,2,"['湯品', '麵食', '台式']",False,19.0,79.0,30.0,5.0,2.07940670801275,3002
4,新竹鴨香飯 (新竹竹北店),q01f,2,"['湯品', '便當', '台式']",False,19.0,79.0,25.0,5.0,1.7987459756153812,479
5,黑貓滷味 (竹北嘉興店),h6dj,2,['小吃'],False,19.0,79.0,25.0,5.0,1.3048747006694417,663
6,小方粥,pj9q,2,"['湯品', '台式']",False,19.0,79.0,35.0,15.0,1.5372821366699623,410
7,阿力雞排 (竹北嘉興店),rl2l,2,"['小吃', '炸雞']",False,19.0,79.0,35.0,15.0,1.321148432461834,333
8,車庫鹽酥雞 (竹北莊敬店),jeug,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,2.201130011362289,132
9,胖老爹美式炸雞 (竹北莊敬店),y7lb,2,"['歐美', '炸雞']",False,19.0,79.0,35.0,10.0,2.1372712614688263,2157
10,萬波島嶼紅茶 (竹北勝利店),wa26,2,['飲料'],False,19.0,79.0,25.0,5.0,2.2066321893983147,379
11,新竹吳家鴨香飯 (竹北勝利店),xyup,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,1.9352049428842102,251
12,竹山意麵 (竹北店),z7ad,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,2.1042045300098775,1789
13,勝利炒飯,f5ev,2,"['麵食', '台式']",False,19.0,79.0,45.0,25.0,1.9310080200882545,3862
14,西門町麵飯館,v6dk,2,"['麵食', '台式']",False,19.0,79.0,40.0,20.0,2.094995979482196,1468
15,美樂福炸雞店 (勝利店),z7mc,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,5.0,1.9386004584785248,1190
16,草本茶 (竹北勝利店),o8pz,2,['甜點'],False,19.0,79.0,25.0,5.0,2.1115328990085733,1958
