,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (桃園大興西店),z1em,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.20732079721453758,2944
1,八方雲集 (桃園中正店),d9eb,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,0.6679933539754632,2882
2,炬日式烤肉飯 (桃園大有店),zdv9,2,"['便當', '日式']",False,15.0,79.0,30.0,5.0,2.1842315685353917,620
3,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,25.0,5.0,1.2021854420575193,4248
4,Pizza Hut必勝客 (桃園同德店),z6bw,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,0.8422245089882859,2827
5,吉順鴨香飯 (桃園國際店),b3ya,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,2.293827236247384,7848
6,3Q脆皮雞排 (桃園大興店),a5cz,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.6271366352806158,4046
7,孫東寶 (桃園中正店),biqe,3,"['台式', '牛排']",False,15.0,79.0,30.0,10.0,0.8164411996707238,645
8,俏龍爺東山鴨頭 (桃園大業店),a7ra,2,['小吃'],False,15.0,79.0,30.0,10.0,1.783275270304437,2879
9,源香拌麵,d6ic,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,0.9132667236852965,2995
10,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,1.1270984467150125,49
11,寒舍精緻鍋物,us1w,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,2.336448869195988,0
12,의미找含意-韓式特色餐酒館,sore,2,['韓式'],False,15.0,79.0,25.0,5.0,0.9611558298541004,269
13,永緣永和豆漿大王 (桃園春日店),nq3b,2,['小吃'],False,15.0,79.0,25.0,5.0,1.4087209284282083,258
14,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,1.9135081113236365,169
15,阿士多海產店,nt2a,2,['台式'],False,15.0,79.0,25.0,5.0,0.9373744436284424,37
16,大麻鍋物 (桃園藝文店),g16v,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.0305312618577709,0
17,大麻鍋物 (桃園大有店),m6pf,3,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,2.1436853337104522,2
18,GogiGogi韓式燒肉 (桃園藝文店),ot1c,3,"['韓式', '小吃']",False,15.0,79.0,25.0,5.0,0.9107570756307931,8
19,麥當勞 (S505 桃園大興西二店),u2zf,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.1931797377194388,5573
20,鬍鬚張魯肉飯 (桃園藝文特區店),y4lh,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.5103669821964342,7366
