,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,胖老爹美式炸雞 (內壢中華店),z2km,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,5.0,0.5296322631824784,4854
1,胖老爹美式炸雞 (中壢環中東店),y0qw,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,15.0,1.2728193978093867,1135
2,四海遊龍 (桃園內壢店),d7lm,2,"['台式', '餃子']",False,15.0,79.0,30.0,5.0,0.8793754950295015,2257
3,萬波島嶼紅茶 (內壢後站店),aigs,2,['飲料'],False,15.0,79.0,30.0,5.0,0.6837717951834509,425
4,七盞茶 (內壢站前店),zxpn,2,['飲料'],False,15.0,79.0,30.0,5.0,0.5333752006955769,27
5,斯朵利咖啡&義式料理 (中壢忠孝店),uzi8,2,"['咖啡', '歐美']",False,15.0,79.0,35.0,10.0,0.4576536824966779,252
6,康青龍 (桃園內壢興農店),z6io,2,['飲料'],False,15.0,79.0,30.0,5.0,0.6232301415344492,2978
7,LAG累擱鮮奶茶 (桃園內壢店),e1zg,2,['飲料'],False,15.0,79.0,30.0,5.0,0.5567597815526556,1715
8,滿溢MAYI (內壢忠孝店),tfdl,2,['飲料'],False,15.0,79.0,30.0,10.0,0.5046628036328813,56
9,水雲朵DrinkStore (內壢忠孝店),qhor,2,['飲料'],False,15.0,79.0,30.0,5.0,0.5247060924261906,117
10,唐老鴨牛排 (桃園內壢店),otz9,2,"['歐美', '牛排']",False,15.0,79.0,30.0,5.0,1.0229326911022334,86
11,和也串燒專賣店 (中壢莊敬店),jzee,2,['小吃'],False,15.0,79.0,40.0,15.0,1.2023548482425361,223
12,麥當勞 (S381 內壢家樂福店),a1bl,2,"['漢堡', '歐美']",False,15.0,79.0,35.0,10.0,0.29259270750896155,11958
13,白鬍子厚切牛排 (中壢長春店),r0oa,2,"['台式', '牛排']",False,15.0,79.0,30.0,5.0,0.5557709487276282,2742
14,21PLUS、21風味館 (內壢家樂福門市),z3zl,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,5.0,0.1855036591779161,4550
15,台北永和豆漿 (桃園內壢店),u7kk,1,['小吃'],False,15.0,79.0,30.0,5.0,0.6982814299202155,3741
16,(極)黃燜雞米飯 (中壢文化店),th8j,2,['中式'],False,15.0,79.0,30.0,5.0,0.5164840869328606,269
17,木雞雞肉飯專門店,vhxi,2,"['便當', '台式']",False,15.0,79.0,30.0,5.0,0.6631655777537381,600
18,魔法 Do Re 咪,wve8,2,"['咖哩', '異國']",False,15.0,79.0,30.0,5.0,0.6611505628808565,907
19,五桐號 WooTea (內壢忠孝店),fswx,2,['飲料'],False,15.0,79.0,30.0,5.0,0.4554912944405974,104
