,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Mr.Wish 鮮果茶玩家 (霧峰樹仁店),d0sj,2,['飲料'],True,15.0,79.0,25.0,5.0,2.991905598226038,439
1,Bubble Z阿偉飲品專賣店 (台中霧峰店),k5bb,1,['飲料'],False,15.0,79.0,20.0,5.0,2.99098176579607,1329
2,小胖鮮鍋 (霧峰店),rhut,2,"['火鍋', '台式']",False,15.0,79.0,45.0,25.0,3.02349042577184,402
3,麥當勞 (S208 霧峰林森店),b3qp,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,2.993276741537917,13976
4,台北永和豆漿 (台中霧峰店),i7ja,1,['小吃'],False,15.0,79.0,20.0,5.0,3.1525872407016724,3302
5,烏龍麵所 (台中霧峰店),le62,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.948980617231596,375
6,四海遊龍 (台中霧峰店),d7pz,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,3.022695411602776,4905
7,新井茶 (霧峰四德店),b6ph,2,['飲料'],False,15.0,79.0,20.0,5.0,1.4867340170689494,1572
8,八方雲集 (台中霧峰店),d3oe,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.993031567525399,2952
9,亞大雞排,l3hd,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.7779645506726913,443
10,澄食晨食 (台中樹仁店),h9dk,1,['台式'],False,15.0,79.0,20.0,5.0,2.9804957887043173,2702
11,築也日本料理店 (台中霧峰店),b2ne,2,['日式'],False,15.0,79.0,25.0,10.0,3.2379132573135148,2026
12,這煎 蚵仔煎,b4wi,2,"['麵食', '台式', '牛排']",False,15.0,79.0,20.0,5.0,2.8639612257339357,828
13,龍哥雞排 (台中霧峰店),d1vp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.080574413559938,1367
14,滿大碗 (霧峰四德店),cysg,2,['台式'],False,15.0,79.0,25.0,10.0,3.150354445579507,108
15,大埔鐵板燒 (台中霧峰店),tvg4,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,3.38740598505193,995
16,粥大福 (霧峰中正店),ispn,2,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.1891113511752907,178
17,Pizza Hut必勝客 (台中霧峰店),z7dz,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,3.1572126123105377,4058
18,紅螞蟻燒烤,e7cg,2,['小吃'],False,15.0,79.0,30.0,15.0,3.317231953396678,1902
19,胖老爹美式炸雞 (霧峰樹仁店),g4tn,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,2.925050055259098,2651
20,橋頭美食現炒,q8eg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,3.777664054501509,3688
21,雞排本色 (台中霧峰店),b0pa,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.987138851165025,2953
22,三媽臭臭鍋 (台中霧峰店),ehrq,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.354993440475546,1531
23,韓金量新韓式炸雞 (台中霧峰店),ozq0,2,"['韓式', '炸雞']",False,15.0,79.0,25.0,10.0,3.1050478828195933,149
24,天星永和豆漿,p6qw,1,"['麵食', '小吃']",False,15.0,79.0,35.0,15.0,3.0994499708165217,2894
25,光復新村圓環麵攤,cszt,1,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,3.252828117994347,77
26,六扇門 (台中霧峰店),t0rs,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,3.337640167438973,3300
27,Louisa 路易莎 (霧峰樹仁店),fcjo,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,25.0,5.0,2.991316515052736,172
28,台北江 (台中霧峰店),b6jk,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.990398129821779,2744
29,雙醬咖哩 (台中霧峰店),i29p,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,3.1249614386822726,713
30,欲罷不能鹹水雞 (台中霧峰店),d6vn,2,['小吃'],False,15.0,79.0,30.0,15.0,2.954396384181125,1664
31,買辣麻辣燙 (台中霧峰店),n3re,2,['小吃'],False,15.0,79.0,20.0,5.0,2.989580024982317,1696
32,萬波島嶼紅茶 (霧峰中正店),lflu,2,['飲料'],False,15.0,79.0,20.0,5.0,3.2373978528003384,315
33,大苑子 (台中霧峰店),b5dc,2,['飲料'],False,15.0,79.0,20.0,5.0,3.192256955677022,1677
34,T4清茶達人(台中霧峰店),i9q3,1,['飲料'],False,15.0,79.0,20.0,5.0,3.176120334303228,1189
35,魯夫滷味 (索隆霧峰店),v3sh,1,['小吃'],False,15.0,79.0,30.0,10.0,3.010201280731035,426
36,大碗公冰·甜品 (台中霧峰店),k0d7,2,['甜點'],False,15.0,79.0,25.0,10.0,3.3557368150490783,564
37,廣鎮美食館,ffa4,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,2.95279385366813,827
38,鮮茶道 (霧峰樹仁店),b9pz,2,['飲料'],False,15.0,79.0,20.0,5.0,2.994100936074565,1294
39,秉峯鍋燒麵 (台中霧峰店),b9ur,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,3.010618426077377,1568
40,在地人鹽水雞 (霧峰樹仁店),yilf,2,['小吃'],False,15.0,79.0,25.0,10.0,2.9744957934412652,400
41,大塊滷味,xrsn,2,['小吃'],False,15.0,79.0,25.0,10.0,3.0679684449941598,206
42,鼎記鍋巴飯,p6vc,2,"['韓式', '湯品', '便當']",False,15.0,79.0,25.0,5.0,3.018425688566216,804
43,清原芋圓 (霧峰中正店),len5,2,['甜點'],False,15.0,79.0,25.0,10.0,3.0803560691976055,315
44,榮耀豆花 (台中霧峰店),b1fk,1,['甜點'],False,15.0,79.0,30.0,10.0,2.970640684996146,1277
45,85度C (霧峰中正店),e3rg,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,3.18323119918049,850
46,阿亮臭豆腐（中正店）,r2nt,1,['小吃'],False,15.0,79.0,25.0,5.0,3.478593689224474,259
47,老賴茶棧 (台中霧峰店),py1t,1,['飲料'],False,15.0,79.0,20.0,5.0,3.175949952717326,277
48,Bubble Z阿偉飲品專賣店 (台中霧峰店),k5bb,1,['飲料'],False,15.0,79.0,20.0,5.0,2.99098176579607,1329
49,小胖鮮鍋 (霧峰店),rhut,2,"['火鍋', '台式']",False,15.0,79.0,45.0,25.0,3.02349042577184,402
50,麥當勞 (S208 霧峰林森店),b3qp,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,2.993276741537917,13976
51,台北永和豆漿 (台中霧峰店),i7ja,1,['小吃'],False,15.0,79.0,20.0,5.0,3.1525872407016724,3302
52,烏龍麵所 (台中霧峰店),le62,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.948980617231596,375
53,四海遊龍 (台中霧峰店),d7pz,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,3.022695411602776,4905
54,新井茶 (霧峰四德店),b6ph,2,['飲料'],False,15.0,79.0,20.0,5.0,1.4867340170689494,1572
55,八方雲集 (台中霧峰店),d3oe,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.993031567525399,2952
56,亞大雞排,l3hd,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.7779645506726913,443
57,澄食晨食 (台中樹仁店),h9dk,1,['台式'],False,15.0,79.0,20.0,5.0,2.9804957887043173,2702
58,築也日本料理店 (台中霧峰店),b2ne,2,['日式'],False,15.0,79.0,25.0,10.0,3.2379132573135148,2026
59,這煎 蚵仔煎,b4wi,2,"['麵食', '台式', '牛排']",False,15.0,79.0,20.0,5.0,2.8639612257339357,828
60,龍哥雞排 (台中霧峰店),d1vp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,3.080574413559938,1367
61,滿大碗 (霧峰四德店),cysg,2,['台式'],False,15.0,79.0,25.0,10.0,3.150354445579507,108
62,大埔鐵板燒 (台中霧峰店),tvg4,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,3.38740598505193,995
63,粥大福 (霧峰中正店),ispn,2,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,5.0,3.1891113511752907,178
64,Pizza Hut必勝客 (台中霧峰店),z7dz,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,3.1572126123105377,4058
65,紅螞蟻燒烤,e7cg,2,['小吃'],False,15.0,79.0,30.0,15.0,3.317231953396678,1902
66,胖老爹美式炸雞 (霧峰樹仁店),g4tn,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,2.925050055259098,2651
67,橋頭美食現炒,q8eg,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,3.777664054501509,3688
68,雞排本色 (台中霧峰店),b0pa,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.987138851165025,2953
69,三媽臭臭鍋 (台中霧峰店),ehrq,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,3.354993440475546,1531
70,韓金量新韓式炸雞 (台中霧峰店),ozq0,2,"['韓式', '炸雞']",False,15.0,79.0,25.0,10.0,3.1050478828195933,149
71,天星永和豆漿,p6qw,1,"['麵食', '小吃']",False,15.0,79.0,35.0,15.0,3.0994499708165217,2894
72,光復新村圓環麵攤,cszt,1,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,3.252828117994347,77
73,六扇門 (台中霧峰店),t0rs,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,3.337640167438973,3300
74,Louisa 路易莎 (霧峰樹仁店),fcjo,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,25.0,5.0,2.991316515052736,172
75,台北江 (台中霧峰店),b6jk,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.990398129821779,2744
76,雙醬咖哩 (台中霧峰店),i29p,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,3.1249614386822726,713
77,欲罷不能鹹水雞 (台中霧峰店),d6vn,2,['小吃'],False,15.0,79.0,30.0,15.0,2.954396384181125,1664
78,買辣麻辣燙 (台中霧峰店),n3re,2,['小吃'],False,15.0,79.0,20.0,5.0,2.989580024982317,1696
