,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鬥陣A火雞肉飯,g2u2,2,['台式'],False,29.0,79.0,30.0,5.0,0.8220849154206603,53
1,小南亭和風洋食 (長庚華亞店),bv1g,3,"['便當', '麵食', '日式']",False,29.0,79.0,35.0,5.0,1.401724459060727,29
2,六扇門 (桃園林口店),g4qn,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,1.3838757247241826,3975
3,秀明炸肉飯,p7jj,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,0.802575894165356,1490
4,四海遊龍 (桃園林口二店),z9lg,2,"['台式', '餃子']",False,29.0,79.0,35.0,5.0,1.7157300982595467,2719
5,店長鴨血 (桃園龜山店),z4ux,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.7180223535962675,1639
6,清心福全 (林口復興店),a9ql,2,['飲料'],False,29.0,79.0,35.0,5.0,1.6955763637590782,2543
7,匠屋日式料理,f6gy,2,['日式'],False,29.0,79.0,40.0,15.0,1.4184072892438626,424
8,草本茶 (林口華亞店),z6xi,2,['甜點'],False,29.0,79.0,35.0,5.0,1.7935895925176846,917
9,均君中西式早餐,d6em,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.7935734598352158,2159
10,吉得堡早餐店,o9gv,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.7575322983446247,951
11,春福來早午餐,z1sa,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,1.0036554172941314,3219
12,6.AM早午餐,f5zp,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.0440949490149818,3416
13,頭家娘早午餐,f3ly,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.7081694897000348,950
14,麵線陳專業麵線 (林口龜山旗艦店),y66b,2,"['麵食', '小吃']",False,29.0,79.0,40.0,15.0,0.832012687037071,55
15,圓棹食堂,jje1,2,"['麵食', '日式']",False,29.0,79.0,40.0,15.0,0.9898570671205577,223
16,茶道手作坊,a9gd,2,['飲料'],False,29.0,79.0,40.0,10.0,1.3272159952788671,891
17,邦煮手工便當店,l7de,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.7935543562964588,766
18,思伊廣東腸粉,snrs,2,['港式'],False,29.0,79.0,40.0,15.0,0.8073104151868322,429
19,拾餐日式餐盒,f24u,2,"['便當', '日式']",False,29.0,79.0,40.0,15.0,1.694357742207109,80
20,鼎湘雞腿大王便當店,h8mb,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,1.7781441796197692,138
21,幸福餐廳手作便當 (低脂低醣健康盒餐炒飯麵),n43x,2,"['便當', '健康餐']",False,29.0,79.0,40.0,15.0,1.9066310652060892,1576
22,TINA廚房林口店/蕃薯藤林口店,z1ds,2,"['便當', '台式']",False,29.0,79.0,40.0,10.0,2.015875505667053,1098
23,八方雲集 (龜山文德店),d0fe,2,"['台式', '餃子']",False,29.0,79.0,40.0,10.0,0.6490385393362104,561
24,達美樂 (林口長庚店),d1jq,3,"['披薩', '歐美']",False,30.0,199.0,30.0,10.0,2.0150442593861357,1225
25,鴨吧鴨肉飯,z88y,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,0.8315065995781448,3
26,舒肥底家(營養師的理想餐盒)林口華亞店,ywxn,2,"['便當', '健康餐']",False,29.0,79.0,40.0,15.0,1.9514445140354213,244
27,梁社漢排骨 (龜山文德店),r353,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.65210465881425,1
28,大戶屋 (環球購物中心桃園A8),ac1s,3,"['便當', '日式']",False,29.0,79.0,40.0,15.0,1.6881172983219643,222
29,小森食舖,rusx,2,"['台式', '餃子']",False,29.0,79.0,40.0,15.0,1.1856420188370391,83
30,好了啦紅茶冰 (龜山文德店),s9xq,2,['飲料'],False,29.0,79.0,40.0,15.0,0.802521324651167,44
31,蕃茄村早午餐 (龜山長慶店),y08q,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.6953257327693004,133
32,早安美芝城 (龜山活力文明店),n7xq,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,0.9597345364102094,26
33,來吃早餐LEB (龜山總店),xvop,2,"['早餐', '麵食', '台式']",False,29.0,79.0,40.0,15.0,3.184380824661427,3
34,不踩雷燒烤 (新北林口店),j3wg,2,['小吃'],False,29.0,79.0,40.0,15.0,2.2214773395637466,45
35,炸十二,jkf5,2,['小吃'],False,29.0,79.0,40.0,15.0,2.3397150255124655,2
36,劉記焢肉飯刈包,fg1j,2,"['湯品', '小吃']",False,29.0,79.0,40.0,15.0,2.46815723203754,77
37,熊麻 麻辣燙 (新北林口店),wokb,2,['台式'],False,29.0,79.0,40.0,15.0,2.1647432599926377,17
38,阿忠麵線,o4ki,2,"['湯品', '麵食', '小吃']",True,29.0,79.0,40.0,15.0,1.7719251230034552,2336
39,厚食lee早餐店,rhox,2,['歐美'],False,29.0,79.0,40.0,15.0,1.776442610952378,79
40,麥味登 (林口感恩店),d5gx,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,2.188627122371929,2127
41,夏米早午餐,z8lv,2,"['早餐', '歐美']",False,29.0,79.0,40.0,10.0,1.85415350654185,2963
42,墨爾漢堡 (新北公園店),lars,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,1.8522165886457245,18
43,拿靠早午餐,a5nk,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,2.535848229375103,3089
44,秀轉角,q6x2,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,2.2948536100043357,23
45,瑞麟美而美 (林口文化店),v6bb,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,2.145118397577355,4893
46,波諾義饗廚房 (林口公園店),rljd,3,['歐美'],False,29.0,79.0,40.0,15.0,1.8364532306078414,17
47,墨爾漢堡 (林口南勢店),ilm3,2,"['漢堡', '歐美', '麵食', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,3.217039860159006,2
48,小南亭和風洋食 (長庚華亞店),bv1g,3,"['便當', '麵食', '日式']",False,29.0,79.0,35.0,5.0,1.401724459060727,29
49,六扇門 (桃園林口店),g4qn,2,"['火鍋', '台式']",False,29.0,79.0,40.0,15.0,1.3838757247241826,3975
50,秀明炸肉飯,p7jj,2,"['湯品', '便當', '台式']",False,29.0,79.0,30.0,5.0,0.802575894165356,1490
51,四海遊龍 (桃園林口二店),z9lg,2,"['台式', '餃子']",False,29.0,79.0,35.0,5.0,1.7157300982595467,2719
52,店長鴨血 (桃園龜山店),z4ux,2,"['火鍋', '台式']",False,29.0,79.0,45.0,20.0,1.7180223535962675,1639
53,清心福全 (林口復興店),a9ql,2,['飲料'],False,29.0,79.0,35.0,5.0,1.6955763637590782,2543
54,匠屋日式料理,f6gy,2,['日式'],False,29.0,79.0,40.0,15.0,1.4184072892438626,424
55,草本茶 (林口華亞店),z6xi,2,['甜點'],False,29.0,79.0,35.0,5.0,1.7935895925176846,917
56,均君中西式早餐,d6em,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.7935734598352158,2159
57,吉得堡早餐店,o9gv,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.7575322983446247,951
58,春福來早午餐,z1sa,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,1.0036554172941314,3219
59,6.AM早午餐,f5zp,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.0440949490149818,3416
60,頭家娘早午餐,f3ly,1,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,1.7081694897000348,950
61,麵線陳專業麵線 (林口龜山旗艦店),y66b,2,"['麵食', '小吃']",False,29.0,79.0,40.0,15.0,0.832012687037071,55
62,圓棹食堂,jje1,2,"['麵食', '日式']",False,29.0,79.0,40.0,15.0,0.9898570671205577,223
63,茶道手作坊,a9gd,2,['飲料'],False,29.0,79.0,40.0,10.0,1.3272159952788671,891
64,邦煮手工便當店,l7de,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.7935543562964588,766
65,思伊廣東腸粉,snrs,2,['港式'],False,29.0,79.0,40.0,15.0,0.8073104151868322,429
66,拾餐日式餐盒,f24u,2,"['便當', '日式']",False,29.0,79.0,40.0,15.0,1.694357742207109,80
67,鼎湘雞腿大王便當店,h8mb,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,1.7781441796197692,138
68,幸福餐廳手作便當 (低脂低醣健康盒餐炒飯麵),n43x,2,"['便當', '健康餐']",False,29.0,79.0,40.0,15.0,1.9066310652060892,1576
69,TINA廚房林口店/蕃薯藤林口店,z1ds,2,"['便當', '台式']",False,29.0,79.0,40.0,10.0,2.015875505667053,1098
70,八方雲集 (龜山文德店),d0fe,2,"['台式', '餃子']",False,29.0,79.0,40.0,10.0,0.6490385393362104,561
71,達美樂 (林口長庚店),d1jq,3,"['披薩', '歐美']",False,30.0,199.0,30.0,10.0,2.0150442593861357,1225
72,鴨吧鴨肉飯,z88y,2,"['湯品', '麵食', '台式']",False,29.0,79.0,40.0,15.0,0.8315065995781448,3
73,舒肥底家(營養師的理想餐盒)林口華亞店,ywxn,2,"['便當', '健康餐']",False,29.0,79.0,40.0,15.0,1.9514445140354213,244
74,梁社漢排骨 (龜山文德店),r353,2,"['便當', '台式']",False,29.0,79.0,40.0,15.0,0.65210465881425,1
75,大戶屋 (環球購物中心桃園A8),ac1s,3,"['便當', '日式']",False,29.0,79.0,40.0,15.0,1.6881172983219643,222
76,小森食舖,rusx,2,"['台式', '餃子']",False,29.0,79.0,40.0,15.0,1.1856420188370391,83
77,好了啦紅茶冰 (龜山文德店),s9xq,2,['飲料'],False,29.0,79.0,40.0,15.0,0.802521324651167,44
78,蕃茄村早午餐 (龜山長慶店),y08q,2,"['早餐', '台式']",False,29.0,79.0,40.0,15.0,0.6953257327693004,133
79,早安美芝城 (龜山活力文明店),n7xq,2,"['早餐', '歐美']",False,29.0,79.0,40.0,15.0,0.9597345364102094,26
80,來吃早餐LEB (龜山總店),xvop,2,"['早餐', '麵食', '台式']",False,29.0,79.0,40.0,15.0,3.184380824661427,3
81,不踩雷燒烤 (新北林口店),j3wg,2,['小吃'],False,29.0,79.0,40.0,15.0,2.2214773395637466,45
82,炸十二,jkf5,2,['小吃'],False,29.0,79.0,40.0,15.0,2.3397150255124655,2
83,劉記焢肉飯刈包,fg1j,2,"['湯品', '小吃']",False,29.0,79.0,40.0,15.0,2.46815723203754,77
84,熊麻 麻辣燙 (新北林口店),wokb,2,['台式'],False,29.0,79.0,40.0,15.0,2.1647432599926377,17
85,阿忠麵線,o4ki,2,"['湯品', '麵食', '小吃']",True,29.0,79.0,40.0,15.0,1.7719251230034552,2336
86,厚食lee早餐店,rhox,2,['歐美'],False,29.0,79.0,40.0,15.0,1.776442610952378,79
87,麥味登 (林口感恩店),d5gx,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,2.188627122371929,2127
88,夏米早午餐,z8lv,2,"['早餐', '歐美']",False,29.0,79.0,40.0,10.0,1.85415350654185,2963
89,墨爾漢堡 (新北公園店),lars,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,29.0,79.0,40.0,15.0,1.8522165886457245,18
90,拿靠早午餐,a5nk,2,"['早餐', '台式']",False,29.0,79.0,40.0,10.0,2.535848229375103,3089
