,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,25.0,10.0,2.9831236617083,175
1,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.777468633870246,1725
2,喫茶小舖 (太平長億店),b8ry,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7820194297584728,1093
3,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,20.0,5.0,1.9141738306136193,241
4,龜記茗品 (大里成功店),hhu5,2,['飲料'],False,15.0,79.0,25.0,10.0,3.0167804116441586,317
5,軍茶～買一送一（台中成功店）,cls7,2,['飲料'],False,15.0,79.0,20.0,5.0,3.234280097140242,201
6,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,25.0,10.0,3.027464287040991,1434
7,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,20.0,10.0,1.7016014725535955,839
8,麥當勞 (S252 太平中興店),b8ar,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,2.8446335190292404,12105
9,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.9796457081800223,1089
10,餓了台式丼飯 (台中太平店),s3ob,2,['台式'],False,15.0,79.0,25.0,5.0,3.0193369442720424,9085
11,吉蜂蒸餃 (台中太平店),ju2p,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,2.685603611338934,594
12,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.79375361529607,3217
13,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.80373607852338,2709
14,元春鐵板燒 (大里成功店),e9ko,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.8109573565891983,3314
15,品香廣東粥壽司,e9cp,2,"['中式', '粥']",False,15.0,79.0,20.0,10.0,1.3895651102392583,1078
16,粥膳海鮮粥,l6wd,2,"['湯品', '粥', '台式']",False,15.0,79.0,20.0,5.0,1.455720965433582,104
17,伍拾貳粥,d0cn,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,3.086833643810524,1923
18,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,3.012373136394157,111
19,阿亮香雞排 (大里塗城店),d5eb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.9314591618794865,2372
20,50嵐 (太平中興店),w20y,2,['飲料'],False,15.0,79.0,20.0,5.0,2.8205968671086614,102
21,香品鴨香飯,cjd8,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.0183710755224062,456
22,澄食晨食 (大里成功店),stuw,2,['台式'],False,15.0,79.0,20.0,5.0,2.941903018256334,1913
23,紅帽炸物 (太平長億店),hpkb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.7818862698737088,36
24,大漠蒙古麻辣燙 (大里成功店),mv0s,2,"['中式', '麵食']",False,15.0,79.0,25.0,5.0,3.0371047331505925,78
25,台中小鎮關東煮,a7fo,2,"['湯品', '小吃', '日式']",False,15.0,79.0,20.0,5.0,1.7787298908939355,1504
26,漢林鐵板燒 (台中中興東店),a6yy,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,3.0200424328505195,2562
27,525滷肉飯(平價餐飲),k5iu,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,2.49519308617178,1139
28,開源社香雞排 (台中成功店),b1ke,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,3.1036996807964163,1563
29,吉蜂蒸餃 (大里成功店),a9pi,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,5.0,2.7482237865553967,2921
30,快樂吃複合式餐飲,z9fu,1,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,2.9933950852188396,2636
31,三媽臭臭鍋 (台中太平店),b7uc,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.0458141434366497,2679
32,小廚師台南美食,a2xc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.9239198891636855,1478
33,肯德基KFC炸雞漢堡店 (大里中興二店),z4qk,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,3.8774815548164474,3520
34,萬波島嶼紅茶 (大里成功店),k39f,2,['飲料'],False,15.0,79.0,20.0,5.0,2.989705871212599,110
35,六六牛排 (太平長億店),t8ah,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.8523271319416705,625
36,6食號肉燥飯 水餃,izg8,2,"['麵食', '台式']",True,15.0,79.0,30.0,15.0,2.487759214341676,100
37,食餓粒水餃大王,o786,2,"['湯品', '台式', '餃子']",True,15.0,79.0,20.0,5.0,2.4879289207409245,199
38,三爺平價牛排 (台中仁化店),k3kw,2,"['台式', '牛排']",False,15.0,79.0,25.0,10.0,3.0491609578949115,1283
39,福鹿手工水餃 (台中大里店),egss,1,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,3.01966164174711,1008
40,翅客脆皮雞排 (台中修平店),ew0k,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.7083559879791432,134
41,薪食漟-永成北店,jkt2,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.954573072812368,123
42,台北江麻辣臭豆腐 (台中太平店),r3hl,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.8644564391454987,2012
43,すき家 Sukiya (台中軟體園區店),a2cx,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,3.830212890701751,6388
44,火星窯烤披薩5號車,e9kf,2,"['披薩', '歐美']",False,15.0,79.0,20.0,5.0,1.8036999999693564,996
45,大漠蒙古麻辣燙 (台中大里店),pqp8,2,['小吃'],False,15.0,79.0,25.0,5.0,4.07320387626027,1667
46,上品麵食館,d9jj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.1147470335600786,2408
47,大排檔串燒,b0tx,2,['小吃'],False,15.0,79.0,25.0,10.0,2.995152184435751,1836
48,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.777468633870246,1725
49,喫茶小舖 (太平長億店),b8ry,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7820194297584728,1093
50,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,20.0,5.0,1.9141738306136193,241
51,龜記茗品 (大里成功店),hhu5,2,['飲料'],False,15.0,79.0,25.0,10.0,3.0167804116441586,317
52,軍茶～買一送一（台中成功店）,cls7,2,['飲料'],False,15.0,79.0,20.0,5.0,3.234280097140242,201
53,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,25.0,10.0,3.027464287040991,1434
54,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,20.0,10.0,1.7016014725535955,839
55,麥當勞 (S252 太平中興店),b8ar,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,2.8446335190292404,12105
56,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.9796457081800223,1089
57,餓了台式丼飯 (台中太平店),s3ob,2,['台式'],False,15.0,79.0,25.0,5.0,3.0193369442720424,9085
58,吉蜂蒸餃 (台中太平店),ju2p,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,2.685603611338934,594
59,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.79375361529607,3217
60,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.80373607852338,2709
61,元春鐵板燒 (大里成功店),e9ko,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.8109573565891983,3314
62,品香廣東粥壽司,e9cp,2,"['中式', '粥']",False,15.0,79.0,20.0,10.0,1.3895651102392583,1078
63,粥膳海鮮粥,l6wd,2,"['湯品', '粥', '台式']",False,15.0,79.0,20.0,5.0,1.455720965433582,104
64,伍拾貳粥,d0cn,1,"['粥', '台式']",False,15.0,79.0,20.0,5.0,3.086833643810524,1923
65,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,3.012373136394157,111
66,阿亮香雞排 (大里塗城店),d5eb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.9314591618794865,2372
67,50嵐 (太平中興店),w20y,2,['飲料'],False,15.0,79.0,20.0,5.0,2.8205968671086614,102
68,香品鴨香飯,cjd8,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,3.0183710755224062,456
