,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S251 大溪慈湖店),p1wu,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,1.5758645560381994,4215
1,四海遊龍 (大溪復興店),f5bj,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,1.3864070754661233,2582
2,開源社香雞排 (桃園大溪店),f4fl,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.569188268254027,1836
3,親愛的小籠湯包 (桃園大溪店),e4mb,2,"['中式', '麵食']",False,15.0,79.0,25.0,5.0,1.5623784237317369,2645
4,六丙食堂,s5n1,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.209810603118153,129
5,CoCo都可 (桃園大溪店),pms1,2,['飲料'],False,15.0,79.0,20.0,5.0,1.58888637608349,282
6,阿杰鹽水雞,e5uw,2,['小吃'],False,15.0,79.0,20.0,5.0,1.1580687048350762,1098
7,2派克雞排,xsee,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,1.5993029798530989,971
8,迷客夏 Milksha (桃園大溪店),p9hc,2,['飲料'],False,15.0,79.0,25.0,5.0,1.5759574485120809,2836
9,可不可熟成紅茶 (大溪復興店),f6v9,1,['飲料'],False,15.0,79.0,25.0,5.0,1.5611329784659371,258
10,Pizza Hut必勝客 (桃園大溪店),e2mv,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,1.6322087455602634,1749
11,珍粥到 (桃園大溪店),nbkm,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,1.6808660766723031,460
12,潮味決．湯滷專門店 (桃園大溪分社),m8vm,2,['台式'],True,15.0,79.0,25.0,5.0,1.5747358779081184,1127
13,雞將雞排,x1y6,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,2.071482274222093,501
14,炸雞世家,p0xz,2,"['小吃', '咖哩', '炸雞']",False,15.0,79.0,30.0,15.0,1.4432875328928723,45
15,粥大福 (桃園大溪店),h0nk,2,"['湯品', '麵食', '粥', '台式']",False,15.0,79.0,25.0,10.0,1.5909683370845464,21
16,大溪三層牛肉麵,ixrw,2,"['麵食', '台式']",False,15.0,79.0,25.0,10.0,1.5883666980972657,164
17,小巷.炸物,g0k8,2,['小吃'],False,15.0,79.0,25.0,10.0,2.40201797087129,13
18,雲記川味牛肉麵,y5d7,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,1.6542371789538495,0
19,熊の甜圓本舖,k3pk,1,"['甜點', '咖啡']",False,15.0,79.0,25.0,10.0,1.431706797405168,33
20,VGest 批薩 低碳飲食 cafe (大溪慈湖店）,q08p,2,"['披薩', '漢堡', '歐美', '麵食']",False,15.0,79.0,30.0,10.0,1.5934683136693968,24
21,一番。鮮塩水雞,hyyh,2,['小吃'],False,15.0,79.0,30.0,15.0,1.5637558159101652,1
22,麵粥飯,bl8e,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,1.7171711819970583,7
23,我們的店,qk49,2,"['麵食', '台式']",False,15.0,79.0,40.0,20.0,1.7133022818749015,11
24,菓點子 (大溪慈湖店),xjpo,1,['飲料'],False,15.0,79.0,25.0,5.0,1.5660763750009765,118
25,好了啦紅茶冰 (大溪康莊店),s157,1,['飲料'],False,15.0,79.0,25.0,5.0,1.9550936506350267,303
26,第1賣冰(大溪慈湖二代店),r0g1,1,['飲料'],False,15.0,79.0,30.0,10.0,1.5755791684278195,777
27,COMEBUY (大溪得勝店),rt70,2,['飲料'],False,15.0,79.0,30.0,15.0,1.6886932024295191,518
28,文創咖美食館,alev,3,"['歐美', '麵食']",False,15.0,79.0,40.0,15.0,1.8644409534092243,0
29,賴媽媽豆花 (多目標體育館),nwsj,1,['甜點'],False,15.0,79.0,40.0,15.0,1.7523318714914173,337
30,賴媽媽豆花,t2ar,1,['甜點'],False,15.0,79.0,40.0,15.0,1.7839754131719232,667
31,TINA廚房大溪店/蕃薯藤大溪店,vgvq,2,"['便當', '台式']",False,15.0,79.0,40.0,15.0,2.5833189682409556,51
32,呷尚寶 (桃園大溪店),wyxd,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.5100459608921926,645
33,Yes 呷早午餐,u5fv,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.9502703483569206,2682
34,麥町吐司工房 (大溪民權店),l1xl,2,"['早餐', '台式', '三明治 / 吐司']",False,15.0,79.0,40.0,15.0,1.514205369125499,1984
35,老客馥粥品專賣連鎖 (大溪慈湖店),s8yx,2,"['粥', '台式']",False,15.0,79.0,40.0,15.0,1.58888637608349,954
36,妙早餐,cxz0,2,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,3.163314209484688,169
37,美式早餐屋 (大溪中正店),fnq0,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.6649144922501897,1594
38,麥味登 (大溪康莊店),vk8o,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.686510192800448,586
39,大溪肉排蛋吐司,u7fu,1,"['小吃', '三明治 / 吐司']",False,15.0,79.0,40.0,15.0,1.684003793011146,288
