,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (羅東外送店),b5ki,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.176603971937024,2763
1,Burger King 漢堡王 (羅東興東店),kx8i,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.108861482325761,775
2,就要醬滷 (羅東國華店),l6wa,2,['小吃'],False,15.0,79.0,25.0,5.0,4.042311858660293,53
3,水雲朵DrinkStore (羅東公正店),edkh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.126603928741498,454
4,鶴茶樓-鶴頂紅茶商店 (羅東成功店),q2ho,2,['飲料'],False,15.0,79.0,20.0,5.0,4.057796426735617,2054
5,石頭屋牛排專賣店,o9vo,3,"['歐美', '牛排']",False,19.0,79.0,20.0,10.0,2.9741379638040946,423
6,小春糕渣卜肉 (羅東郵局店),h6zp,2,['小吃'],True,19.0,79.0,25.0,10.0,3.337259432947715,364
7,冰雪冷飲部 (羅東總店),jyzk,2,['甜點'],False,19.0,79.0,20.0,5.0,3.2223505206598557,1296
8,愛情海佰元熱炒,xkcg,3,"['湯品', '台式']",False,19.0,79.0,40.0,25.0,2.949304109476893,815
9,CoCo都可 (宜蘭五結店),epfn,2,['飲料'],False,19.0,79.0,15.0,5.0,0.34043660941285814,334
10,麥當勞 (S75 羅東興東店),r2oh,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.2810642300460167,16606
11,台妹炸雞翅 (宜蘭五結店),xpuc,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.3657209956030443,122
12,來來牛排館 (宜蘭五結店),f0tq,3,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,1.7583927515668205,1114
13,皇家貴族派 (羅東大同店),wqjm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.8817227831482515,1781
14,肯德基KFC炸雞漢堡店 (羅東興東店),b8jv,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.1635629982743607,5950
15,85度C (宜蘭五結店),j3hm,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.5460362978443929,796
16,食至名龜 (宜蘭羅東店),ls8o,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,20.0,5.0,3.124076369686409,93
17,鷄邀鷄肉飯,urzy,2,"['湯品', '便當', '台式']",False,15.0,79.0,30.0,15.0,3.79587552771323,5993
18,五桐號 WooTea (羅東公正店),q5wr,2,['飲料'],False,15.0,79.0,20.0,5.0,2.850147665351942,145
19,喬培義式廚房 (宜蘭羅東店),d3yz,2,['歐美'],False,19.0,79.0,20.0,5.0,3.6960531481325423,4886
20,粉食韓式小吃店 (羅東店),b5kf,2,['韓式'],False,19.0,79.0,20.0,5.0,3.114194425303609,2936
21,小承臭豆腐,dpv7,1,['小吃'],False,15.0,79.0,20.0,10.0,0.254611310290328,75
22,八方雲集 (羅東民權店),v7j8,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,3.4930873271560308,382
23,芳香食坊 (夜市民權店),q8os,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.332897576208867,1942
24,清原芋圓 (宜蘭五結店),ni8z,2,['甜點'],True,15.0,79.0,20.0,10.0,0.38780514753676654,430
25,永利廣東粥 (羅東店),e2sa,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.527129194380703,2918
26,鬼匠拉麵 (羅東中華店),njay,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.3566572876979253,951
27,品都串燒 (羅東和平店),a6tj,2,['小吃'],True,15.0,79.0,25.0,10.0,2.876961361127425,678
28,王記炒飯,d6o4,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,3.2472914247484046,493
29,麻將麻辣臭豆腐 (宜蘭羅東店),ulr2,2,['小吃'],False,19.0,79.0,20.0,5.0,3.680862951735982,787
30,大滷桶 (宜蘭羅東店),j0mi,2,['小吃'],False,19.0,79.0,20.0,5.0,3.1645542080973126,965
31,可不可熟成紅茶 (羅東民權店),gqb4,1,['飲料'],False,19.0,79.0,20.0,5.0,3.5173538274323928,1816
32,公園貳拾號 甜湯‧冰品,b7cz,1,['甜點'],False,15.0,79.0,25.0,10.0,3.305357554046115,2891
33,極鮮雞雞排專賣店,b7jp,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.2556639853079905,2844
34,爭鮮迴轉壽司 (羅東店),d019,2,['日式'],False,19.0,79.0,20.0,5.0,3.23276334725963,745
35,夜煎部小食堂,p2cf,2,['台式'],False,19.0,79.0,20.0,5.0,3.1517877078220997,341
36,綠之鄉飲料 (羅東概念店),q51f,2,['飲料'],False,19.0,79.0,20.0,5.0,3.4532988698125844,888
37,茶湯會 (中正北店),l0qr,2,['飲料'],True,19.0,79.0,20.0,5.0,2.918924732326263,1546
38,民族茶坊21 (原21茶坊民族店),d2uq,2,"['麵食', '台式']",False,15.0,79.0,40.0,25.0,3.4096426527295947,5514
39,吮指王KING (羅東和平店),x3uf,2,"['台式', '炸雞']",False,19.0,79.0,25.0,10.0,2.878798765964308,1526
40,嚐鮮拌島韓式料理,lwid,2,['韓式'],False,19.0,79.0,20.0,5.0,3.4423250378895687,156
41,萬波島嶼紅茶 (宜蘭羅東店),ikix,2,['飲料'],False,19.0,79.0,20.0,5.0,3.4261028954843455,755
42,戰鬥雞-油雞/醉雞 輕食 (宜蘭羅東店),b6eo,2,"['健康餐', '台式']",True,15.0,79.0,20.0,5.0,3.284982818152141,1534
43,E炸G (宜蘭親河店),n0an,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.9300056119575713,1103
44,繼光香香雞 (羅東民權店),nor2,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,3.48966356245851,82
45,想享粥鋪,fsi1,1,"['粥', '台式']",False,15.0,79.0,20.0,10.0,2.9670165478769595,54
46,小豬很忙 (宜蘭羅東店),b5zk,2,['小吃'],False,19.0,79.0,25.0,10.0,3.396334197820757,1809
47,宜蘭人甘草芭樂,f1jy,2,['甜點'],False,19.0,79.0,20.0,5.0,3.291663901952091,650
48,Burger King 漢堡王 (羅東興東店),kx8i,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,3.108861482325761,775
49,就要醬滷 (羅東國華店),l6wa,2,['小吃'],False,15.0,79.0,25.0,5.0,4.042311858660293,53
50,水雲朵DrinkStore (羅東公正店),edkh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.126603928741498,454
51,鶴茶樓-鶴頂紅茶商店 (羅東成功店),q2ho,2,['飲料'],False,15.0,79.0,20.0,5.0,4.057796426735617,2054
52,石頭屋牛排專賣店,o9vo,3,"['歐美', '牛排']",False,19.0,79.0,20.0,10.0,2.9741379638040946,423
53,小春糕渣卜肉 (羅東郵局店),h6zp,2,['小吃'],True,19.0,79.0,25.0,10.0,3.337259432947715,364
54,冰雪冷飲部 (羅東總店),jyzk,2,['甜點'],False,19.0,79.0,20.0,5.0,3.2223505206598557,1296
55,愛情海佰元熱炒,xkcg,3,"['湯品', '台式']",False,19.0,79.0,40.0,25.0,2.949304109476893,815
56,CoCo都可 (宜蘭五結店),epfn,2,['飲料'],False,19.0,79.0,15.0,5.0,0.34043660941285814,334
57,麥當勞 (S75 羅東興東店),r2oh,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,3.2810642300460167,16606
58,台妹炸雞翅 (宜蘭五結店),xpuc,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.3657209956030443,122
59,來來牛排館 (宜蘭五結店),f0tq,3,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,1.7583927515668205,1114
60,皇家貴族派 (羅東大同店),wqjm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.8817227831482515,1781
61,肯德基KFC炸雞漢堡店 (羅東興東店),b8jv,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.1635629982743607,5950
62,85度C (宜蘭五結店),j3hm,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,15.0,5.0,0.5460362978443929,796
63,食至名龜 (宜蘭羅東店),ls8o,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,20.0,5.0,3.124076369686409,93
64,鷄邀鷄肉飯,urzy,2,"['湯品', '便當', '台式']",False,15.0,79.0,30.0,15.0,3.79587552771323,5993
65,五桐號 WooTea (羅東公正店),q5wr,2,['飲料'],False,15.0,79.0,20.0,5.0,2.850147665351942,145
66,喬培義式廚房 (宜蘭羅東店),d3yz,2,['歐美'],False,19.0,79.0,20.0,5.0,3.6960531481325423,4886
67,粉食韓式小吃店 (羅東店),b5kf,2,['韓式'],False,19.0,79.0,20.0,5.0,3.114194425303609,2936
68,小承臭豆腐,dpv7,1,['小吃'],False,15.0,79.0,20.0,10.0,0.254611310290328,75
69,八方雲集 (羅東民權店),v7j8,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,3.4930873271560308,382
70,芳香食坊 (夜市民權店),q8os,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.332897576208867,1942
71,清原芋圓 (宜蘭五結店),ni8z,2,['甜點'],True,15.0,79.0,20.0,10.0,0.38780514753676654,430
72,永利廣東粥 (羅東店),e2sa,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.527129194380703,2918
