,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,初。早點,kuu9,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.8557806794532887,63
1,向日葵冷飲,n9lq,1,['飲料'],False,15.0,79.0,40.0,15.0,0.5037872477365866,13
2,早安美芝城 (大園三民概念店),whjh,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,3.0573381414864893,282
3,傻師傅湯包 (桃園山腳店),yq1g,2,"['中式', '湯品', '餃子']",False,15.0,79.0,40.0,15.0,2.734854415985102,192
4,85度C (蘆竹海山店),q9zi,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,40.0,15.0,2.681379399094201,779
5,呈祥燒臘,htf9,2,"['便當', '台式']",False,15.0,79.0,40.0,15.0,2.763992624865695,428
6,滿粥穗 (桃園外帶店),mu26,2,"['粥', '台式']",False,15.0,79.0,40.0,15.0,4.379964326685067,1065
7,八方雲集 (蘆竹南山店),cv6y,2,"['台式', '餃子']",False,15.0,79.0,40.0,15.0,2.758401259305287,827
8,胖老爹美式炸雞 (桃園菓林店),artg,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,15.0,2.97026204414047,1573
9,台北永康 (蘆竹南山店),j6uk,2,"['便當', '台式']",False,15.0,79.0,40.0,15.0,4.262160612284868,2425
10,戰鬥雞-油雞/醉雞 輕食 (大園菓林店),keps,2,"['健康餐', '台式']",False,15.0,79.0,40.0,15.0,3.0082919750921,195
11,小駱家麻奶專賣鍋,j7xn,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,3.2178023961271807,785
12,美鳳越南美食,nqlg,2,['東南亞'],False,15.0,79.0,40.0,15.0,3.1707222987668278,28
13,爆龍車輪餅,h0vp,2,['甜點'],False,15.0,79.0,40.0,15.0,3.081058588535447,769
14,姊妹手工小籠湯包,xue6,2,"['小吃', '餃子']",False,15.0,79.0,40.0,15.0,3.091617023303281,27
15,李記紅茶冰 (大園菓林店),g7an,1,['飲料'],False,15.0,79.0,40.0,15.0,3.241397141098543,503
16,創新TEA SHOP,v0fe,1,['飲料'],False,15.0,79.0,40.0,15.0,2.315525417504261,82
17,弘爺漢堡 (桃園芮蒔芬店),l0me,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.0311071692494815,3509
18,Soker熟客牛排專賣店,v5fv,2,"['台式', '牛排']",False,15.0,79.0,40.0,15.0,3.272925583919485,1682
19,咘咘加菲,hdtd,2,"['咖啡', '歐美']",False,15.0,79.0,40.0,15.0,2.841012611881572,176
20,竹圍鹽酥雞,c1y6,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,2.4194056452567745,59
21,微笑鹽水雞,nqf4,2,['小吃'],False,15.0,79.0,40.0,15.0,2.8972921048813274,466
22,鼎香香臭鍋,wy63,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,2.6867332245070426,113
23,李記南台灣鱔魚麵 (桃園菓林店),c7rn,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,3.172391525595281,1438
24,新北大永和豆漿店,t5wa,2,['小吃'],False,15.0,79.0,40.0,15.0,3.0309030144094966,2894
25,曾媽滷味,pupw,2,['小吃'],False,15.0,79.0,40.0,15.0,2.8271649845440656,339
26,灣仔廣東粥鍋燒意麵 (大園菓林店),e4e4,1,"['麵食', '粥', '台式']",False,15.0,79.0,40.0,15.0,2.7905478204734755,130
27,麻辣妹,zprj,2,['小吃'],False,15.0,79.0,40.0,15.0,3.1120474575455552,155
28,清心福全 (桃園菓林店),l7wz,2,['飲料'],False,15.0,79.0,40.0,15.0,3.1836661866139844,223
29,可不可熟成紅茶 (大園菓林店),wlk8,2,['飲料'],False,15.0,79.0,40.0,15.0,3.155668455661619,350
30,CoCo都可 (桃園山腳店),fom6,2,['飲料'],False,15.0,79.0,40.0,15.0,2.719833099609101,610
31,天秤娃娃鹹酥雞,k8hx,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,2.7789412553448747,2243
32,寶島麵線,f2ot,2,"['湯品', '麵食', '小吃']",False,15.0,79.0,40.0,15.0,3.109504501116901,1139
33,蒸煮流胡椒豬肚雞鍋,vw6e,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,3.2347959183467987,664
