,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,雅真美食坊&雞排炸物,y6jo,2,"['便當', '台式', '炸雞']",False,15.0,79.0,30.0,5.0,2.2686715773490715,2661
1,肯德基KFC炸雞漢堡店 (桃園萬壽店),b8bt,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,30.0,5.0,1.774713477741828,4010
2,Pizza Hut必勝客 (桃園龜山店),z7sx,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,1.4173510956442863,4209
3,Pasta Hut義大利麵 (桃園龜山店),yofe,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,1.4319784338255874,33
4,爆Q美式炸雞 (龜山自強店),lv9s,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,1.8681801863565284,94
5,黑武藏壽司 (桃園龜山店),y8bj,2,['日式'],False,15.0,79.0,25.0,5.0,1.4704241411143397,1870
6,俏龍爺東山鴨頭 (桃園龜山店),qf3j,2,['小吃'],False,15.0,79.0,30.0,5.0,1.858484885244691,97
7,清心福全 (龜山中興店),a7ox,2,['飲料'],False,15.0,79.0,25.0,5.0,1.6630966850223108,4570
8,50嵐 (龜山中興店),d8km,2,['飲料'],False,15.0,79.0,55.0,35.0,1.6580677245711637,5195
9,芋33豆花城,u5xj,1,['甜點'],False,15.0,79.0,30.0,10.0,1.8192356369870266,1000
10,泰皇泰式料理,y2w0,2,['東南亞'],False,15.0,79.0,30.0,10.0,1.749147532622056,86
11,陳秋剛綿綿冰,sbe7,2,['甜點'],False,15.0,79.0,25.0,5.0,1.2411011095319122,107
12,大姆指精緻涮涮鍋,m7gi,3,"['火鍋', '日式']",False,29.0,79.0,35.0,10.0,1.7199240010391001,3
13,仁聚牛肉麵店,v2mu,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,1.4183365697241486,155
14,麥當勞 (S116 桃園龜山店),y5tt,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,0.8800260458802454,16574
15,艾隆義式麵食館 (桃園龜山店),a1hn,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,1.3019926012456475,4190
16,吳土魠魚 (桃園龜山店),l06b,2,['台式'],False,15.0,79.0,25.0,5.0,1.5139638328160132,2884
17,(極)黃燜雞米飯 (龜山中興店),o0jl,2,['中式'],False,15.0,79.0,25.0,5.0,1.609759324937979,571
18,金定火雞肉飯 (桃園龜山店),a0cg,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.451766450652723,5467
19,2派克脆皮雞排 (龜山中興店),q2xw,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.5105746797488984,1312
20,天下奇冰龜山店,z6pr,2,['甜點'],False,15.0,79.0,30.0,5.0,1.5655915039495538,6476
21,飛飛鹹酥雞 (桃園龜山店),amef,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,1.4227865312074104,352
22,斗六門當歸鴨 (桃園龜山店),q2ga,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.443541048925422,3529
23,開源社香雞排 (桃園龜山店),a5rg,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.4147262237918559,3782
24,胖老爹美式炸雞 (龜山中興店),z7js,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,10.0,1.8207155495197134,4973
25,老客馥粥品專賣連鎖 (桃園龜山大同店),z7tj,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,1.2303856830308812,2261
26,翹鬍子麵食館 (桃園龜山店),l3ok,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,1.560055595882896,1594
27,烤翻天 (桃園龜山店),y1ib,2,['小吃'],False,15.0,79.0,30.0,5.0,1.408341928374756,1647
28,金正好吃大腸麵線 (龜山中興店),y5tx,2,"['麵食', '小吃']",False,15.0,79.0,25.0,5.0,1.634536390174226,2588
29,龍門串燒 (龜山自強店),iesn,2,['小吃'],False,15.0,79.0,30.0,5.0,1.8469053354372278,561
30,可不可熟成紅茶 (龜山中興店),djil,1,['飲料'],False,15.0,79.0,25.0,5.0,1.5611718123419691,1442
31,萬波島嶼紅茶 (龜山中興店),s29i,2,['飲料'],False,15.0,79.0,25.0,5.0,1.7466239892824886,521
32,8鍋臭臭鍋 (龜山中興店),y4pu,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,1.8114918917060288,3590
33,迷客夏 Milksha (桃園龜山中興店),mspi,2,['飲料'],False,15.0,79.0,25.0,5.0,1.4269344033087865,126
34,舌尖吧蘭州拉麵 (桃園龜山店),y2ed,2,"['中式', '麵食']",False,15.0,79.0,25.0,5.0,0.8274790785922024,843
