,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (桃園大興西店),z1em,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.8400595114001884,2944
1,八方雲集 (桃園中正店),d9eb,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,0.6629505506076283,2882
2,炬日式烤肉飯 (桃園大有店),zdv9,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,1.3513741882733983,620
3,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,30.0,5.0,1.5076236621093604,4248
4,Pizza Hut必勝客 (桃園春日店),z8cs,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,0.6241799817497881,2043
5,3Q脆皮雞排 (桃園大興店),a5cz,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.7513242404920774,4046
6,Pasta Hut義大利麵 (桃園春日店),j69d,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.6164226613768045,27
7,孫東寶 (桃園大興店),b1s4,3,"['台式', '牛排']",False,15.0,79.0,30.0,10.0,0.7103213881346929,573
8,俏龍爺東山鴨頭 (桃園大業店),a7ra,2,['小吃'],False,15.0,79.0,30.0,10.0,0.9073008757477223,2879
9,源香拌麵,d6ic,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,0.8926975015643777,2995
10,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,1.1090896028329522,49
11,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,2.1615244195654286,6
12,의미找含意-韓式特色餐酒館,sore,2,['韓式'],False,15.0,79.0,25.0,5.0,1.0774547348941863,269
13,永緣永和豆漿大王 (桃園春日店),nq3b,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7012606305506915,258
14,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,2.251673769953801,169
15,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,30.0,5.0,2.17167929097226,2486
16,阿士多海產店,nt2a,2,['台式'],False,15.0,79.0,25.0,5.0,1.1214844314027335,37
17,大麻鍋物 (桃園大有店),m6pf,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.292620228433066,2
18,大麻鍋物 (桃園藝文店),g16v,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,0.9299426171801835,0
19,新梅龍鎮,o3kv,3,"['火鍋', '台式']",True,15.0,79.0,30.0,5.0,1.6954619002835336,981
20,GogiGogi韓式燒肉 (桃園藝文店),ot1c,3,"['韓式', '小吃']",False,15.0,79.0,25.0,5.0,0.4939519015826452,8
21,派緹煙囪捲,z2hh,2,['甜點'],False,15.0,79.0,50.0,25.0,1.667534017372225,921
22,麥當勞 (S406 桃園大興西店),b8au,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.18834581286505842,7817
23,上野匠烤肉飯(南平創始店),b4lx,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.8321609380897934,5601
24,鬍鬚張魯肉飯 (桃園藝文特區店),y4lh,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.3900373856556182,7366
25,すき家 Sukiya (桃園春日店),z0qn,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,0.7995658891304244,9551
26,合浦刀切麵食工坊 (桃園天祥店),f6oc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.44221009571724357,2484
27,吳土魠魚 (桃園夜市店),y5lk,2,['台式'],False,15.0,79.0,25.0,5.0,1.0908867518109286,6520
28,清心福全 (桃園中正店),a1hg,1,['飲料'],False,15.0,79.0,25.0,5.0,1.2145254161596009,4729
29,金定嘉義火雞肉飯豬腳飯 (桃園大興店),x7hg,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.6030076258703273,3496
30,斗六門當歸鴨 (桃園南平店),m4cc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.7858704354030452,4432
31,麗媽香香鍋 (桃園中正店),z4yc,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.8455434495151082,4342
32,龍門串燒 (桃園中正店),wcvs,2,['小吃'],False,15.0,79.0,25.0,5.0,0.6133230830869693,708
33,小芬家族,d0bz,2,['甜點'],False,15.0,79.0,25.0,5.0,0.6530228492122254,2343
34,老客馥粥品專賣連鎖 (桃園南平店),z7ga,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.8144047082434303,2705
35,永緣永和豆漿大王 (桃園大興店),u1pt,2,['小吃'],False,15.0,79.0,25.0,5.0,0.836733249033092,2749
36,小木屋鬆餅 (桃園中正店),n8wg,2,['甜點'],False,15.0,79.0,25.0,10.0,0.39444088795934973,3174
37,台北永康 (桃園南平店),x3ko,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.7940665942168694,1621
38,宏林鐵板燒 (桃園中正店),a2hj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,0.9569865844932312,3945
39,昇暉永和豆漿 (寶慶店),udb1,2,['小吃'],False,15.0,79.0,25.0,5.0,1.105805375270807,636
40,老地方牛肉麵 (桃園中正店),y7vp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.2303253426059841,2952
41,茶湯會 (桃園中正店),ebkw,2,['飲料'],False,15.0,79.0,25.0,5.0,1.0472913470945104,279
42,帕思比義式坊 (桃園大興店),d0ch,2,"['歐美', '麵食']",False,15.0,79.0,40.0,20.0,0.7608438223982281,5123
43,魯都香 (桃園慈文店),z3mp,2,['小吃'],False,15.0,79.0,30.0,10.0,0.6310999003455338,2665
44,大三元鹹酥雞,hmxs,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,0.40510803303986936,186
45,19.5TEA (桃園中正店),vv04,2,['飲料'],False,15.0,79.0,25.0,5.0,0.8574135665628807,103
46,大禾拉麵 (桃園中正店),y1rq,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,1.5259794363553751,2946
47,(極)黃燜雞米飯 (桃園力行店),rur1,2,['中式'],False,15.0,79.0,25.0,5.0,1.3773084578632333,420
48,八方雲集 (桃園中正店),d9eb,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,0.6629505506076283,2882
49,炬日式烤肉飯 (桃園大有店),zdv9,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,1.3513741882733983,620
50,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,30.0,5.0,1.5076236621093604,4248
51,Pizza Hut必勝客 (桃園春日店),z8cs,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,0.6241799817497881,2043
52,3Q脆皮雞排 (桃園大興店),a5cz,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.7513242404920774,4046
53,Pasta Hut義大利麵 (桃園春日店),j69d,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.6164226613768045,27
54,孫東寶 (桃園大興店),b1s4,3,"['台式', '牛排']",False,15.0,79.0,30.0,10.0,0.7103213881346929,573
55,俏龍爺東山鴨頭 (桃園大業店),a7ra,2,['小吃'],False,15.0,79.0,30.0,10.0,0.9073008757477223,2879
56,源香拌麵,d6ic,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,0.8926975015643777,2995
57,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,1.1090896028329522,49
58,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,2.1615244195654286,6
59,의미找含意-韓式特色餐酒館,sore,2,['韓式'],False,15.0,79.0,25.0,5.0,1.0774547348941863,269
60,永緣永和豆漿大王 (桃園春日店),nq3b,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7012606305506915,258
61,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,2.251673769953801,169
62,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,30.0,5.0,2.17167929097226,2486
63,阿士多海產店,nt2a,2,['台式'],False,15.0,79.0,25.0,5.0,1.1214844314027335,37
64,大麻鍋物 (桃園大有店),m6pf,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.292620228433066,2
65,大麻鍋物 (桃園藝文店),g16v,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,0.9299426171801835,0
66,新梅龍鎮,o3kv,3,"['火鍋', '台式']",True,15.0,79.0,30.0,5.0,1.6954619002835336,981
67,GogiGogi韓式燒肉 (桃園藝文店),ot1c,3,"['韓式', '小吃']",False,15.0,79.0,25.0,5.0,0.4939519015826452,8
68,派緹煙囪捲,z2hh,2,['甜點'],False,15.0,79.0,50.0,25.0,1.667534017372225,921
69,麥當勞 (S406 桃園大興西店),b8au,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.18834581286505842,7817
70,上野匠烤肉飯(南平創始店),b4lx,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.8321609380897934,5601
71,鬍鬚張魯肉飯 (桃園藝文特區店),y4lh,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.3900373856556182,7366
72,すき家 Sukiya (桃園春日店),z0qn,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,0.7995658891304244,9551
73,合浦刀切麵食工坊 (桃園天祥店),f6oc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.44221009571724357,2484
74,吳土魠魚 (桃園夜市店),y5lk,2,['台式'],False,15.0,79.0,25.0,5.0,1.0908867518109286,6520
75,清心福全 (桃園中正店),a1hg,1,['飲料'],False,15.0,79.0,25.0,5.0,1.2145254161596009,4729
76,金定嘉義火雞肉飯豬腳飯 (桃園大興店),x7hg,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.6030076258703273,3496
77,斗六門當歸鴨 (桃園南平店),m4cc,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,0.7858704354030452,4432
78,麗媽香香鍋 (桃園中正店),z4yc,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.8455434495151082,4342
79,龍門串燒 (桃園中正店),wcvs,2,['小吃'],False,15.0,79.0,25.0,5.0,0.6133230830869693,708
80,小芬家族,d0bz,2,['甜點'],False,15.0,79.0,25.0,5.0,0.6530228492122254,2343
81,老客馥粥品專賣連鎖 (桃園南平店),z7ga,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.8144047082434303,2705
82,永緣永和豆漿大王 (桃園大興店),u1pt,2,['小吃'],False,15.0,79.0,25.0,5.0,0.836733249033092,2749
83,小木屋鬆餅 (桃園中正店),n8wg,2,['甜點'],False,15.0,79.0,25.0,10.0,0.39444088795934973,3174
84,台北永康 (桃園南平店),x3ko,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.7940665942168694,1621
85,宏林鐵板燒 (桃園中正店),a2hj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,0.9569865844932312,3945
86,昇暉永和豆漿 (寶慶店),udb1,2,['小吃'],False,15.0,79.0,25.0,5.0,1.105805375270807,636
87,老地方牛肉麵 (桃園中正店),y7vp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.2303253426059841,2952
88,茶湯會 (桃園中正店),ebkw,2,['飲料'],False,15.0,79.0,25.0,5.0,1.0472913470945104,279
89,帕思比義式坊 (桃園大興店),d0ch,2,"['歐美', '麵食']",False,15.0,79.0,40.0,20.0,0.7608438223982281,5123
90,魯都香 (桃園慈文店),z3mp,2,['小吃'],False,15.0,79.0,30.0,10.0,0.6310999003455338,2665
91,大三元鹹酥雞,hmxs,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,0.40510803303986936,186
92,19.5TEA (桃園中正店),vv04,2,['飲料'],False,15.0,79.0,25.0,5.0,0.8574135665628807,103
93,大禾拉麵 (桃園中正店),y1rq,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,1.5259794363553751,2946
94,(極)黃燜雞米飯 (桃園力行店),rur1,2,['中式'],False,15.0,79.0,25.0,5.0,1.3773084578632333,420
95,萬波島嶼紅茶 (桃園中正店),xv65,2,['飲料'],False,15.0,79.0,25.0,5.0,1.0801331525733138,763
96,陳麻子快炒,j6kp,2,['台式'],False,15.0,79.0,25.0,10.0,0.7822991400911935,1655
97,50嵐 (桃園中正店),azxc,2,['飲料'],False,15.0,79.0,25.0,5.0,1.0739824369594628,496
98,黑武藏壽司 (桃園中正店),y2em,2,['日式'],False,15.0,79.0,25.0,5.0,1.1694173061881936,2466
99,3Q脆皮雞排 (桃園藝文店),amwt,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.200027896493794,179
100,粥漁,b7hk,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,1.665748556109495,3352
101,川醉湘麻辣燙滷味 桃園中正店(川霸子食品企業有限公司),a9gt,2,['小吃'],False,15.0,79.0,25.0,5.0,0.6919429299759715,814
102,滑龍粥 (桃園同安國小店),pjji,2,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,5.0,1.0943321046619003,97
103,21PLUS、21風味館 (桃園經國門市),a6vb,2,"['歐美', '炸雞']",True,15.0,79.0,30.0,10.0,0.38180465038839806,2380
104,大埔鐵板燒 (桃園春日店),dg3o,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,20.0,0.5746665273074677,138
105,紅築越食堂,q8ai,2,"['湯品', '麵食', '東南亞']",False,15.0,79.0,25.0,5.0,0.7704062435883448,2603
106,珍煮丹 (桃園南平店),ii8l,2,['飲料'],False,15.0,79.0,25.0,5.0,0.7739415332583686,1741
107,鍋台銘 (桃園中正店),z9ek,2,"['火鍋', '台式']",False,15.0,79.0,30.0,10.0,0.5416812983606164,2158
108,金好家小館,a1nq,2,"['便當', '台式']",False,15.0,79.0,25.0,5.0,0.9992310684729568,1814
109,麗媽四季鍋 (桃園大業店),z7th,2,"['火鍋', '台式']",True,15.0,79.0,35.0,15.0,0.7913735237683448,3264
110,丸居酒屋,z9id,2,['日式'],False,15.0,79.0,25.0,5.0,0.8606449526986383,1452
111,日拾鹽酥雞專賣 (桃園永安店),g9j6,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.3968931372802322,289
112,暮咖哩,i9pw,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,0.4471534568102708,1205
113,2派克脆皮雞排 (桃園莊敬店),z9p9,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.4754314277958143,274
114,春陽茶事 (桃園大興店),a3br,2,['飲料'],True,15.0,79.0,25.0,5.0,0.7117028613419594,1829
115,可不可熟成紅茶 (桃園南平店),ikao,1,['飲料'],False,15.0,79.0,25.0,5.0,0.8329892920560151,1425
116,三媽臭臭鍋 (桃園中正店),z1lg,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.2219463797132728,8064
117,肥仔炸雞,s7iw,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,10.0,0.994025993335994,1773
118,艋舺雞排 (桃園中正店),y0nr,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.2229236685998282,2462
119,芋圓堂,k9aj,2,['甜點'],False,15.0,79.0,30.0,10.0,0.6681685892148507,1196
120,炸手鹹酥雞,z0et,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,1.25987420706547,3339
121,丸亀製麵 (家樂福經國店),nptu,2,"['麵食', '日式']",False,15.0,79.0,35.0,10.0,0.3707603386526248,785
122,上宇林 (桃園南平店),oxmk,2,['飲料'],False,15.0,79.0,25.0,5.0,0.8325382927171442,2301
123,呷霸燒烤&周麻辣臭豆腐,m0xg,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7950058570960039,938
124,口吅品平價牛排 (桃園店),a1al,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,1.1040493682543926,1616
125,胖老爹美式炸雞 (桃園中正店),d0hm,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,20.0,0.6367993853562472,4594
126,藝文商圈魔王厚切傳統雞排(桃園經國店),h4uw,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.7252114797522103,94
127,夜市老師傅牛排總匯,t1lq,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,1.194533619587495,1560
128,南平炭烤,y7vl,2,['小吃'],False,15.0,79.0,40.0,20.0,0.7944660209717654,2285
129,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,5.0,2.506619793645911,1185
