,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,雅真美食坊&雞排炸物,y6jo,2,"['便當', '台式', '炸雞']",False,15.0,79.0,25.0,5.0,0.5458360637480826,2661
1,肯德基KFC炸雞漢堡店 (桃園萬壽店),b8bt,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,0.4762499147112906,4010
2,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,1.171727132500464,1927
3,Pizza Hut必勝客 (桃園龜山店),z7sx,2,"['披薩', '歐美']",False,15.0,79.0,30.0,10.0,0.939722172986898,4209
4,Pasta Hut義大利麵 (桃園龜山店),yofe,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.9338173505613833,33
5,爆Q美式炸雞 (龜山自強店),lv9s,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,0.6232960497448418,94
6,曼谷魚泰式料理,c5bm,2,"['咖哩', '東南亞']",False,15.0,79.0,30.0,10.0,1.4588406038121773,15
7,斗六門當歸鴨 (桃園龜山店),q2ga,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.0514152058008903,3529
8,正宗台南阿鑾牛肉湯,y3sv,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,1.8274289357685203,1315
9,黑武藏壽司 (桃園龜山店),y8bj,2,['日式'],False,15.0,79.0,25.0,5.0,0.9963234738522051,1870
10,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,25.0,5.0,1.1585244173760596,6
11,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,1.0568260188565004,1801
12,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,25.0,5.0,1.2938043351845492,2486
13,泰皇泰式料理,y2w0,2,['東南亞'],False,15.0,79.0,30.0,10.0,1.70091165369698,86
14,陳秋剛綿綿冰,sbe7,2,['甜點'],False,15.0,79.0,25.0,5.0,1.271915600547242,107
