,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,皇家貴族派雞排 (宜蘭冬山店),e2oz,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.6890415893950632,1257
1,來來刈包 (宜蘭冬山店),e1xm,1,"['湯品', '小吃']",False,19.0,79.0,15.0,5.0,1.7509070163504823,778
2,么捌捌滷味,ndd9,2,['小吃'],False,19.0,79.0,30.0,20.0,0.8401899365140311,73
3,E炸G (宜蘭成興店),p8rd,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.08741741585579,1053
4,甜心餐館,gqa5,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,2.9229852907781897,809
5,吃香喝辣,l0fa,2,"['麵食', '台式']",False,19.0,79.0,20.0,10.0,1.6868407902847578,482
6,小風箏雪花冰,e5za,1,['甜點'],False,19.0,79.0,15.0,5.0,1.6412171309964891,421
7,海山牛肉麵,p3kg,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.7124155638602363,716
8,一番食坊,t9rn,2,"['麵食', '台式']",False,15.0,79.0,35.0,25.0,3.0675323492919024,1288
9,正大雞排/尼可食坊,x6dv,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,10.0,1.6817489956577707,1010
10,金讚羊肉爐,kbeo,3,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,1.525640799868259,13
11,元品,o3kn,2,"['麵食', '台式']",False,15.0,79.0,40.0,30.0,3.070189787358885,468
12,COMEBUY (宜蘭冬山店),l8wn,2,['飲料'],False,19.0,79.0,15.0,5.0,1.8078116149098957,1613
13,均怡食坊,tu87,1,"['麵食', '粥', '台式']",False,19.0,79.0,40.0,15.0,2.603250063305194,19
14,全盛飯麵館,u1b6,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.0250430056997994,829
15,和力堡早午餐,fims,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.142670547297141,488
16,食六號早午餐,txfk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.05511211558216,2097
17,花現華夏早餐店,g8nn,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.0662986437628748,1137
18,麥味登 (宜蘭冬山店),krx9,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.5714667334671872,848
19,梅菇通心麵,ujfz,1,['台式'],False,19.0,79.0,40.0,15.0,1.1519381469610377,99
20,龍鳳堡 (宜蘭永興店),h7ii,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.78957141073397,1339
21,豆漿姑 (宜蘭冬山店),ovfo,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,1.7715478503387752,33
22,吉香堡早餐店,q18g,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,4.491982298200473,128
23,利澤豆漿店,h9ko,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,4.489176741476579,14
24,ToDo早午餐 (宜蘭利澤店),u37c,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.525462886368464,676
