,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,QUEUE Test 1,xmid,3,['東南亞'],False,0.0,0.0,5.0,5.0,0.314423648878888,8
1,【KA】CoCo ichibanya POS Test,wyh1,3,['日式'],False,20.0,15.0,10.0,10.0,0.19432249513968686,0
2,Weiby (deprecated),g4gt,1,['歐美'],False,0.0,0.0,10.0,5.0,0.2305176509480334,0
3,【KA】50嵐【中區-校稿用】pos test,e7rl,1,['飲料'],False,20.0,50.0,10.0,5.0,0.314423648878888,1
4,Lafresh Test 1,o7xu,1,['中式'],False,0.0,0.0,10.0,10.0,0.314423648878888,0
5,Maifood Test 1,u2ty,2,['甜點'],False,0.0,0.0,10.0,5.0,0.314423648878888,11
6,CoCo都可 POS Test,nmvb,2,['飲料'],False,19.0,100.0,10.0,5.0,0.314423648878888,0
7,Datapro Test 1,g95r,1,['歐美'],False,0.0,0.0,10.0,10.0,0.314423648878888,1
8,Protech Test 2,oyiv,1,['中式'],True,0.0,0.0,10.0,10.0,0.314423648878888,0
9,Protech Test 3,ou8o,1,['中式'],True,0.0,0.0,10.0,10.0,0.314423648878888,0
10,立杰資訊_POS_Test,dw65,3,['中式'],False,0.0,0.0,10.0,10.0,0.314423648878888,0
11,Maifood Test 2,g63t,2,['甜點'],False,0.0,0.0,10.0,5.0,0.314423648878888,1
12,Lijie POS Test 2,gq7c,3,['中式'],False,24.0,50.0,10.0,10.0,0.314423648878888,0
13,Lijie POS Test 3,kiif,3,['中式'],False,20.0,100.0,10.0,10.0,0.314423648878888,0
14,Vectronix POS Test,s8lu,2,['中式'],False,29.0,50.0,10.0,10.0,0.314423648878888,1
15,台灣鹽酥雞 POS Test,nfma,2,"['小吃', '炸雞']",False,25.0,50.0,10.0,10.0,0.314423648878888,0
16,Foodiebro Test 1,twh1,1,['歐美'],False,0.0,0.0,10.0,10.0,0.31505415250720376,3
17,【KA】五花馬水餃館【校稿-南區版】pos test,qi03,1,"['台式', '餃子']",False,9.0,50.0,15.0,15.0,0.1806989546772952,0
18,【KA】來齣小火鍋 X JK廚房 【校稿用】pos test,xrrp,0,"['火鍋', '台式']",False,29.0,99.0,15.0,15.0,0.18411105370395353,0
19,【KA】SUBWAY【新版校稿用】pos test,nz6h,1,['歐美'],False,20.0,50.0,15.0,15.0,0.19048585464689502,0
20,【KA】了凡油雞燒臘‧飯‧麵【校稿用】pos test,h1e7,3,['中式'],False,0.0,0.0,15.0,15.0,0.19640903303787777,1
21,Starbucks 星巴克 POS TEST 2023,z3td,1,"['便當', '日式']",False,20.0,50.0,15.0,15.0,0.314423648878888,0
22,FindPos,m3t6,1,['歐美'],False,29.0,50.0,15.0,15.0,0.314423648878888,0
23,JK POS test,xke9,1,"['麵食', '拉麵']",False,39.0,50.0,15.0,15.0,0.314423648878888,0
24,POS1 POS Test 2,jocu,1,['粥'],False,50.0,50.0,15.0,15.0,0.314423648878888,0
25,Eats365 TW POS Test 2,ri49,0,[],False,39.0,50.0,15.0,15.0,0.314423648878888,0
26,QUEUE Test 2,epig,3,['東南亞'],False,0.0,0.0,15.0,10.0,0.31505415250720376,0
27,Dudoo Test 1,p3ud,3,['東南亞'],False,0.0,0.0,20.0,15.0,0.314423648878888,2
28,Aigens Haidilao TW,u8u7,3,['中式'],False,0.0,0.0,20.0,15.0,0.314423648878888,0
29,Ka Test,n782,2,['中式'],True,0.0,0.0,20.0,15.0,0.314423648878888,0
30,Geoshop Test 3,x8dd,1,['歐美'],False,0.0,0.0,20.0,15.0,0.314423648878888,0
31,瓦城【自送 - 校稿用】pos test,fpgu,3,['東南亞'],False,20.0,50.0,30.0,25.0,0.18947711405871015,0
32,【KA】虎記餃子【校稿用】pos test,hjs6,1,"['餃子', '日式']",False,0.0,0.0,30.0,25.0,0.20171700783108837,0
33,KA test,vnq3,1,['中式'],False,20.0,50.0,30.0,25.0,0.20171700783108837,0
34,KA test,upsn,2,['中式'],False,20.0,50.0,30.0,25.0,0.314423648878888,0
35,iChef POS_TW_Dev5,nh6m,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
36,iChef POS_TW_RC7,cq8p,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
37,摩斯漢堡Mos Burger【串接用】 POS Test,zrz6,1,['日式'],False,0.0,0.0,30.0,25.0,0.314423648878888,3
38,瓦城泰國料理【個人餐盒校稿用】pos test,n5xp,2,"['便當', '東南亞']",False,20.0,50.0,30.0,25.0,0.314423648878888,0
39,iChef POS_TW_RC3,nx1i,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
40,【KA】天天分饗小火鍋 X 無限廚房【校稿用】pos test,oiwd,1,"['火鍋', '台式']",False,0.0,0.0,30.0,25.0,0.314423648878888,0
41,iChef (Dev),e8dn,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,4
42,iChef POS_TW_Prod2,jkk7,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
43,KA Test,xls2,2,"['中式', '便當']",False,20.0,50.0,30.0,25.0,0.314423648878888,0
44,時時香【個人餐盒校稿用】pos test,rfch,2,"['中式', '便當']",False,20.0,50.0,30.0,25.0,0.314423648878888,0
45,iChef POS_TW_RC10,mu1l,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
46,iChef POS_TW_RC5,ode1,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
47,iChef POS_TW_RC4,e5k7,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
48,【KA】CoCo ichibanya POS Test,wyh1,3,['日式'],False,20.0,15.0,10.0,10.0,0.19432249513968686,0
49,Weiby (deprecated),g4gt,1,['歐美'],False,0.0,0.0,10.0,5.0,0.2305176509480334,0
50,立杰資訊_POS_Test,dw65,3,['中式'],False,0.0,0.0,10.0,10.0,0.314423648878888,0
51,Protech Test 3,ou8o,1,['中式'],True,0.0,0.0,10.0,10.0,0.314423648878888,0
52,Datapro Test 1,g95r,1,['歐美'],False,0.0,0.0,10.0,10.0,0.314423648878888,1
53,Maifood Test 1,u2ty,2,['甜點'],False,0.0,0.0,10.0,5.0,0.314423648878888,11
54,Maifood Test 2,g63t,2,['甜點'],False,0.0,0.0,10.0,5.0,0.314423648878888,1
55,CoCo都可 POS Test,nmvb,2,['飲料'],False,19.0,100.0,10.0,5.0,0.314423648878888,0
56,Lijie POS Test 3,kiif,3,['中式'],False,20.0,100.0,10.0,10.0,0.314423648878888,0
57,Lijie POS Test 2,gq7c,3,['中式'],False,24.0,50.0,10.0,10.0,0.314423648878888,0
58,台灣鹽酥雞 POS Test,nfma,2,"['小吃', '炸雞']",False,25.0,50.0,10.0,10.0,0.314423648878888,0
59,Vectronix POS Test,s8lu,2,['中式'],False,29.0,50.0,10.0,10.0,0.314423648878888,1
60,【KA】50嵐【中區-校稿用】pos test,e7rl,1,['飲料'],False,20.0,50.0,10.0,5.0,0.314423648878888,1
61,Lafresh Test 1,o7xu,1,['中式'],False,0.0,0.0,10.0,10.0,0.314423648878888,0
62,Protech Test 2,oyiv,1,['中式'],True,0.0,0.0,10.0,10.0,0.314423648878888,0
63,Foodiebro Test 1,twh1,1,['歐美'],False,0.0,0.0,10.0,10.0,0.31505415250720376,3
64,【KA】五花馬水餃館【校稿-南區版】pos test,qi03,1,"['台式', '餃子']",False,9.0,50.0,15.0,15.0,0.1806989546772952,0
65,【KA】來齣小火鍋 X JK廚房 【校稿用】pos test,xrrp,0,"['火鍋', '台式']",False,29.0,99.0,15.0,15.0,0.18411105370395353,0
66,【KA】SUBWAY【新版校稿用】pos test,nz6h,1,['歐美'],False,20.0,50.0,15.0,15.0,0.19048585464689502,0
67,【KA】了凡油雞燒臘‧飯‧麵【校稿用】pos test,h1e7,3,['中式'],False,0.0,0.0,15.0,15.0,0.19640903303787777,1
68,JK POS test,xke9,1,"['麵食', '拉麵']",False,39.0,50.0,15.0,15.0,0.314423648878888,0
69,Starbucks 星巴克 POS TEST 2023,z3td,1,"['便當', '日式']",False,20.0,50.0,15.0,15.0,0.314423648878888,0
70,POS1 POS Test 2,jocu,1,['粥'],False,50.0,50.0,15.0,15.0,0.314423648878888,0
71,Eats365 TW POS Test 2,ri49,0,[],False,39.0,50.0,15.0,15.0,0.314423648878888,0
72,FindPos,m3t6,1,['歐美'],False,29.0,50.0,15.0,15.0,0.314423648878888,0
73,QUEUE Test 2,epig,3,['東南亞'],False,0.0,0.0,15.0,10.0,0.31505415250720376,0
74,Geoshop Test 3,x8dd,1,['歐美'],False,0.0,0.0,20.0,15.0,0.314423648878888,0
75,Ka Test,n782,2,['中式'],True,0.0,0.0,20.0,15.0,0.314423648878888,0
76,Aigens Haidilao TW,u8u7,3,['中式'],False,0.0,0.0,20.0,15.0,0.314423648878888,0
77,Dudoo Test 1,p3ud,3,['東南亞'],False,0.0,0.0,20.0,15.0,0.314423648878888,2
78,瓦城【自送 - 校稿用】pos test,fpgu,3,['東南亞'],False,20.0,50.0,30.0,25.0,0.18947711405871015,0
79,KA test,vnq3,1,['中式'],False,20.0,50.0,30.0,25.0,0.20171700783108837,0
80,【KA】虎記餃子【校稿用】pos test,hjs6,1,"['餃子', '日式']",False,0.0,0.0,30.0,25.0,0.20171700783108837,0
81,時時香【個人餐盒校稿用】pos test,rfch,2,"['中式', '便當']",False,20.0,50.0,30.0,25.0,0.314423648878888,0
82,iChef POS_TW_RC2,cw7u,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,1
83,iChef POS_TW_RC3,nx1i,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
84,【KA】天天分饗小火鍋 X 無限廚房【校稿用】pos test,oiwd,1,"['火鍋', '台式']",False,0.0,0.0,30.0,25.0,0.314423648878888,0
85,iChef POS_TW_RC10,mu1l,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
86,iChef POS_TW_Dev5,nh6m,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
87,摩斯漢堡Mos Burger【串接用】 POS Test,zrz6,1,['日式'],False,0.0,0.0,30.0,25.0,0.314423648878888,3
88,KA test,upsn,2,['中式'],False,20.0,50.0,30.0,25.0,0.314423648878888,0
89,Lafresh Test 3,hxi4,2,['中式'],True,0.0,0.0,30.0,25.0,0.314423648878888,1
90,Burger King POS Test,fm6c,2,['歐美'],False,0.0,0.0,30.0,25.0,0.314423648878888,1
91,iChef POS_TW_RC9,ribv,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
92,iChef POS_TW_RC6,hdi3,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
93,1010湘【雲端校稿用】,egfh,1,['中式'],False,20.0,50.0,30.0,25.0,0.314423648878888,0
94,iChef POS_TW_Prod3,hlof,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
95,iChef (Production),sya6,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
96,iChef_Dev2,xdlf,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
97,iChef POS_TW_RC8,a051,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
98,非常泰【雲端校稿用】pos test,twmp,3,['東南亞'],False,20.0,50.0,30.0,25.0,0.314423648878888,0
99,iChef (RC),unhz,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
100,Cashier POS Test 2,s19d,2,['健康餐'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
101,早安美芝城POS TEST,dlp0,3,['中式'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
102,iChef POS_TW_Dev3,nb4p,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
103,瓦城泰國料理【個人餐盒校稿用】pos test,n5xp,2,"['便當', '東南亞']",False,20.0,50.0,30.0,25.0,0.314423648878888,0
104,iChef (Dev),e8dn,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,4
105,iChef POS_TW_RC5,ode1,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
106,iChef POS_TW_Prod2,jkk7,1,['飲料'],False,0.0,0.0,30.0,25.0,0.314423648878888,0
