,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,雅真美食坊&雞排炸物,y6jo,2,"['便當', '台式', '炸雞']",False,15.0,79.0,30.0,5.0,2.177731000723302,2661
1,八方雲集 (桃園中正店),d9eb,2,"['台式', '餃子']",False,15.0,79.0,30.0,5.0,1.7557766024317507,2882
2,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,1.0695169466443664,1927
3,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,25.0,5.0,1.0306692602372804,4248
4,吉順鴨香飯 (桃園國際店),b3ya,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,2.1830704631723234,7848
5,Pasta Hut義大利麵 (桃園中正店),hhw9,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,0.9194466080069768,34
6,爆Q美式炸雞 (龜山自強店),lv9s,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,2.3734244842346977,94
7,SBS叁丼,ixqp,2,['日式'],False,15.0,79.0,30.0,10.0,2.0335094928904778,222
8,Roman Kitchen羅馬廚房∥Go Kitchen,mlbr,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,0.8788370703292203,217
9,黑武藏壽司 (桃園中正店),y2em,2,['日式'],False,15.0,79.0,25.0,5.0,1.190443880210472,2466
10,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,1.2459982672154024,49
11,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,25.0,5.0,1.0368254104336607,6
12,饕嗑廚房沙拉義式餐點,yea1,3,"['麵食', '異國']",False,15.0,79.0,35.0,15.0,2.1613802271640403,12
13,寒舍精緻鍋物,us1w,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.6508748855006365,0
14,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,25.0,10.0,0.5825323062335004,169
15,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,25.0,5.0,0.6953995317283523,2486
16,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,0.9334786257084248,1801
17,永緣永和豆漿大王 (桃園春日店),nq3b,2,['小吃'],False,15.0,79.0,30.0,5.0,2.027461810298841,258
18,阿士多海產店,nt2a,2,['台式'],False,15.0,79.0,25.0,5.0,1.317832963156372,37
19,點8號 星級名廚點心專賣店 (桃園遠百店),chf9,3,['港式'],False,15.0,79.0,50.0,30.0,0.46174267858285717,264
20,新梅龍鎮,o3kv,3,"['火鍋', '台式']",True,15.0,79.0,25.0,5.0,1.055156708873449,981
21,仁聚牛肉麵店,v2mu,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,2.8313392902393932,155
22,派緹煙囪捲,z2hh,2,['甜點'],False,15.0,79.0,50.0,25.0,1.6609484150521834,921
23,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,0.155066919581924,1185
24,廣記廣東粥烏龍麵店,p4ue,2,"['中式', '粥']",False,15.0,79.0,25.0,10.0,0.37858719775089467,3516
25,極品麻辣臭豆腐 (桃園中正店),d5uz,1,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,0.395975360681489,3091
26,娘娘雞排 (桃園中山殿),i6xz,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,0.17696044047365678,3556
27,清心福全 (桃園中正店),a1hg,1,['飲料'],False,15.0,79.0,25.0,5.0,1.1442204663891768,4729
28,宏林鐵板燒 (桃園中華店),b4dj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,0.21043282279565528,2783
29,三狼串烤 (桃園站前店),e088,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.37646660152883493,1066
30,吳土魠魚 (桃園夜市店),y5lk,2,['台式'],False,15.0,79.0,25.0,5.0,1.2620891219919437,6520
31,郁品豐鍋貼水餃麵食館 (桃園中山東店),e81c,2,"['湯品', '台式', '餃子']",False,15.0,79.0,25.0,5.0,0.61103068038022,1071
