,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,金陵小館,l0bk,2,"['湯品', '粥', '台式']",False,15.0,79.0,30.0,5.0,1.8723299811110137,1583
1,ㄚ嘉大腸包小腸,oci4,2,['小吃'],False,15.0,79.0,30.0,10.0,0.31662128409015367,48
2,肯德基KFC炸雞漢堡店 (中壢中正店),z1mh,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,30.0,5.0,0.7174534985737883,1970
3,元爵味·黃燜雞米飯 中壢店,me2o,2,['中式'],False,15.0,79.0,30.0,5.0,0.607682667195209,451
4,燻食堂,qaek,2,"['便當', '台式']",False,15.0,79.0,30.0,5.0,0.6171579485847893,3571
5,黑鴨丫麻辣滷味,l42s,2,['小吃'],False,15.0,79.0,35.0,10.0,2.0038223303574814,59
6,東京都咖哩丼·鰻魚飯 X JK廚房 (Just Kitchen 中壢店),v4o4,3,"['咖哩', '日式']",False,15.0,79.0,30.0,5.0,0.6282411163874102,856
7,3Q脆皮雞排 (中壢健行店）,cw8r,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.7985484701180847,60
8,好叔叔現烤甜甜圈 (中壢建國店),p5hy,2,['甜點'],False,15.0,79.0,30.0,5.0,1.0528635441231986,1290
9,中山鴨董店,k6fn,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,2.4341814627957796,3528
10,頂呱呱TKK (中壢店),yd7q,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,1.0379475578012005,443
11,范阿婆四果冰,q4d4,1,['甜點'],False,15.0,79.0,30.0,5.0,1.3267274785270806,5
12,享享鍋物 (中壢環南創始店),zery,3,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,1.9124426510750907,11
13,國鼎鵝肉飯玉里麵專賣店 (桃園中壢店),dif6,2,"['湯品', '台式']",True,15.0,79.0,35.0,15.0,0.6416272909129305,936
14,台風小館,tzr1,2,['歐美'],False,15.0,79.0,30.0,5.0,1.9761629777841745,267
15,林記當歸鴨小吃店,fwrk,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,1.9694361767740274,1202
16,伊府將鍋燒 (桃園中原店),bl8v,2,"['麵食', '台式']",False,15.0,79.0,45.0,20.0,2.2153953573532172,724
17,板橋中山公園蚵仔麵線香雞排 (24H中壢延平店),vn2p,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,0.8333336163336528,11480
18,拉麵吧 (中壢大同店),c9j3,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,0.732693989413789,432
19,楊記40年老店,k4oi,2,"['湯品', '麵食', '台式']",True,15.0,79.0,30.0,5.0,0.7034293513676385,716
20,公路便當,fx63,2,"['湯品', '便當', '台式']",False,15.0,79.0,35.0,10.0,0.835859968707921,905
21,東東麵館,apod,2,"['咖哩', '日式']",False,15.0,79.0,30.0,5.0,2.045090574667394,152
