,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,雅真美食坊&雞排炸物,y6jo,2,"['便當', '台式', '炸雞']",False,15.0,79.0,30.0,5.0,1.761556254334295,2661
1,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,0.42457928449009613,1927
2,肯德基KFC炸雞漢堡店 (桃園桃鶯店),z8ay,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.3914502652207803,2807
3,胖老闆日式鍋燒麵 (桃園大豐店),y5lf,2,"['湯品', '麵食', '日式']",False,15.0,79.0,25.0,5.0,0.4050916918356025,1726
4,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,30.0,5.0,2.0951227449713605,4248
5,爆Q美式炸雞 (龜山自強店),lv9s,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,2.1013340583098756,94
6,SBS叁丼,ixqp,2,['日式'],False,15.0,79.0,30.0,10.0,1.7172143515362766,222
7,Roman Kitchen羅馬廚房∥Go Kitchen,mlbr,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,0.2420221692970051,217
8,黑武藏壽司 (桃園中正店),y2em,2,['日式'],False,15.0,79.0,30.0,5.0,2.2740432733084717,2466
9,曼谷魚泰式料理,c5bm,2,"['咖哩', '東南亞']",False,15.0,79.0,30.0,10.0,0.24215534394467378,15
10,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,2.327277974342603,49
11,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,1.6618933066317336,6
12,寒舍精緻鍋物,us1w,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,2.069123309976959,0
13,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,0.5938016318209708,1801
14,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,25.0,5.0,1.4158574069627137,2486
15,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,1.4500067824404137,169
16,點8號 星級名廚點心專賣店 (桃園遠百店),chf9,3,['港式'],False,15.0,79.0,50.0,30.0,0.7327918914762693,264
17,新梅龍鎮,o3kv,3,"['火鍋', '台式']",True,15.0,79.0,30.0,5.0,1.9335230136788262,981
18,仁聚牛肉麵店,v2mu,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,2.633772023016365,155
19,刺客炭火燒肉,cr3n,3,"['便當', '日式']",False,15.0,79.0,35.0,10.0,2.3093483259219854,189
20,味珍料理店,d2dj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,0.3493829595403591,3183
21,麥當勞 (S442 桃園桃鶯店),b7sx,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.4641707411265731,8541
22,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,0.9321783738780539,1185
23,餓霸三杯滷味 (桃園建國店),vk14,2,['小吃'],False,15.0,79.0,25.0,5.0,0.4643610818446135,1984
24,合十屋蛋包飯,y7zp,2,['日式'],False,15.0,79.0,25.0,5.0,0.40817665052250623,2880
25,三狼串烤 (桃園站前店),e088,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.7261666239605091,1066
26,金正好吃 (桃園延平店),s5xd,2,['小吃'],False,15.0,79.0,25.0,5.0,0.25274711609104955,2525
27,陽明鹹酥雞,h3yp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.8618736275394988,2266
28,珍煮丹 (桃園桃鶯店),srdy,2,['飲料'],False,15.0,79.0,25.0,5.0,0.5570401490360835,1798
29,鮮味量販店,x9xb,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.7409112096145254,1615
30,宏林鐵板燒 (桃園中華店),b4dj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,0.9469304656703681,2783
31,清心福全 (桃園建國店),e9vj,2,['飲料'],False,15.0,79.0,25.0,5.0,0.40148995287222866,2648
32,21PLUS、21風味館 (桃園遠百門市),z4fe,2,"['歐美', '炸雞']",True,15.0,79.0,30.0,10.0,0.7181323862400133,3679
33,娘娘雞排 (桃園中山殿),i6xz,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,1.2552248282704181,3556
34,永緣永和豆漿大王 (桃園桃鶯店),k6lr,2,['小吃'],False,15.0,79.0,25.0,5.0,0.4055714142248334,3078
35,廣記廣東粥烏龍麵店,p4ue,2,"['中式', '粥']",False,15.0,79.0,30.0,10.0,1.2718826881403316,3516
36,吳家紅茶冰 (桃園桃鶯店),g6tb,1,['飲料'],False,15.0,79.0,25.0,5.0,0.38469996630856573,1607
37,阿抖麵線&脆皮臭豆腐,l2qg,2,['小吃'],False,15.0,79.0,25.0,5.0,0.07634930535817656,1029
38,Pizza Hut必勝客 (桃園桃鶯店),z0rl,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.3765916532049975,2971
39,憶味遊便當,a0wr,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.9172802618071381,1457
40,大埔鐵板燒 (桃園建國店),n2j9,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,15.0,0.791717962265913,683
41,爭鮮迴轉壽司 (桃園店),v5b3,2,['日式'],False,15.0,79.0,30.0,10.0,0.8179710999849548,777
42,極品麻辣臭豆腐 (桃園中正店),d5uz,1,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,1.4513368687419514,3091
43,老客馥粥品專賣連鎖 (桃園桃鶯店),z9jy,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.5799595055642245,1458
44,鴨肉榮 (桃園中山店),q0df,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.294192315068267,4245
45,樵下豬排,v7w9,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,0.7366259401022923,154
46,飛飛鹹酥雞 (桃園桃鶯店),z0wg,2,"['小吃', '炸雞']",False,15.0,79.0,45.0,25.0,0.36575774005170203,4294
47,8鍋臭臭鍋 (桃園桃鶯店),y3gr,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.40907176865172296,4204
48,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,0.42457928449009613,1927
49,肯德基KFC炸雞漢堡店 (桃園桃鶯店),z8ay,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.3914502652207803,2807
50,胖老闆日式鍋燒麵 (桃園大豐店),y5lf,2,"['湯品', '麵食', '日式']",False,15.0,79.0,25.0,5.0,0.4050916918356025,1726
51,騷丼。我的心在顫抖 (桃園中正店),k5ov,2,"['便當', '日式']",True,15.0,79.0,30.0,5.0,2.0951227449713605,4248
52,爆Q美式炸雞 (龜山自強店),lv9s,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,2.1013340583098756,94
53,SBS叁丼,ixqp,2,['日式'],False,15.0,79.0,30.0,10.0,1.7172143515362766,222
54,Roman Kitchen羅馬廚房∥Go Kitchen,mlbr,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,0.2420221692970051,217
55,黑武藏壽司 (桃園中正店),y2em,2,['日式'],False,15.0,79.0,30.0,5.0,2.2740432733084717,2466
56,曼谷魚泰式料理,c5bm,2,"['咖哩', '東南亞']",False,15.0,79.0,30.0,10.0,0.24215534394467378,15
57,愛吃冰手作雪花冰,vr6x,2,['甜點'],False,15.0,79.0,30.0,5.0,2.327277974342603,49
58,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,1.6618933066317336,6
59,寒舍精緻鍋物,us1w,3,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,2.069123309976959,0
60,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,0.5938016318209708,1801
61,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,25.0,5.0,1.4158574069627137,2486
62,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,1.4500067824404137,169
63,點8號 星級名廚點心專賣店 (桃園遠百店),chf9,3,['港式'],False,15.0,79.0,50.0,30.0,0.7327918914762693,264
64,新梅龍鎮,o3kv,3,"['火鍋', '台式']",True,15.0,79.0,30.0,5.0,1.9335230136788262,981
65,仁聚牛肉麵店,v2mu,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,2.633772023016365,155
66,刺客炭火燒肉,cr3n,3,"['便當', '日式']",False,15.0,79.0,35.0,10.0,2.3093483259219854,189
67,味珍料理店,d2dj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,0.3493829595403591,3183
68,麥當勞 (S442 桃園桃鶯店),b7sx,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.4641707411265731,8541
69,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,0.9321783738780539,1185
70,餓霸三杯滷味 (桃園建國店),vk14,2,['小吃'],False,15.0,79.0,25.0,5.0,0.4643610818446135,1984
71,合十屋蛋包飯,y7zp,2,['日式'],False,15.0,79.0,25.0,5.0,0.40817665052250623,2880
72,三狼串烤 (桃園站前店),e088,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.7261666239605091,1066
73,金正好吃 (桃園延平店),s5xd,2,['小吃'],False,15.0,79.0,25.0,5.0,0.25274711609104955,2525
74,陽明鹹酥雞,h3yp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.8618736275394988,2266
75,珍煮丹 (桃園桃鶯店),srdy,2,['飲料'],False,15.0,79.0,25.0,5.0,0.5570401490360835,1798
76,鮮味量販店,x9xb,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.7409112096145254,1615
77,宏林鐵板燒 (桃園中華店),b4dj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,0.9469304656703681,2783
78,清心福全 (桃園建國店),e9vj,2,['飲料'],False,15.0,79.0,25.0,5.0,0.40148995287222866,2648
79,21PLUS、21風味館 (桃園遠百門市),z4fe,2,"['歐美', '炸雞']",True,15.0,79.0,30.0,10.0,0.7181323862400133,3679
80,娘娘雞排 (桃園中山殿),i6xz,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,1.2552248282704181,3556
81,永緣永和豆漿大王 (桃園桃鶯店),k6lr,2,['小吃'],False,15.0,79.0,25.0,5.0,0.4055714142248334,3078
82,廣記廣東粥烏龍麵店,p4ue,2,"['中式', '粥']",False,15.0,79.0,30.0,10.0,1.2718826881403316,3516
83,吳家紅茶冰 (桃園桃鶯店),g6tb,1,['飲料'],False,15.0,79.0,25.0,5.0,0.38469996630856573,1607
84,阿抖麵線&脆皮臭豆腐,l2qg,2,['小吃'],False,15.0,79.0,25.0,5.0,0.07634930535817656,1029
85,Pizza Hut必勝客 (桃園桃鶯店),z0rl,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.3765916532049975,2971
86,憶味遊便當,a0wr,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.9172802618071381,1457
87,大埔鐵板燒 (桃園建國店),n2j9,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,15.0,0.791717962265913,683
88,爭鮮迴轉壽司 (桃園店),v5b3,2,['日式'],False,15.0,79.0,30.0,10.0,0.8179710999849548,777
89,極品麻辣臭豆腐 (桃園中正店),d5uz,1,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,1.4513368687419514,3091
90,老客馥粥品專賣連鎖 (桃園桃鶯店),z9jy,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.5799595055642245,1458
91,鴨肉榮 (桃園中山店),q0df,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.294192315068267,4245
92,樵下豬排,v7w9,2,"['便當', '日式']",False,15.0,79.0,25.0,5.0,0.7366259401022923,154
93,飛飛鹹酥雞 (桃園桃鶯店),z0wg,2,"['小吃', '炸雞']",False,15.0,79.0,45.0,25.0,0.36575774005170203,4294
94,8鍋臭臭鍋 (桃園桃鶯店),y3gr,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.40907176865172296,4204
95,摩斯漢堡Mos Burger (桃園桃鶯店),f7cl,2,"['漢堡', '日式']",False,15.0,79.0,35.0,15.0,0.45667195144152883,4947
96,清心福全 (桃園中正店),a1hg,1,['飲料'],False,15.0,79.0,30.0,5.0,2.2276986375005463,4729
97,郁品豐鍋貼水餃麵食館 (桃園中山東店),e81c,2,"['湯品', '台式', '餃子']",False,15.0,79.0,30.0,5.0,1.3964333167277636,1071
98,潮味決．湯滷專門店 (桃園桃鶯分社),j4ko,2,['台式'],False,15.0,79.0,25.0,5.0,0.47050409038230306,1193
99,大苑子 (桃園桃鶯店),b1xk,2,['飲料'],False,15.0,79.0,25.0,5.0,0.40183632576068473,2325
