,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (中壢龍岡店),b6rt,2,"['披薩', '歐美']",False,15.0,79.0,35.0,10.0,1.0059669567816123,2936
1,中山鴨董店,k6fn,2,"['湯品', '麵食', '台式']",False,15.0,79.0,35.0,5.0,1.9845635037902394,3528
2,雞霸鹹水雞 麻辣燙（龍東店）,k3ji,2,['小吃'],False,15.0,79.0,30.0,5.0,1.1002562914183498,192
3,食一碗秋香的味道,rvpe,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.13670209010009685,337
4,楊家將過橋米干米線,emmv,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,1.1617635297815556,622
5,老食雞炸物(獨家蜜汁雞排),f0re,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,0.761080143552547,1141
6,葉姐的店,a4em,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,0.3287750927580288,1734
7,三狼串烤 (中壢龍東店),e2zc,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,0.7845441171455452,2061
8,幸福雲南米干,n15v,2,"['湯品', '麵食', '東南亞']",False,15.0,79.0,30.0,5.0,0.9540464526466714,2901
9,唐記米干 (中壢忠貞店),n0fn,2,"['中式', '湯品', '麵食']",False,15.0,79.0,35.0,5.0,1.123362387166028,4474
10,炒神快炒,ijqv,3,['台式'],False,15.0,79.0,30.0,5.0,0.10699373178093789,66
11,五桐號 WooTea (中壢龍崗店),e7g2,2,['飲料'],False,15.0,79.0,30.0,5.0,1.1255643403826745,182
12,哈牛堡牛排館 STEAK CASTLE,y0pw,2,"['歐美', '牛排']",False,15.0,79.0,30.0,5.0,0.6443999197121599,2191
13,豪大冰品,p9n1,1,['甜點'],False,15.0,79.0,30.0,5.0,0.8117903207260208,908
14,潮麻吉 (中壢龍東店),pakr,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,5.0,1.0905219641601775,1341
15,可不可熟成紅茶 (中壢龍岡店),ptlm,1,['飲料'],False,15.0,79.0,30.0,5.0,1.1129031157097868,885
16,大滷桶 (桃園中壢店),b4so,2,['小吃'],False,15.0,79.0,35.0,5.0,2.22898629553693,1978
17,萬波島嶼紅茶 (龍崗體育園區店),ir4m,2,['飲料'],False,15.0,79.0,30.0,5.0,0.49548133019627905,223
18,兆邑快炒,a2ox,2,['台式'],False,15.0,79.0,35.0,5.0,1.8720431518187635,3111
19,三媽臭臭鍋 (中壢實踐店),z7lm,2,"['火鍋', '台式']",False,15.0,79.0,45.0,15.0,1.833996016752812,7755
20,迷客夏 Milksha (桃園龍岡店),lme8,2,['飲料'],False,15.0,79.0,30.0,5.0,1.117218980422789,858
21,九湯屋日本拉麵 (桃園龍岡店),ckph,2,"['麵食', '日式']",False,15.0,79.0,30.0,5.0,1.0381381521716961,227
22,大埔鐵板燒 (中壢日新店),hy3m,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,5.0,2.0828355598989288,401
23,金正好吃 (桃園龍東店),n7dw,2,['小吃'],False,15.0,79.0,30.0,5.0,1.1048290871104727,2063
24,亞美豆漿 (中壢中山店),q4fq,2,['小吃'],False,15.0,79.0,35.0,5.0,1.8059520769563562,1730
25,粥大福 (中壢中山東店),vtig,2,"['麵食', '粥', '台式']",False,15.0,79.0,35.0,5.0,1.9463663702207226,278
26,CoCo都可 (中壢中山東店),v7tr,2,['飲料'],False,15.0,79.0,30.0,5.0,0.7875922845103397,175
27,傳丞大腸紅麵線 (中壢中山東路店),ru7w,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.86627721253751,65
28,蘇記大腸包小腸 (中壢龍東店),s23e,2,['小吃'],False,15.0,79.0,30.0,5.0,0.7291747503488764,84
29,東北水餃專賣店,mxuf,2,"['中式', '餃子']",False,15.0,79.0,35.0,10.0,0.8922108208110875,202
30,鮮茶道 (中壢龍東店),b9ob,2,['飲料'],False,15.0,79.0,30.0,5.0,1.1180180325522053,2024
