,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,雅真美食坊&雞排炸物,y6jo,2,"['便當', '台式', '炸雞']",False,15.0,79.0,30.0,5.0,2.0729489170140996,2661
1,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,1.0276065424830556,1927
2,肯德基KFC炸雞漢堡店 (桃園桃鶯店),z8ay,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.8056650140284871,2807
3,胖老闆日式鍋燒麵 (桃園大豐店),y5lf,2,"['湯品', '麵食', '日式']",False,15.0,79.0,25.0,5.0,0.4200907504723777,1726
4,黛黛茶 (桃園八德店),eedy,2,['飲料'],False,15.0,79.0,25.0,5.0,1.6588025196648923,159
5,SBS叁丼,ixqp,2,['日式'],False,15.0,79.0,30.0,10.0,1.5879739242146278,222
6,水手健康營養餐,muky,1,"['便當', '健康餐']",False,29.0,79.0,35.0,10.0,2.07803700971748,8
7,Roman Kitchen羅馬廚房∥Go Kitchen,mlbr,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.9603148304004171,217
8,曼谷魚泰式料理,c5bm,2,"['咖哩', '東南亞']",False,15.0,79.0,30.0,10.0,0.9605347051014755,15
9,饗食輕食營養餐,bime,2,"['便當', '健康餐']",False,29.0,79.0,30.0,10.0,2.0831346267929756,28
10,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,2.3636133002964503,6
11,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,1.2464581001896369,1801
12,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,2.0340509185406623,169
13,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,30.0,5.0,2.1320647647186814,2486
14,點8號 星級名廚點心專賣店 (桃園遠百店),chf9,3,['港式'],False,15.0,79.0,55.0,30.0,1.4512087982162425,264
15,刺客炭火燒肉,cr3n,3,"['便當', '日式']",False,15.0,79.0,35.0,10.0,1.8196017596612115,189
16,味珍料理店,d2dj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,0.6949266879591061,3183
17,麥當勞 (S442 桃園桃鶯店),b7sx,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,1.0915305096123777,8541
18,陽明鹹酥雞,h3yp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.7629299925107947,2266
19,鮮味量販店,x9xb,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.6174028984477883,1615
20,合十屋蛋包飯,y7zp,2,['日式'],False,15.0,79.0,25.0,5.0,0.7738295544752506,2880
21,餓霸三杯滷味 (桃園建國店),vk14,2,['小吃'],False,15.0,79.0,25.0,5.0,0.9659416629188569,1984
22,日春永和豆漿,b4zo,2,['小吃'],False,15.0,79.0,25.0,5.0,0.8137433881061165,3460
23,珍煮丹 (桃園桃鶯店),srdy,2,['飲料'],False,15.0,79.0,25.0,5.0,0.6308319429104147,1798
24,二醬軍香雞排,z5uf,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.2168688251488111,3025
25,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,5.0,1.6178829843581535,1185
26,清心福全 (桃園建國店),e9vj,2,['飲料'],False,15.0,79.0,25.0,5.0,0.7855369320860762,2648
27,金正好吃 (桃園延平店),s5xd,2,['小吃'],False,15.0,79.0,25.0,5.0,0.9703221079042589,2525
28,老客馥粥品專賣連鎖 (桃園桃鶯店),z9jy,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.6099849802085618,1458
29,永緣永和豆漿大王 (桃園桃鶯店),k6lr,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7659773335379565,3078
30,厚味茶理 (八德桃鶯店),t7rv,2,['飲料'],False,15.0,79.0,25.0,5.0,1.3151837103542456,415
31,宏林鐵板燒 (桃園中華店),b4dj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,1.6053716163842713,2783
32,50嵐 (鶯桃店),d0ke,2,['飲料'],False,15.0,79.0,25.0,5.0,1.1843845315186272,2702
33,21PLUS、21風味館 (桃園遠百門市),z4fe,2,"['歐美', '炸雞']",True,15.0,79.0,30.0,10.0,1.4365594477811063,3679
34,吳家紅茶冰 (桃園桃鶯店),g6tb,1,['飲料'],False,15.0,79.0,25.0,5.0,0.8973059324231125,1607
35,三狼串烤 (桃園站前店),e088,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.432211785637262,1066
36,大埔鐵板燒 (桃園建國店),n2j9,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,15.0,1.2100849681500876,683
37,豚將日本拉麵 (桃園桃鶯店),z0dm,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,1.4364969732007182,2603
38,摩斯漢堡Mos Burger (桃園桃鶯店),f7cl,2,"['漢堡', '日式']",False,15.0,79.0,35.0,15.0,0.7313289640763841,4947
39,潮味決．湯滷專門店 (桃園桃鶯分社),j4ko,2,['台式'],False,15.0,79.0,25.0,5.0,0.686411387294105,1193
40,廣記廣東粥烏龍麵店,p4ue,2,"['中式', '粥']",False,15.0,79.0,30.0,10.0,1.9881513574305762,3516
41,8鍋臭臭鍋 (桃園桃鶯店),y3gr,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.7716287587574062,4204
42,阿抖麵線&脆皮臭豆腐,l2qg,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7900664253725336,1029
43,飛飛鹹酥雞 (桃園桃鶯店),z0wg,2,"['小吃', '炸雞']",False,15.0,79.0,45.0,25.0,0.8692181104227426,4294
44,大苑子 (桃園桃鶯店),b1xk,2,['飲料'],False,15.0,79.0,25.0,5.0,0.779489258184427,2325
45,爭鮮迴轉壽司 (桃園店),v5b3,2,['日式'],False,15.0,79.0,30.0,10.0,1.5369601079083934,777
46,好叔叔現烤甜甜圈 (桃園桃鶯店),he2j,2,['甜點'],False,15.0,79.0,25.0,5.0,0.7340081796176073,768
47,極品麻辣臭豆腐 (桃園中正店),d5uz,1,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,2.1530905287981645,3091
48,八方雲集 (桃園桃鶯店),b8ro,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,1.0276065424830556,1927
49,肯德基KFC炸雞漢堡店 (桃園桃鶯店),z8ay,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,25.0,5.0,0.8056650140284871,2807
50,胖老闆日式鍋燒麵 (桃園大豐店),y5lf,2,"['湯品', '麵食', '日式']",False,15.0,79.0,25.0,5.0,0.4200907504723777,1726
51,黛黛茶 (桃園八德店),eedy,2,['飲料'],False,15.0,79.0,25.0,5.0,1.6588025196648923,159
52,SBS叁丼,ixqp,2,['日式'],False,15.0,79.0,30.0,10.0,1.5879739242146278,222
53,水手健康營養餐,muky,1,"['便當', '健康餐']",False,29.0,79.0,35.0,10.0,2.07803700971748,8
54,Roman Kitchen羅馬廚房∥Go Kitchen,mlbr,2,"['歐美', '麵食']",False,15.0,79.0,35.0,15.0,0.9603148304004171,217
55,曼谷魚泰式料理,c5bm,2,"['咖哩', '東南亞']",False,15.0,79.0,30.0,10.0,0.9605347051014755,15
56,饗食輕食營養餐,bime,2,"['便當', '健康餐']",False,29.0,79.0,30.0,10.0,2.0831346267929756,28
57,楊老爺滷味,pncs,2,['小吃'],False,15.0,79.0,30.0,5.0,2.3636133002964503,6
58,越南法國麵包工藝 (總店),i6mo,2,['東南亞'],True,15.0,79.0,25.0,5.0,1.2464581001896369,1801
59,拉麵吧 (桃園育樂店),o1v6,2,"['麵食', '日式']",False,15.0,79.0,30.0,10.0,2.0340509185406623,169
60,榕樹下綿綿冰旗艦總店,y9lg,1,['甜點'],False,15.0,79.0,30.0,5.0,2.1320647647186814,2486
61,點8號 星級名廚點心專賣店 (桃園遠百店),chf9,3,['港式'],False,15.0,79.0,55.0,30.0,1.4512087982162425,264
62,刺客炭火燒肉,cr3n,3,"['便當', '日式']",False,15.0,79.0,35.0,10.0,1.8196017596612115,189
63,味珍料理店,d2dj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,0.6949266879591061,3183
64,麥當勞 (S442 桃園桃鶯店),b7sx,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,1.0915305096123777,8541
65,陽明鹹酥雞,h3yp,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.7629299925107947,2266
66,鮮味量販店,x9xb,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,0.6174028984477883,1615
67,合十屋蛋包飯,y7zp,2,['日式'],False,15.0,79.0,25.0,5.0,0.7738295544752506,2880
68,餓霸三杯滷味 (桃園建國店),vk14,2,['小吃'],False,15.0,79.0,25.0,5.0,0.9659416629188569,1984
69,日春永和豆漿,b4zo,2,['小吃'],False,15.0,79.0,25.0,5.0,0.8137433881061165,3460
70,珍煮丹 (桃園桃鶯店),srdy,2,['飲料'],False,15.0,79.0,25.0,5.0,0.6308319429104147,1798
71,二醬軍香雞排,z5uf,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.2168688251488111,3025
72,Burger King 漢堡王 (桃園中華店),z861,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,5.0,1.6178829843581535,1185
73,清心福全 (桃園建國店),e9vj,2,['飲料'],False,15.0,79.0,25.0,5.0,0.7855369320860762,2648
74,金正好吃 (桃園延平店),s5xd,2,['小吃'],False,15.0,79.0,25.0,5.0,0.9703221079042589,2525
75,老客馥粥品專賣連鎖 (桃園桃鶯店),z9jy,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,0.6099849802085618,1458
76,永緣永和豆漿大王 (桃園桃鶯店),k6lr,2,['小吃'],False,15.0,79.0,25.0,5.0,0.7659773335379565,3078
77,厚味茶理 (八德桃鶯店),t7rv,2,['飲料'],False,15.0,79.0,25.0,5.0,1.3151837103542456,415
78,宏林鐵板燒 (桃園中華店),b4dj,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,1.6053716163842713,2783
79,50嵐 (鶯桃店),d0ke,2,['飲料'],False,15.0,79.0,25.0,5.0,1.1843845315186272,2702
80,21PLUS、21風味館 (桃園遠百門市),z4fe,2,"['歐美', '炸雞']",True,15.0,79.0,30.0,10.0,1.4365594477811063,3679
81,吳家紅茶冰 (桃園桃鶯店),g6tb,1,['飲料'],False,15.0,79.0,25.0,5.0,0.8973059324231125,1607
82,三狼串烤 (桃園站前店),e088,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,1.432211785637262,1066
83,大埔鐵板燒 (桃園建國店),n2j9,2,"['鐵板燒', '台式']",False,15.0,79.0,35.0,15.0,1.2100849681500876,683
84,豚將日本拉麵 (桃園桃鶯店),z0dm,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,1.4364969732007182,2603
85,摩斯漢堡Mos Burger (桃園桃鶯店),f7cl,2,"['漢堡', '日式']",False,15.0,79.0,35.0,15.0,0.7313289640763841,4947
86,潮味決．湯滷專門店 (桃園桃鶯分社),j4ko,2,['台式'],False,15.0,79.0,25.0,5.0,0.686411387294105,1193
