,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,八方雲集 (桃園新中北店),b3wf,2,"['台式', '餃子']",False,15.0,79.0,35.0,10.0,1.7558355591191965,974
1,胖老爹美式炸雞 (內壢中華店),z2km,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,5.0,0.6190479903425028,4854
2,胖老爹美式炸雞 (中壢環中東店),y0qw,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,15.0,0.9085543648308673,1135
3,Pasta Hut義大利麵 (內壢中園店),vwul,2,"['歐美', '麵食']",False,15.0,79.0,40.0,10.0,1.5858158630211276,44
4,四海遊龍 (桃園內壢店),d7lm,2,"['台式', '餃子']",False,15.0,79.0,35.0,5.0,1.016320260948239,2257
5,萬波島嶼紅茶 (內壢後站店),aigs,2,['飲料'],False,15.0,79.0,30.0,5.0,0.6317150064071791,425
6,七盞茶 (內壢站前店),zxpn,2,['飲料'],False,15.0,79.0,30.0,5.0,0.718834160005269,27
7,斯朵利咖啡&義式料理 (中壢忠孝店),uzi8,2,"['咖啡', '歐美']",False,15.0,79.0,35.0,10.0,0.8403734141013581,252
8,康青龍 (桃園內壢興農店),z6io,2,['飲料'],False,15.0,79.0,30.0,5.0,0.8213853880387398,2978
9,LAG累擱鮮奶茶 (桃園內壢店),e1zg,2,['飲料'],False,15.0,79.0,30.0,5.0,0.6549187396595476,1715
10,唐老鴨牛排 (桃園內壢店),otz9,2,"['歐美', '牛排']",False,15.0,79.0,35.0,5.0,1.706695774058104,86
11,和也串燒專賣店 (中壢莊敬店),jzee,2,['小吃'],False,15.0,79.0,35.0,15.0,0.5168155942810496,223
12,樂食煮義,tk6j,2,['台式'],False,15.0,79.0,35.0,10.0,1.24041319075418,12
13,平價水餃麵食館,z1tq,2,"['湯品', '台式', '餃子']",False,15.0,79.0,35.0,5.0,1.6932129336343558,6475
14,麥當勞 (S381 內壢家樂福店),a1bl,2,"['漢堡', '歐美']",False,15.0,79.0,35.0,10.0,0.4955221162186907,11958
15,21PLUS、21風味館 (內壢家樂福門市),z3zl,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,5.0,0.594794094054546,4550
16,肯德基KFC炸雞漢堡店 (中壢環中東店),z6xo,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,30.0,5.0,0.7223044013377636,3819
17,白鬍子厚切牛排 (中壢長春店),r0oa,2,"['台式', '牛排']",False,15.0,79.0,30.0,5.0,1.1941133025994592,2742
18,2派克脆皮雞排 (內壢後站店),mh83,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,0.5624257506950587,333
19,木雞雞肉飯專門店,vhxi,2,"['便當', '台式']",False,15.0,79.0,30.0,5.0,0.6554440262671641,600
20,廟口小吃,b7fz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,0.9342901238598915,4118
21,香集市台灣鹽酥雞,x8qy,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,5.0,0.7374767171853888,1687
22,五桐號 WooTea (內壢忠孝店),fswx,2,['飲料'],False,15.0,79.0,30.0,5.0,0.8172121519509641,104
23,大埔鐵板燒 (中壢環東店),sxwx,2,"['鐵板燒', '台式']",False,15.0,79.0,30.0,5.0,0.8720764821567284,219
24,鴨殿 (內壢仁愛店),b100,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.6633064249145073,95
25,嚐嚐九九 (桃園中壢店),z5ty,3,['台式'],False,15.0,79.0,45.0,20.0,1.199163703559531,4812
26,(極)黃燜雞米飯 (中壢文化店),th8j,2,['中式'],False,15.0,79.0,30.0,5.0,1.2144280243332983,269
27,ENTER入飲 (內壢莊敬店),dwxu,2,['飲料'],False,15.0,79.0,30.0,5.0,0.514480401807303,173
28,台北永和豆漿 (桃園內壢店),u7kk,1,['小吃'],False,15.0,79.0,35.0,5.0,1.3535334412316322,3741
29,中原碳烤,d2gj,2,['小吃'],False,15.0,79.0,35.0,10.0,1.6163536207581806,921
30,摩斯漢堡Mos Burger (內壢環東店),y7vt,2,"['漢堡', '日式']",False,15.0,79.0,40.0,15.0,0.7365711339474271,5613
31,清心福全 (中壢榮民店),d6ny,2,['飲料'],False,15.0,79.0,30.0,5.0,0.9056376528060145,2546
32,香香蛋炒飯 (桃園中壢店),wwch,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,1.701352438497994,302
33,九湯屋日式拉麵 (桃園內壢店),a0xg,2,"['麵食', '日式']",False,15.0,79.0,30.0,5.0,0.8917343186846164,1448
34,貓寶涼麵,g6gu,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,1.1538217887601854,1385
35,九條牛牛肉麵 (桃園強國店),dwy0,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.7969088855988143,363
36,津鍋健康鍋 (中壢莊敬店),a0vp,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,0.5680788225273012,1766
37,御品香炸烤店（內壢忠孝店）,i91d,2,['小吃'],False,15.0,79.0,35.0,10.0,0.8642949153595805,473
38,魔法 Do Re 咪,wve8,2,"['咖哩', '異國']",False,15.0,79.0,35.0,5.0,1.3570239605090895,907
39,兆邑快炒,a2ox,2,['台式'],False,15.0,79.0,35.0,5.0,1.8487896021969124,3111
40,富林漢堡 (中壢中園店),z4lr,2,"['早餐', '台式']",False,15.0,79.0,35.0,5.0,1.5862842092055696,3546
41,日出茶太 (內壢莊敬店),f1iy,2,['飲料'],False,15.0,79.0,30.0,5.0,0.611424570139207,1397
42,岩一拉麵,y5zk,2,"['麵食', '日式']",False,15.0,79.0,40.0,10.0,1.3239489510262252,2465
43,萬華麻油雞 (內壢忠孝路店),vo0d,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,1.0950173663506049,1681
