,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥味登 (澎湖石泉店),d7ky,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.6348833468092274,6152
1,石泉火雞肉飯,g0wv,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,3.63312684267347,957
2,回憶小時候紅茶冰,kajz,1,['飲料'],False,19.0,79.0,40.0,15.0,3.4548202212023935,50
3,京蒲和食,dv9v,2,"['便當', '日式']",False,9.0,79.0,40.0,15.0,5.47465845303777,794
4,老餅新料蔥油餅,mo79,1,['小吃'],False,9.0,79.0,40.0,15.0,5.607700907450476,253
5,澎湖鮮雅圖手抓海鮮美食,z3l0,2,"['歐美', '麵食', '炸雞']",False,19.0,79.0,40.0,15.0,0.5253428343586403,0
6,石泉火雞肉飯,g0wv,2,"['湯品', '便當', '台式']",False,9.0,79.0,40.0,15.0,3.63312684267347,957
7,回憶小時候紅茶冰,kajz,1,['飲料'],False,19.0,79.0,40.0,15.0,3.4548202212023935,50
8,京蒲和食,dv9v,2,"['便當', '日式']",False,9.0,79.0,40.0,15.0,5.47465845303777,794
9,老餅新料蔥油餅,mo79,1,['小吃'],False,9.0,79.0,40.0,15.0,5.607700907450476,253
10,澎湖鮮雅圖手抓海鮮美食,z3l0,2,"['歐美', '麵食', '炸雞']",False,19.0,79.0,40.0,15.0,0.5253428343586403,0
