,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,一心二葉 (澎湖馬公店),l4vu,2,"['麵食', '台式']",False,9.0,79.0,30.0,25.0,1.6658118437795033,1163
1,檸檬甘草芭樂 (澎湖馬公店),eobc,1,['甜點'],False,9.0,79.0,15.0,5.0,1.8208433076335002,97
2,TEAPRO茶專茶飲 (澎湖馬公店),whyf,1,['飲料'],False,9.0,79.0,20.0,10.0,1.3860967942768974,460
3,ㄚ咘 の甜蜜食堂,p6ns,2,"['湯品', '麵食', '台式']",True,9.0,79.0,25.0,20.0,1.461063537765328,854
4,馬路益燒肉飯,e8ws,2,"['湯品', '便當', '台式']",False,19.0,79.0,30.0,20.0,1.8264364743156811,2297
5,隆福海鮮餐廳,af6k,3,['台式'],False,19.0,79.0,20.0,10.0,2.0021613728040277,63
6,朝食早午餐、宵夜,d7rn,2,['歐美'],False,19.0,79.0,10.0,5.0,0.16978455610967133,27
7,九湯屋日式拉麵 (澎湖店),d9pz,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.285432585612635,1278
8,澎湖昇冠雞排鹹酥雞店,olri,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,0.3230547351588102,83
9,明哥美式炸雞,pcr2,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.6498411189166081,29
10,峰鮮宴,xgbn,2,['台式'],False,19.0,79.0,10.0,10.0,0.10248518572874483,52
11,港記廣東粥鍋燒麵 (澎湖馬公店),nr8w,1,"['中式', '麵食', '粥']",False,9.0,79.0,15.0,5.0,1.3908223800476625,263
12,川牛木石亭 (澎湖店),u5gj,2,"['便當', '日式']",False,19.0,79.0,20.0,10.0,1.2719165123245482,1220
13,3Q脆皮雞排 (澎湖馬公店),j5iz,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.6549705646484834,591
14,雞排本色 (澎湖馬公店),gh00,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,15.0,1.7314643466149033,168
15,滿福堂擔仔麵,podv,1,"['湯品', '台式']",False,9.0,79.0,20.0,15.0,1.469112544970975,231
16,納豆手作大餛飩,toel,1,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,1.5889520513337645,132
17,台北江麻辣臭豆腐專賣舖 (澎湖安靚店),k7yg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.3128222841002266,893
18,天津(包料)蔥抓餅,k7fg,1,"['小吃', '餃子']",False,19.0,79.0,15.0,10.0,1.1601632373514799,327
19,可不可熟成紅茶 (澎湖馬公店),sbie,1,['飲料'],False,19.0,79.0,15.0,5.0,1.5574630250926642,698
20,鮮茶道 (馬公光復店),e7qd,1,['飲料'],False,9.0,79.0,15.0,5.0,1.5081841734521737,1184
21,T4清茶達人(澎湖馬公店),p0su,1,['飲料'],False,19.0,79.0,15.0,5.0,1.5913890115200207,610
22,清心海鮮粥店,pkfo,2,"['粥', '台式']",False,9.0,79.0,15.0,10.0,1.5187453354475307,133
23,摩斯漢堡Mos Burger (澎湖店),d7so,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,1.8418391100435252,2463
24,脆皮烤雞翅,xu7d,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.9527743117529812,113
25,珍煮丹 (澎湖馬公店),ddyc,1,['飲料'],False,9.0,79.0,15.0,5.0,1.8156205039282283,696
26,辣極麻辣燙 (澎湖馬公店),h3eq,2,['小吃'],False,9.0,79.0,15.0,10.0,1.663356779678892,275
27,CHUJU雛菊餐桌 (澎湖店),i9wp,3,['歐美'],False,9.0,79.0,15.0,10.0,1.7345503440779504,196
28,圓石禪飲 (澎湖海埔店),b73h,2,['飲料'],False,9.0,79.0,15.0,5.0,1.3998920316887251,649
29,壹咖啡 (澎湖馬公店),l2dd,1,"['甜點', '咖啡']",False,19.0,79.0,15.0,5.0,1.8375995125869895,838
30,萬波島嶼紅茶 (澎湖馬公店),t9pm,1,['飲料'],False,19.0,79.0,15.0,5.0,1.8532620424327642,212
31,倍果蔬食章魚燒,wf6f,1,['小吃'],False,19.0,79.0,15.0,10.0,1.4988958184079428,13
32,味真香新港鴨肉羹 酥皮臭豆腐,bdmq,1,"['麵食', '台式']",False,19.0,79.0,25.0,20.0,1.4918457014541322,768
33,達美樂 (澎湖馬公店),l7sn,3,"['披薩', '歐美']",False,30.0,199.0,30.0,25.0,0.2057171810720608,689
34,郭家炒滷味,t0xt,2,"['湯品', '小吃']",False,9.0,79.0,15.0,5.0,1.729624866281911,491
35,澎湖湯包王,f9kb,2,['中式'],False,9.0,79.0,15.0,5.0,1.5074616450878195,223
36,五年二班,k5r3,2,"['麵食', '台式']",False,19.0,79.0,15.0,10.0,1.6370498455611509,224
37,鼎煌一鍋一燒麻辣鍋,th06,2,"['火鍋', '台式']",False,9.0,79.0,25.0,15.0,1.9450476031487511,570
38,春陽茶事 (澎湖馬公店),n9hc,1,['飲料'],False,9.0,79.0,15.0,5.0,1.8218878018714724,807
39,達咖啡,l91g,2,"['咖啡', '蛋糕', '歐美']",False,9.0,79.0,15.0,10.0,1.6294122231836383,226
40,岩田丼屋,d5mg,2,"['便當', '日式']",False,19.0,79.0,20.0,10.0,1.7564748468094697,272
41,海公公鴛鴦火鍋,hu7m,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.507312086242662,78
42,寶島紅茶冰 (澎湖馬公店),aree,1,['飲料'],False,19.0,79.0,15.0,5.0,1.834866499509446,3
43,9458韓式烤肉店,ns1f,2,['韓式'],False,9.0,79.0,20.0,15.0,1.3656666115703744,10
44,啤酒海食尚熱炒店 (澎湖總店),m7eu,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,1.8606455066876406,311
45,邁泰泰式奶茶,wjen,1,['東南亞'],False,19.0,79.0,15.0,5.0,1.9636317163577868,29
46,軍茶 (澎湖文山店),nwek,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6459875557583904,42
47,STARBUCKS 星巴克 (澎湖喜來登門市),h7bj,2,"['歐美', '飲料']",False,9.0,79.0,10.0,5.0,0.8391656144199994,868
48,檸檬甘草芭樂 (澎湖馬公店),eobc,1,['甜點'],False,9.0,79.0,15.0,5.0,1.8208433076335002,97
49,TEAPRO茶專茶飲 (澎湖馬公店),whyf,1,['飲料'],False,9.0,79.0,20.0,10.0,1.3860967942768974,460
50,ㄚ咘 の甜蜜食堂,p6ns,2,"['湯品', '麵食', '台式']",True,9.0,79.0,25.0,20.0,1.461063537765328,854
51,馬路益燒肉飯,e8ws,2,"['湯品', '便當', '台式']",False,19.0,79.0,30.0,20.0,1.8264364743156811,2297
52,隆福海鮮餐廳,af6k,3,['台式'],False,19.0,79.0,20.0,10.0,2.0021613728040277,63
53,朝食早午餐、宵夜,d7rn,2,['歐美'],False,19.0,79.0,10.0,5.0,0.16978455610967133,27
54,九湯屋日式拉麵 (澎湖店),d9pz,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.285432585612635,1278
55,澎湖昇冠雞排鹹酥雞店,olri,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,0.3230547351588102,83
56,明哥美式炸雞,pcr2,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.6498411189166081,29
57,峰鮮宴,xgbn,2,['台式'],False,19.0,79.0,10.0,10.0,0.10248518572874483,52
58,港記廣東粥鍋燒麵 (澎湖馬公店),nr8w,1,"['中式', '麵食', '粥']",False,9.0,79.0,15.0,5.0,1.3908223800476625,263
59,川牛木石亭 (澎湖店),u5gj,2,"['便當', '日式']",False,19.0,79.0,20.0,10.0,1.2719165123245482,1220
60,3Q脆皮雞排 (澎湖馬公店),j5iz,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.6549705646484834,591
61,雞排本色 (澎湖馬公店),gh00,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,15.0,1.7314643466149033,168
62,滿福堂擔仔麵,podv,1,"['湯品', '台式']",False,9.0,79.0,20.0,15.0,1.469112544970975,231
63,納豆手作大餛飩,toel,1,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,1.5889520513337645,132
64,台北江麻辣臭豆腐專賣舖 (澎湖安靚店),k7yg,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,1.3128222841002266,893
65,天津(包料)蔥抓餅,k7fg,1,"['小吃', '餃子']",False,19.0,79.0,15.0,10.0,1.1601632373514799,327
66,可不可熟成紅茶 (澎湖馬公店),sbie,1,['飲料'],False,19.0,79.0,15.0,5.0,1.5574630250926642,698
