,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,HOME28咖哩 (台中北平店),i3xh,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,2.381576908158842,2926
1,鴨王鴨肉飯 (台中經貿店),p6fz,2,"['湯品', '台式']",False,15.0,79.0,30.0,10.0,2.6422910250498592,1967
2,閤舺堾燉飯、炒泡麵,oqll,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.458281725094243,515
3,三媽臭臭鍋 (台中松竹店),a6as,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.2303860805550881,5670
4,食神廣東粥 (北屯興安店),b8ca,2,"['中式', '湯品', '粥']",False,15.0,79.0,25.0,10.0,2.5231328853418997,1924
5,黃G紅炸雞 (台中北平店),axue,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,2.567330265639364,269
6,多情人日式咖喱,mkpq,2,"['咖哩', '日式']",False,15.0,79.0,30.0,5.0,3.667246338659921,584
7,大呼過癮 (台中健行店),y9kx,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.7736745292841305,1393
8,曲肯叔叔美式炸雞-台中三民店,y0nt,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.9257566424389623,2031
9,桶江軍滷味 (台中北平店),pi50,2,['小吃'],False,15.0,79.0,25.0,10.0,2.57643636713043,224
10,頂呱呱TKK (台中學士店),vpss,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,5.0,3.4486668812883075,517
11,森森燒肉 (台中洲際店),iwd9,2,['日式'],False,15.0,79.0,30.0,15.0,0.5164464140424686,82
12,丸勝咖哩,eulz,2,"['咖哩', '日式']",False,15.0,79.0,35.0,10.0,4.6952021337952745,1970
13,森川丼丼梅亭橫町,a3ml,3,['日式'],False,15.0,79.0,30.0,5.0,3.5671985073756307,1300
14,麻辣火少爺 (台中漢口店),g2xg,2,"['火鍋', '台式']",False,15.0,79.0,45.0,25.0,3.2765581422300634,389
15,麗媽四季鍋 (台中漢口店),as02,2,"['火鍋', '台式']",False,15.0,79.0,45.0,20.0,4.293070749735951,130
16,默爾意大利餐廳,vjjy,3,"['披薩', '歐美', '麵食']",False,15.0,79.0,50.0,30.0,2.0705942983657297,11
17,食藝石頭火鍋 (台中水湳店),bdxr,3,"['火鍋', '台式']",False,15.0,79.0,45.0,30.0,2.291908097097754,5
18,鍋泰山小鍋物南洋風專賣店 (台中崇德店),m08l,3,"['火鍋', '東南亞']",False,15.0,79.0,30.0,10.0,2.9430233670590864,110
19,馬岡豆花 (台中九路店),i35t,2,['甜點'],False,15.0,79.0,25.0,10.0,0.6164518154266732,87
20,水舞饌茶餐廳,z3ee,2,['港式'],False,15.0,79.0,25.0,5.0,2.4512428427792865,563
21,老喬冰菓室,noy0,2,['甜點'],False,15.0,79.0,25.0,10.0,1.5731598142501892,44
22,牛比蔥壽喜燒鍋物專門店 (台中崇德店),oif3,2,"['火鍋', '日式']",False,15.0,79.0,25.0,10.0,1.228712333420938,32
23,JT燉飯,snpe,2,['歐美'],False,15.0,79.0,35.0,10.0,4.686274082290475,1432
24,綠蓋茶館 (台中健行店),v5q3,2,['小吃'],False,15.0,79.0,30.0,5.0,3.701219135075594,36
25,50嵐 (台中四張犁店),b1aa,2,['飲料'],False,15.0,79.0,20.0,5.0,0.4356519256487267,2532
26,麥當勞 (S314 台中崇德二店),z4ii,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.5387224962207223,6224
27,珍豐味 冬粉鴨 爌肉飯 赤肉羹,r5xi,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.3048320974856153,1543
28,玩麵PASTA (台中北平店),mu3p,2,"['歐美', '麵食']",False,15.0,79.0,25.0,5.0,2.4978985386940153,3560
29,Louisa 路易莎 (台中崇德店),yo5x,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,20.0,5.0,0.5772585789143779,611
30,老魚牛肉麵,euav,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.5912311135525893,155
31,招牌鮮魚湯,a8q6,2,"['湯品', '粥', '台式']",False,15.0,79.0,25.0,5.0,2.457722416300949,967
