,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台中潭子店),z7xg,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,0.9733689180034198,2711
1,3鼎紅麻辣鴨血臭豆腐 (台中潭子店),ffdx,1,['台式'],False,15.0,79.0,20.0,5.0,1.0251446558300037,136
2,元氣當歸鴨 (台中南陽店),pae3,2,"['湯品', '台式']",False,15.0,79.0,40.0,20.0,4.037564189447333,1210
3,三媽臭臭鍋 (台中松竹店),a6as,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.6789381039007614,5670
4,四海遊龍 (台中北屯店),y0zo,2,"['台式', '餃子']",False,15.0,79.0,30.0,10.0,4.8249797257189595,4116
5,原鄉人甘草芭樂 (台中潭子店),jd1t,2,['甜點'],False,15.0,79.0,20.0,5.0,1.0755070102746265,21
6,水巷茶弄 (台中潭子店),d8az,2,['飲料'],False,15.0,79.0,20.0,5.0,0.9687734529484682,2189
7,喫茶小舖 (台中頭張店),e5qv,1,['飲料'],True,15.0,79.0,25.0,5.0,2.304991443373884,551
8,江湖客棧海鮮粥,wbat,2,"['粥', '台式']",False,15.0,79.0,25.0,5.0,3.2407307405161925,142
9,森森燒肉 (台中洲際店),iwd9,2,['日式'],False,15.0,79.0,40.0,15.0,3.5907674145601525,82
10,大明邱鴨頭,q0vo,2,['小吃'],True,15.0,79.0,30.0,10.0,3.0100660279324165,487
11,普羅咖啡館,axt2,2,"['便當', '台式']",False,15.0,79.0,30.0,5.0,3.858389627211952,183
12,老喬冰菓室,noy0,2,['甜點'],False,15.0,79.0,30.0,10.0,3.8805464841957575,44
13,大埔鐵板燒 (台中潭子店),b1ss,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.4864079330705953,3502
14,麥當勞 (S270 潭子中山店),a0zy,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.4829518141183503,9886
