,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台中后里店),z1kn,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,0.7422310706207425,2372
1,ㄚ蓉冰店,r0lo,2,['甜點'],False,15.0,79.0,20.0,5.0,0.8090575269211153,318
2,二鍋頭東山鴨頭 (台中后里店),t5fm,2,['小吃'],False,9.0,79.0,30.0,15.0,1.948284752915599,718
3,元氣當歸鴨 (台中后里店),g0ic,2,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,0.8012335339733486,1683
4,50嵐 (后里甲后店),zp11,2,['飲料'],True,9.0,79.0,20.0,5.0,0.6407388686239857,1621
5,麥當勞 (S538 后里甲后店),fkj6,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,1.946277011457249,522
6,三媽臭臭鍋 (台中后里店),k8ns,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,0.5109162655630419,2090
7,胖老爹美式炸雞 (台中后里店),e5bs,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.7333679600505655,3163
8,雞大爺炸食 (台中后里店),o9gb,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,1.067082605546754,1131
9,后里湯餃,i9xw,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,10.0,0.9042545726359007,1137
10,清心福全 (后里甲后店),sa3m,2,['飲料'],False,9.0,79.0,20.0,5.0,0.8171028073199291,706
11,可不可熟成紅茶 (台中后里店),wlhd,1,['飲料'],False,9.0,79.0,20.0,5.0,0.6441669257983846,884
12,蔡家火雞肉飯（台中甲后店）,zu3q,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.919459434240304,1455
13,腸旺麵線蚵仔煎,vg1p,1,['小吃'],False,9.0,79.0,20.0,5.0,0.7315806438445355,564
14,大碗公冰·甜品 (台中后里店),g9ha,2,['甜點'],False,9.0,79.0,20.0,10.0,0.594091112621754,1374
15,就要醬滷 (台中后里店),sceu,2,['小吃'],False,15.0,79.0,25.0,10.0,0.8247555532497103,135
16,乖乖鍋燒麵 (台中后里店),g4zz,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.9883320869499441,1229
17,白巷子 (后里甲后店),vkht,2,['飲料'],False,15.0,79.0,20.0,5.0,1.014967952457849,40
18,85度C (后里甲后店),d3wp,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,0.7666734852526056,1189
19,大苑子 (后里店),ui42,2,['飲料'],False,9.0,79.0,20.0,5.0,0.6822528421374664,738
20,七嘴八舌 (台中后里店),bh54,2,['小吃'],False,9.0,79.0,20.0,5.0,0.5898758609282485,77
21,龜記茗品 (台中后里店),s2ie,2,['飲料'],False,9.0,79.0,20.0,5.0,0.836849295029547,271
22,戰鬥雞-油雞/醉雞 輕食 (台中后里店),bubx,2,['小吃'],False,15.0,79.0,20.0,5.0,0.6255203698257686,28
23,小佐お茶作 (台中后里店),imuk,2,['飲料'],False,15.0,79.0,20.0,5.0,0.9200926752206368,116
24,六扇門 (台中后里店),d6mm,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,0.7093723371883497,2159
25,雙醬咖哩 (后里甲后店),f1hu,2,"['咖哩', '日式']",False,9.0,79.0,20.0,10.0,0.6097432308699958,2073
26,喫茶小舖 (后里甲后店),e2nt,2,['飲料'],False,15.0,79.0,20.0,5.0,0.8798432331899226,1404
27,料亭日本料理,cfl4,2,['日式'],False,15.0,79.0,20.0,5.0,0.2914671745573633,51
28,打鐵豆花 (台中后里店),wp0a,2,['甜點'],False,15.0,79.0,25.0,10.0,0.7590488094102338,125
29,食神滷味 (台中后里店),k3v1,2,['小吃'],False,9.0,79.0,20.0,5.0,0.6149223966618014,151
30,九條牛牛肉麵 (台中后里店)​,d5ff,2,"['麵食', '台式']",False,9.0,79.0,25.0,15.0,0.5773504194375295,933
