,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,55.0,35.0,3.09361643357051,7292
1,肯德基KFC炸雞漢堡店 (台中站前店),z7bk,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,20.0,5.0,1.6897238906126248,2196
2,鴨王鴨肉飯 (台中一中店),zvzj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.647822366032038,3456
3,餓 平價鐵板燒-民權店,a7em,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,2.464456852371842,3210
4,灰房子義式餐廳,e4tl,2,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,1.003104211938481,1037
5,築也日本料理 (台中進化店),y6ib,2,['日式'],False,15.0,79.0,20.0,10.0,0.870263082919153,2128
6,食神廣東粥 (北屯興安店),b8ca,2,"['中式', '湯品', '粥']",False,15.0,79.0,25.0,10.0,2.2022038492236926,1924
7,春陽茶事 (台中一中店),q2dn,2,['飲料'],False,15.0,79.0,20.0,5.0,0.8176529810472546,664
8,多情人日式咖喱,mkpq,2,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,1.5399380097371207,584
9,坤記噴泉港式牛雜,s5lb,2,['港式'],False,15.0,79.0,20.0,5.0,0.6722618401638369,118
10,頂呱呱TKK (台中學士店),vpss,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.7906039814756436,517
11,上和園滷味,yqr5,2,['小吃'],False,15.0,79.0,20.0,5.0,0.908604698356726,8
12,信川屋博多豚骨拉麵店,jbvp,2,"['麵食', '日式']",False,15.0,79.0,35.0,15.0,3.2153683936456416,10
13,一葉知秋汕頭極緻小火鍋 (台中雙十店),tx5l,3,"['中式', '火鍋']",False,15.0,79.0,45.0,30.0,0.8961414579901746,55
14,拾鑶鍋物 (台中太平店),atqt,3,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.899734375645083,0
15,丸勝咖哩,eulz,2,"['咖哩', '日式']",False,15.0,79.0,25.0,10.0,0.869829296312138,1970
16,十二月粥品茶飲私房茶,y5dg,3,"['中式', '粥']",True,15.0,79.0,25.0,10.0,1.2048259134209178,796
17,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,2.5158467287423467,1087
18,豐仁冰創始店 (台中雙十總店),bfbd,1,['甜點'],False,15.0,79.0,25.0,10.0,0.5785466992144764,647
19,森川丼丼梅亭橫町,a3ml,3,['日式'],False,15.0,79.0,20.0,5.0,1.520581593162611,1300
20,蘇坤蔚牛排,i7b2,2,"['台式', '牛排']",False,15.0,79.0,30.0,15.0,0.8705645582105768,268
21,牛比蔥壽喜燒鍋物專門店 (台中漢口店),xhbs,2,"['火鍋', '日式']",False,15.0,79.0,35.0,20.0,2.0533390619835936,59
22,麻辣火少爺 (台中漢口店),g2xg,2,"['火鍋', '台式']",False,15.0,79.0,45.0,25.0,3.0187123757758,389
23,KATZ 卡司韓藝料理 (大魯閣新時代店),dx4c,3,"['韓式', '炸雞']",False,15.0,79.0,45.0,25.0,1.724442411387773,379
24,麗媽四季鍋 (台中漢口店),as02,2,"['火鍋', '台式']",False,15.0,79.0,45.0,20.0,3.870465829066072,130
25,森森燒肉 (台中洲際店),iwd9,2,['日式'],False,15.0,79.0,40.0,15.0,4.1581178039136955,82
26,默爾意大利餐廳,vjjy,3,"['披薩', '歐美', '麵食']",False,15.0,79.0,50.0,30.0,2.6180224539252483,11
27,鍋泰山小鍋物南洋風專賣店 (台中崇德店),m08l,3,"['火鍋', '東南亞']",False,15.0,79.0,25.0,10.0,1.894226543189105,110
28,大阪拓海家拉麵,ceew,2,"['麵食', '日式']",False,15.0,79.0,25.0,15.0,0.8785331869158689,1472
29,花囍家 (專業生熟食日式料理專門店),j7bp,2,"['便當', '日式']",False,15.0,79.0,25.0,10.0,1.830527495661632,1669
30,JT燉飯,snpe,2,['歐美'],False,15.0,79.0,25.0,10.0,0.8702407219075758,1432
31,飯飯 (民權總店),f9gi,2,"['便當', '台式']",False,15.0,79.0,35.0,20.0,2.009285632125816,9970
32,HUN混 (一中店),i32y,3,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,0.9683286986971533,1041
