,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,餓了台式丼飯 (台中豐原店),y8w4,2,['台式'],False,15.0,79.0,20.0,5.0,1.5656110631328566,207
1,3鼎紅麻辣鴨血臭豆腐 (台中潭子店),ffdx,1,['台式'],False,15.0,79.0,25.0,5.0,3.151609039509663,136
2,四海遊龍 (台中豐原店),a9mb,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,2.2706934718748064,4466
3,浪人鐵板燒 (豐原店),qech,2,"['鐵板燒', '台式']",True,15.0,79.0,20.0,5.0,0.8344452222289196,1166
4,老甕手工粉圓 (台中豐原店),g4pl,1,['甜點'],False,15.0,79.0,35.0,15.0,2.0100486399607123,135
5,Mr.Wish 鮮果茶玩家 (豐原豐東店),s9tu,2,['飲料'],False,15.0,79.0,25.0,5.0,2.8518953128742233,47
6,羽韻茶莊x萃茶風,bwgy,2,['飲料'],False,15.0,79.0,25.0,10.0,1.1490485025673527,23
7,喫茶小舖 (豐原安康店),zpf6,1,['飲料'],False,15.0,79.0,25.0,5.0,2.146685287211037,132
8,錨起來喝 (台中神岡店),q5b7,2,['飲料'],False,15.0,79.0,25.0,5.0,2.289072909555509,222
9,Burger King 漢堡王 (台中豐原店),z3fu,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,2.356845406225192,4369
10,江湖客棧海鮮粥,wbat,2,"['粥', '台式']",False,15.0,79.0,20.0,5.0,0.21153744331112448,142
11,泰爸泰式料理,c3ul,3,"['咖哩', '東南亞']",True,15.0,79.0,30.0,10.0,2.2353503630445215,256
12,普羅咖啡館,axt2,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,0.8297049927815999,183
13,大明邱鴨頭,q0vo,2,['小吃'],True,15.0,79.0,25.0,10.0,0.6948963790395636,487
14,新橋五町目,fqqu,2,['日式'],False,15.0,79.0,25.0,10.0,2.465236338392172,114
15,釜山崔炸雞 (豐原一心店),bef0,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,0.8065779036375799,78
16,麥當勞 (S310 豐原中正二店),b5fo,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,1.2379722416258294,6524
17,50嵐 (豐原中正店),b4am,2,['飲料'],False,15.0,79.0,20.0,5.0,1.0850102066325535,3214
18,清心福全 (豐原中正店),q7hl,2,['飲料'],False,15.0,79.0,20.0,5.0,1.0883368150661505,1571
19,雞大爺 (豐原成功店),bvyj,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.8594267116143617,228
20,豐原龍鹽酥雞,a1ex,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.8921705225055756,2920
21,肯德基KFC炸雞漢堡店 (台中豐原店),z1tx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,2.3263355117943174,5399
22,銘記牛肉麵 (豐原中正店),b0lg,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0853002184736107,1692
23,甘丹豆花,z8oo,2,['甜點'],False,15.0,79.0,25.0,10.0,0.6990509730268751,1459
24,五八炒飯,p5ec,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,1.8758796877637829,1813
25,元氣當歸鴨 (台中神岡店),o6il,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,2.0025042264005664,3519
26,傻師傅湯包 (豐原成功店),d7ng,2,"['中式', '湯品', '麵食']",False,15.0,79.0,25.0,10.0,0.8101993155843428,1336
27,廟東新香蚵仔煎,eely,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,2.0086854424739005,1201
28,老薑湖豆花,d5p6,2,['甜點'],False,15.0,79.0,25.0,10.0,1.0944135436040732,574
29,大埔鐵板燒 (台中神岡店),e8ye,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,1.7823772113317133,1888
30,胖老爹美式炸雞 (台中豐原成功店),z3bf,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.8056263492695053,2338
31,海島雞排,d5rt,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.185199830647316,1419
32,濟州豆腐鍋之家 (台中豐原店),b8pw,2,"['韓式', '火鍋']",False,15.0,79.0,35.0,20.0,1.697586207777563,2242
33,串門子麻辣串,d1pg,2,['小吃'],False,15.0,79.0,20.0,5.0,1.0782072382063332,955
34,姊妹臭豆腐,grmz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,15.0,0.5950084641327458,164
35,大塊先生美式炸雞 (豐原中興店),c1mv,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,1.68932278804114,1212
36,來客牛排 (豐原南陽店),b7lw,2,"['歐美', '牛排']",False,15.0,79.0,25.0,10.0,2.239760204612585,1814
37,阿國香雞排,oq8u,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.1972870358541376,2490
38,烏龍麵所 (台中豐原店),rytl,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,2.3985972058115834,1222
39,禾豐小吃部,imcg,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,1.8623204657829238,197
40,六扇門 (台中豐原店),a7vu,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,2.15183972646399,4823
41,吳師傅滷味 (台中潭子店),a7ys,2,['小吃'],False,15.0,79.0,25.0,10.0,1.2422605306345058,1523
42,粥大福 (豐原圓環東店),j0in,2,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,5.0,2.4642349211825523,108
43,乖乖鍋燒麵,b5cw,1,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,1.2364528381789917,1681
44,九湯屋日式拉麵 (豐原信義店),k3db,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,2.1129131397926986,1398
45,21PLUS、21風味館 (豐原中正門市),jh4q,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,5.0,2.4033527640100982,272
46,霓于微燒烤 / 鍋燒,djgq,2,"['麵食', '台式']",False,15.0,79.0,35.0,20.0,1.2128522202517134,558
47,弎代鹽水雞x86Donuts現烤甜甜圈-台中豐原店,drvp,2,['小吃'],False,15.0,79.0,20.0,5.0,0.8277326590909911,429
48,3鼎紅麻辣鴨血臭豆腐 (台中潭子店),ffdx,1,['台式'],False,15.0,79.0,25.0,5.0,3.151609039509663,136
49,四海遊龍 (台中豐原店),a9mb,2,"['台式', '餃子']",False,15.0,79.0,25.0,5.0,2.2706934718748064,4466
50,浪人鐵板燒 (豐原店),qech,2,"['鐵板燒', '台式']",True,15.0,79.0,20.0,5.0,0.8344452222289196,1166
51,老甕手工粉圓 (台中豐原店),g4pl,1,['甜點'],False,15.0,79.0,35.0,15.0,2.0100486399607123,135
52,Mr.Wish 鮮果茶玩家 (豐原豐東店),s9tu,2,['飲料'],False,15.0,79.0,25.0,5.0,2.8518953128742233,47
53,羽韻茶莊x萃茶風,bwgy,2,['飲料'],False,15.0,79.0,25.0,10.0,1.1490485025673527,23
54,喫茶小舖 (豐原安康店),zpf6,1,['飲料'],False,15.0,79.0,25.0,5.0,2.146685287211037,132
55,錨起來喝 (台中神岡店),q5b7,2,['飲料'],False,15.0,79.0,25.0,5.0,2.289072909555509,222
56,Burger King 漢堡王 (台中豐原店),z3fu,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,2.356845406225192,4369
57,江湖客棧海鮮粥,wbat,2,"['粥', '台式']",False,15.0,79.0,20.0,5.0,0.21153744331112448,142
58,泰爸泰式料理,c3ul,3,"['咖哩', '東南亞']",True,15.0,79.0,30.0,10.0,2.2353503630445215,256
59,普羅咖啡館,axt2,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,0.8297049927815999,183
60,大明邱鴨頭,q0vo,2,['小吃'],True,15.0,79.0,25.0,10.0,0.6948963790395636,487
61,新橋五町目,fqqu,2,['日式'],False,15.0,79.0,25.0,10.0,2.465236338392172,114
62,釜山崔炸雞 (豐原一心店),bef0,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,0.8065779036375799,78
63,麥當勞 (S310 豐原中正二店),b5fo,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,1.2379722416258294,6524
64,50嵐 (豐原中正店),b4am,2,['飲料'],False,15.0,79.0,20.0,5.0,1.0850102066325535,3214
65,清心福全 (豐原中正店),q7hl,2,['飲料'],False,15.0,79.0,20.0,5.0,1.0883368150661505,1571
66,雞大爺 (豐原成功店),bvyj,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.8594267116143617,228
67,豐原龍鹽酥雞,a1ex,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.8921705225055756,2920
68,肯德基KFC炸雞漢堡店 (台中豐原店),z1tx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,25.0,5.0,2.3263355117943174,5399
69,銘記牛肉麵 (豐原中正店),b0lg,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0853002184736107,1692
70,甘丹豆花,z8oo,2,['甜點'],False,15.0,79.0,25.0,10.0,0.6990509730268751,1459
71,五八炒飯,p5ec,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,1.8758796877637829,1813
72,元氣當歸鴨 (台中神岡店),o6il,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,2.0025042264005664,3519
73,傻師傅湯包 (豐原成功店),d7ng,2,"['中式', '湯品', '麵食']",False,15.0,79.0,25.0,10.0,0.8101993155843428,1336
74,廟東新香蚵仔煎,eely,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,2.0086854424739005,1201
75,老薑湖豆花,d5p6,2,['甜點'],False,15.0,79.0,25.0,10.0,1.0944135436040732,574
76,大埔鐵板燒 (台中神岡店),e8ye,2,"['鐵板燒', '台式']",False,15.0,79.0,25.0,5.0,1.7823772113317133,1888
77,胖老爹美式炸雞 (台中豐原成功店),z3bf,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.8056263492695053,2338
78,海島雞排,d5rt,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.185199830647316,1419
79,濟州豆腐鍋之家 (台中豐原店),b8pw,2,"['韓式', '火鍋']",False,15.0,79.0,35.0,20.0,1.697586207777563,2242
80,串門子麻辣串,d1pg,2,['小吃'],False,15.0,79.0,20.0,5.0,1.0782072382063332,955
81,姊妹臭豆腐,grmz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,15.0,0.5950084641327458,164
82,大塊先生美式炸雞 (豐原中興店),c1mv,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,1.68932278804114,1212
83,來客牛排 (豐原南陽店),b7lw,2,"['歐美', '牛排']",False,15.0,79.0,25.0,10.0,2.239760204612585,1814
84,阿國香雞排,oq8u,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.1972870358541376,2490
