,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,阿Q茶舍 (台中東山店),tl5g,2,"['便當', '麵食', '台式']",False,15.0,79.0,65.0,45.0,3.6612949596253666,3
1,馬岡豆花 (台中東山店),hdpw,2,['甜點'],False,15.0,79.0,25.0,10.0,2.806820180297591,167
2,五花馬水餃館 (台中東山店),jmyg,2,"['湯品', '台式', '餃子']",False,15.0,79.0,25.0,5.0,3.1016633547487635,509
3,協力旺 (台中大坑店),tv6w,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.0580868414068365,538
4,麥當勞 (S238 台中軍功店),b0ux,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,3.754325351032034,8792
5,萬波島嶼紅茶 (台中東山店),bic6,2,['飲料'],False,15.0,79.0,25.0,5.0,3.4640031396476614,312
6,胖老爹美式炸雞 (北屯軍功店),h0v9,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.5701268301272107,1605
7,大滷桶魯味（東山店）,s0cj,2,['小吃'],False,15.0,79.0,30.0,10.0,1.9441104866919423,506
8,尚珍滷味料理 (台中東山店),xz6t,2,['小吃'],False,15.0,79.0,30.0,5.0,3.828094394751149,1160
9,可不可熟成紅茶 (東山軍功店),x2v1,1,['飲料'],False,15.0,79.0,25.0,5.0,3.663237065323987,1180
10,喫茶小舖 (台中大坑東山店),b4qz,1,['飲料'],False,15.0,79.0,20.0,5.0,2.0183950010002993,545
11,摩斯漢堡Mos Burger (台中軍功店),r3tg,2,"['漢堡', '日式']",False,15.0,79.0,35.0,15.0,3.778586500206762,2186
12,吉品鐵板燒 (台中軍功店),a0ai,2,"['鐵板燒', '台式']",False,15.0,79.0,30.0,10.0,3.789286669714448,1752
13,東東牛排 (台中東山店),l0pj,2,"['歐美', '牛排']",False,15.0,79.0,25.0,5.0,3.217295822814129,500
14,爭鮮迴轉壽司 (軍功店),qdjn,2,['日式'],False,15.0,79.0,25.0,5.0,3.721496191459324,315
15,老賴茶棧 (台中東山店),pjau,2,['飲料'],False,15.0,79.0,25.0,5.0,3.8006725345807117,39
16,茶湯會 (北屯東山店),kvi2,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6484696897623414,98
17,功夫茶KUNG FU TEA (台中軍功店),oyzc,2,['飲料'],False,15.0,79.0,25.0,5.0,3.731098691373148,245
18,三商巧福 (4351台中東山店),s8kb,2,"['麵食', '台式']",True,15.0,79.0,40.0,20.0,3.9302059574360375,1500
19,龜記茗品 (北屯東山店),hnw9,2,['飲料'],False,15.0,79.0,25.0,5.0,3.829149745538407,54
20,同拉麵 (台中景賢店),z3sl,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,4.057828109980775,593
21,迷客夏 Milksha (北屯東山店),s1zc,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6403652716289017,106
22,好食基美式炸雞(北屯東山店),z6ek,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.630666634402771,1878
23,先喝道 (台中東山店),u1e1,2,['飲料'],False,15.0,79.0,30.0,5.0,3.961546610696686,165
24,豪佳牛排,q7lr,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,3.624660251960614,177
25,烏弄 (台中東山店),imhc,2,['飲料'],False,15.0,79.0,25.0,5.0,3.8326659469970115,83
26,Pizza Hut必勝客 (台中大坑店),z4zs,2,"['披薩', '歐美']",False,15.0,79.0,35.0,10.0,4.3098493513507865,2395
27,Mr.Wish 鮮果茶玩家 (台中東山店),vzc9,2,['飲料'],False,15.0,79.0,25.0,5.0,3.669285106484493,37
28,燒瓶子。大肆鍋物 (台中北屯店),hk5s,3,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,3.3973562106351705,77
29,陽光皇后 SUNNY QUEEN (台中大坑店),gbla,3,['歐美'],False,15.0,79.0,30.0,10.0,2.223703769661931,39
30,鼎上豐湯包 (台中軍功店),iiio,2,['台式'],False,15.0,79.0,25.0,5.0,3.5388829298461193,77
31,仙草凍3兄弟 (台中北屯東山店),i6lf,2,['飲料'],False,15.0,79.0,25.0,5.0,3.338929564111798,7
32,阿娘喂!廖老大茶坊連鎖 (北屯東山店),hdbb,2,['飲料'],False,15.0,79.0,25.0,5.0,3.457796065888845,18
33,達美樂 (東山店),s2ny,3,"['披薩', '歐美']",False,30.0,199.0,45.0,25.0,5.978285421814862,618
34,滿月茶作 (台中軍功店),rmr2,1,['飲料'],False,15.0,79.0,25.0,10.0,3.3474812795535493,70
35,STARBUCKS 星巴克 (軍功東山門市),u6gc,2,"['歐美', '飲料']",False,15.0,79.0,25.0,5.0,3.8059566681400225,1416
36,好了啦紅茶冰 (北屯祥順店),p3eu,1,['飲料'],False,15.0,79.0,30.0,5.0,4.235084498838155,210
37,大坑米粉湯餐館,lr0l,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,2.8085955749721956,9
38,麥味登 (北屯東山店),m927,2,['台式'],False,15.0,79.0,40.0,15.0,3.3020367114684785,421
39,弘爺漢堡 (台中安安店),kq61,2,"['早餐', '台式']",True,15.0,79.0,40.0,15.0,1.992479752420059,273
40,喜得炭火燒三明治 (北屯軍福店),rrrn,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,40.0,15.0,3.2486588786147155,132
41,又嘎早午餐,u8ej,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.2963680463867444,1469
42,來點什麼 (台中東山店),bbtg,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,3.195780956109101,183
