,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,夏立克綠豆沙專門店 (台中龍井店),i2ny,1,['飲料'],False,15.0,79.0,25.0,5.0,1.9808725177065554,1083
1,豬頭家鹽酥雞 (台中龍井店),aqba,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.09848991146968408,322
2,臻香鍋燒麵,ul76,2,"['麵食', '台式']",False,15.0,79.0,20.0,10.0,0.09817654816338639,51
3,錢錢蒸餃,stpl,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,10.0,0.09817654816338639,21
4,50嵐 (龍井中央店),e5af,2,['飲料'],False,15.0,79.0,25.0,5.0,2.6396805608437366,3538
5,潮麻吉 (龍井中央店),vuzw,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,2.4731233643382673,327
6,翅客脆皮雞排 (台中三德店),c7re,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.5344800308233415,2375
7,雞咕雞咕滷味 (龍井店),b992,2,['小吃'],False,15.0,79.0,25.0,10.0,2.0313535066824415,445
8,八方雲集 (台中大肚店),d6xj,2,"['台式', '餃子']",False,15.0,79.0,30.0,5.0,4.127105446602867,2886
9,大苑子 (龍井中央店),m7ol,2,['飲料'],False,15.0,79.0,25.0,5.0,2.4536751630733096,2000
10,可不可熟成紅茶 (台中龍井店),m7a3,2,['飲料'],False,15.0,79.0,25.0,5.0,3.0196317967071917,703
11,85度C (龍井中央店),c2mz,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,25.0,5.0,2.5332919921282677,1192
12,清心福全 (台中龍井中央店),jad3,2,['飲料'],False,15.0,79.0,25.0,5.0,2.8862783109024144,156
13,老煌燉品屋,owjx,2,"['湯品', '台式']",False,15.0,79.0,35.0,15.0,1.845918821833916,261
14,幸福味 (台中龍井店),i7mf,2,['飲料'],False,15.0,79.0,25.0,5.0,2.660943961307332,118
15,胖老爹美式炸雞 (台中大肚店),d3sc,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.9993569505494744,2180
16,鑫仙草企業社,c66h,2,['甜點'],False,15.0,79.0,25.0,5.0,2.9457057303216176,278
17,十九甲雞排 (台中大肚店),u9fn,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,4.158811994036019,281
18,WAYNE泰式料理,m4om,2,"['便當', '東南亞']",False,15.0,79.0,30.0,10.0,3.05873996676413,1041
19,迷客夏 Milksha (臺中大肚店),e8rc,2,['飲料'],False,15.0,79.0,25.0,5.0,3.7294374992581862,1405
20,85度C (台中大肚店),e7vd,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,25.0,5.0,3.7003798988789813,1088
21,茶湯會 (大肚沙田店),c0av,2,['飲料'],False,15.0,79.0,25.0,5.0,3.752657926699597,936
22,讚不絕口大肚店,a5fl,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,3.8300751577319683,1294
23,駱先生義大利麵 (台中大肚店),g8to,2,"['歐美', '麵食']",False,15.0,79.0,30.0,5.0,4.119901500481536,1158
24,TEATOP 第一味 (龍井沙田店),hqtw,2,['飲料'],True,15.0,79.0,30.0,5.0,3.8783026272343344,856
25,日船章魚小丸子 (大肚沙田店),r5xk,1,['日式'],False,15.0,79.0,30.0,10.0,3.7269671040021426,202
26,清玉 (大肚沙田店),o83i,1,['飲料'],False,15.0,79.0,25.0,5.0,3.767969277488465,133
27,后宮手作茶坊,n5xd,2,['飲料'],True,15.0,79.0,30.0,5.0,3.8684557342467043,762
28,大碗公冰·甜品 (台中大肚店),ccls,2,['甜點'],True,15.0,79.0,35.0,10.0,4.187681442092974,674
29,老先覺功夫窯燒鍋 (台中大肚MiNi店),f3vi,2,"['火鍋', '台式']",True,15.0,79.0,40.0,20.0,3.974411593967559,1151
30,奇雞美式炸雞,r57r,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,3.2790681846541463,33
31,雙囍-鳳梨冰綠豆沙專門店 (龍井直營店),l4sp,2,['飲料'],False,15.0,79.0,30.0,5.0,3.8835511628996393,553
32,ㄚQ鬆餅屋 (大肚文昌店),i1ps,1,['甜點'],False,15.0,79.0,35.0,10.0,3.998096792007764,512
33,達美樂 (沙鹿中山店),p2xa,3,"['披薩', '歐美']",False,30.0,199.0,45.0,25.0,7.309504297057537,2051
34,來易杯飲料 (龍井龍津店),bts2,1,['飲料'],False,15.0,79.0,25.0,5.0,2.1198033761683908,525
35,愛戀日不落咖啡 (龍井店),v3mk,2,"['咖啡', '飲料']",False,15.0,79.0,25.0,5.0,2.9579161806177106,645
36,日日裝茶 (台中大肚店),d6na,2,['飲料'],False,15.0,79.0,25.0,5.0,3.6650060322513736,1892
37,韓老師經典手藝茶,qd2v,1,['飲料'],False,15.0,79.0,30.0,5.0,3.9865852242369306,332
38,麥味登 (台中龍津店),dp6z,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.8495423203681893,1127
39,弘爺漢堡(台中金佑瑟店),i3pm,1,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,2.4093282371349276,905
40,那個麵線,m5ii,1,"['麵食', '小吃']",False,15.0,79.0,40.0,15.0,1.9784867648811262,397
41,拉亞漢堡 (大肚華山店),d1nu,2,"['早餐', '歐美']",False,15.0,79.0,40.0,10.0,3.661501627060534,2679
42,おいしい鐵板&鍋燒麵健康飯包,hgw1,1,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,2.916660674266494,814
43,玉絨越南小吃,u001,2,"['湯品', '麵食', '東南亞']",False,15.0,79.0,40.0,15.0,3.268409768596415,5
44,鄉村漢堡中西式早餐店,uic8,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,15.0,79.0,40.0,15.0,2.220991290539137,0
45,有隻鵝麵食館,uc4s,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,2.2923565415266594,19
46,元味筒仔米糕,s9kk,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,2.5360321580277967,1321
47,泡麵小食堂&玉米杯杯,uo95,1,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,3.4234303607473597,54
48,豬頭家鹽酥雞 (台中龍井店),aqba,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.09848991146968408,322
