,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,三媽臭臭鍋 (苗栗為公店),d1xq,2,"['火鍋', '台式']",False,9.0,79.0,30.0,20.0,0.7417258512111369,2468
1,御六星級豬腳麵線黑白切,mcqn,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,1.2546457804558118,364
2,曲肯叔叔美式炸雞(uncle chicken),qnyd,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,10.0,1.4037279821189421,57
3,找蓋茶 (苗栗大同店),a9dx,2,"['台式', '炸雞']",False,9.0,79.0,20.0,10.0,1.4801130696355906,1697
4,伊莉莎白紅茶書房 (苗栗市府店),pxdm,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6662252000058667,293
5,好食好時台式居酒屋,b072,2,['台式'],False,9.0,79.0,25.0,10.0,1.113518271077354,265
6,八方雲集 (苗栗為公店),e4dl,2,"['台式', '餃子']",False,9.0,79.0,15.0,5.0,0.6382759229478229,3582
7,找餐殿 (苗栗店),b1jg,2,"['早餐', '台式']",False,9.0,79.0,25.0,15.0,0.5029578975073724,7468
8,麥當勞 (S321 苗栗中山店),p9ln,2,"['漢堡', '歐美']",False,9.0,79.0,20.0,10.0,0.8638849386731086,6494
9,麻古茶坊 (苗栗府前店),qgrq,2,['飲料'],False,9.0,79.0,15.0,5.0,0.8921694594916494,428
10,可不可熟成紅茶 (苗栗府前店),zv0p,1,['飲料'],False,9.0,79.0,15.0,5.0,0.8046439988318315,2592
11,在地人擔仔麵,wq8i,2,"['麵食', '台式']",False,9.0,79.0,25.0,15.0,0.18560659910623734,276
12,禾饌風味小吃館 (苗栗府前店),f3er,2,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,0.6875791284861505,1409
13,50嵐 (苗栗府前店),q985,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6535043358558352,286
14,嵐町雞排 (苗栗新民店),zwq9,2,"['小吃', '炸雞']",False,9.0,79.0,30.0,20.0,0.1659586423982909,2229
15,小香港餐館,hlvr,2,"['湯品', '麵食', '港式']",False,9.0,79.0,20.0,10.0,0.12157159988549246,484
16,牛媽媽美食,b1jv,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,15.0,0.2687655837024531,4130
17,85度C (苗栗府東店),e4jw,2,"['甜點', '咖啡', '蛋糕']",False,9.0,79.0,15.0,5.0,0.3353013139704156,1693
18,清心福全 (苗栗府前店),z5nl,1,['飲料'],False,9.0,79.0,15.0,5.0,0.6277911277810819,3118
19,夯臭豆腐 (苗栗玉清店),olng,1,['小吃'],False,9.0,79.0,20.0,10.0,0.32793982514084047,92
20,喫茶小舖 (苗栗府前店),b9bw,1,['飲料'],False,9.0,79.0,15.0,5.0,0.8804340180339592,2515
21,上宇林 (苗栗府前店),v7l3,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6977239895202308,164
22,功夫茶KUNGFUTEA (苗栗府前店),cuxf,2,['飲料'],False,9.0,79.0,20.0,5.0,0.8592826668982777,148
23,潮味決．湯滷專門店 (苗栗府前分社),d4si,2,['台式'],False,9.0,79.0,15.0,5.0,0.717846978774066,1683
24,迷客夏 Milksha (苗栗府前店),d2hl,2,['飲料'],False,9.0,79.0,15.0,5.0,0.82671214395994,667
25,三顧茅廬 (苗栗府前店),d8ns,2,['小吃'],False,9.0,79.0,15.0,5.0,0.6277911277810819,2743
26,楊家三城麵食館,pfxm,1,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,15.0,1.215425715845207,1695
27,張記東山鴨頭/林肯炸雞,s3ax,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.6392194783294728,930
28,CoCo都可 (苗栗正發店),epof,2,['飲料'],False,9.0,79.0,15.0,5.0,0.714496119042573,689
29,金志小吃,e2zo,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.4040125019608005,4757
30,老饕滷味 (苗栗店),a7bj,2,['小吃'],False,9.0,79.0,20.0,5.0,1.2280346068690404,1640
31,Pizza Hut必勝客 (苗栗中正店),a8hu,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,0.6865044472761712,3914
32,享又享餐飲複合站,o4xd,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.3813159709251148,779
33,歐兔啡食館 (苗栗英才館),fst1,2,"['咖啡', '蛋糕', '歐美']",False,9.0,79.0,15.0,5.0,0.3863374859812154,1069
34,葉家粥,f3by,2,"['粥', '台式']",False,9.0,79.0,20.0,5.0,2.2311414568740626,3024
35,福滿香水餃館,n4m2,2,['台式'],False,9.0,79.0,20.0,5.0,1.1520993982401229,394
36,林家脆皮炸雞X台式雞排,dqq1,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,1.3075547229939821,182
37,石一籠湯包 (苗栗為公店),yxdc,2,"['中式', '湯品']",False,9.0,79.0,20.0,5.0,0.7446059951311303,249
38,吮指王 (苗栗光復店),k5je,2,"['台式', '炸雞']",False,9.0,79.0,20.0,10.0,1.3068129409449496,1013
39,小上海香酥雞 (苗栗府前店),v8at,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.876929476491764,946
40,魔力手作茶 (苗栗店),p4ub,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.3784501525040878,1201
41,肯德基KFC炸雞漢堡店 (苗栗中正店),a3ux,2,"['甜點', '漢堡', '歐美', '炸雞']",False,9.0,79.0,20.0,5.0,1.5864212334037033,3475
42,大夜班滷肉飯,rqad,1,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,0.3724956376507638,537
43,亭語美食,tsj6,2,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,0.25939805046322595,159
44,胖老爹美式炸雞 (苗栗至公店),a5yv,2,"['歐美', '炸雞']",True,9.0,79.0,30.0,20.0,0.9359002889139278,3573
45,轉餃遇到麵,d5ye,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,10.0,0.47850492989686055,1256
46,食尚韓餐館,g6ed,2,"['韓式', '炸雞']",False,9.0,79.0,15.0,5.0,0.8011441733789844,457
47,大阪滷味,t1xz,2,['小吃'],False,9.0,79.0,20.0,5.0,0.7366782196030321,923
48,御六星級豬腳麵線黑白切,mcqn,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,1.2546457804558118,364
49,曲肯叔叔美式炸雞(uncle chicken),qnyd,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,10.0,1.4037279821189421,57
50,找蓋茶 (苗栗大同店),a9dx,2,"['台式', '炸雞']",False,9.0,79.0,20.0,10.0,1.4801130696355906,1697
51,伊莉莎白紅茶書房 (苗栗市府店),pxdm,2,['飲料'],False,9.0,79.0,15.0,5.0,0.6662252000058667,293
