,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,食光杯 (台中東勢店),hoah,2,"['歐美', '麵食']",False,15.0,79.0,15.0,10.0,0.26971688845609804,109
1,Pizza Hut必勝客 (台中東勢店),j0re,2,"['披薩', '歐美']",False,15.0,79.0,15.0,10.0,0.7680364644298662,1478
2,麥當勞 (S280 東勢中正店),hof2,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.37719375050000553,1344
3,豚將日本拉麵 (台中東勢店),c5fg,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.3501062504490732,1009
4,七嘴八舌滷味 (台中東勢店),hnev,2,['小吃'],False,15.0,79.0,10.0,5.0,0.5435621484884977,193
5,六扇門 (台中東勢店),f0a7,2,"['火鍋', '台式']",True,15.0,79.0,25.0,15.0,0.5401418791636244,1692
6,胖老爹美式炸雞 (台中東勢店),j1td,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.3493738083989995,1370
7,50嵐 (台中豐勢店),c9qx,1,['飲料'],False,15.0,79.0,15.0,5.0,1.0818591102344433,2916
8,大碗公冰·甜品 (台中東勢店),cfnb,1,['甜點'],False,15.0,79.0,15.0,10.0,0.44192245562750027,610
9,鬼匠拉麵x九條牛牛肉麵 (台中東勢店),gryv,2,"['麵食', '日式']",False,15.0,79.0,15.0,5.0,0.5435621484884977,22
10,TEATOP 第一味 (台中東勢店),ma0l,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8054342659420589,971
11,晴客 (東勢店),i9pt,1,['飲料'],False,15.0,79.0,15.0,5.0,0.8680087185491292,1003
12,御青方麻辣臭豆腐 (台中東勢店),j5ux,2,"['火鍋', '台式']",False,15.0,79.0,15.0,5.0,1.1726125566110717,823
13,貴族世家 (台中東勢店),jzi4,2,"['歐美', '牛排']",False,15.0,79.0,20.0,15.0,0.4204867621524452,243
14,白巷子 (台中東勢店),g543,2,['飲料'],False,15.0,79.0,15.0,10.0,0.5483545753412562,4
15,玫瑰廚房,sfuq,2,"['湯品', '台式']",False,15.0,79.0,30.0,20.0,3.1470262057297136,126
16,迷客夏 Milksha (台中東勢店),cait,2,['飲料'],False,15.0,79.0,15.0,10.0,0.4326555148038955,0
17,日出客棧-小農鮮奶 (東勢豐勢店),yjg1,1,['飲料'],False,15.0,79.0,15.0,5.0,0.6789735253205358,51
18,茶聚 (東勢三民店),t6a7,1,['飲料'],True,15.0,79.0,15.0,5.0,0.8872810373905525,903
19,双久茶行sHUAN JU tea,rtyn,1,['飲料'],False,15.0,79.0,15.0,5.0,1.079614929947245,141
20,弘爺漢堡 (台中寵愛店),sad7,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.0552263977481562,952
21,拉亞漢堡 (東勢東崎店),kzmx,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.0668761032169394,1673
22,美味早餐 (台中東勢店),k2lw,1,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.1464572524271424,1422
23,來點什麼 (台中東勢店),c8sk,2,"['早餐', '台式']",False,15.0,79.0,40.0,15.0,1.1199023550351115,1929
24,阿珍早餐,ijsb,1,"['早餐', '湯品', '台式']",False,15.0,79.0,40.0,15.0,1.702289118704891,23
25,李記蔥抓餅,qm8l,1,['小吃'],False,15.0,79.0,40.0,15.0,1.011024668726513,116
26,麥味登 (東勢新盛店),kjcv,2,"['早餐', '歐美']",False,15.0,79.0,40.0,15.0,1.6247894229747446,69
27,詹炒麵,al06,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.3530748802885237,146
28,成功牛排 (台中東勢店),x5qf,2,"['台式', '牛排']",False,15.0,79.0,40.0,15.0,0.323438672120985,102
29,吳媽媽麵店,vr33,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.34431919785769843,16
30,清心福全 (石岡豐勢二店),l5vn,1,['飲料'],False,15.0,79.0,40.0,15.0,1.074633337524721,573
31,萬波島嶼紅茶 (台中東勢店),fpso,2,['飲料'],False,15.0,79.0,40.0,15.0,0.7812727076666381,178
32,可不可熟成紅茶 (東勢豐勢店),hy7l,1,['飲料'],False,15.0,79.0,40.0,15.0,0.39145492208551363,576
33,東宮小吃,nx1y,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,15.0,0.7167878478526398,2773
34,瑞香小吃,ecf7,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,1.570180288490245,948
35,食神廣東粥 (台中東勢店),roon,2,"['中式', '湯品', '粥']",False,15.0,79.0,40.0,15.0,0.9798356926966528,512
36,咖哩咖哩小屋,l5yk,1,"['咖哩', '日式']",False,15.0,79.0,40.0,15.0,0.8189198316931157,46
37,八方雲集 (東勢三民店),wu98,2,"['台式', '餃子']",False,15.0,79.0,40.0,15.0,0.48880130804023963,864
38,小泉茶吧,z24d,1,['飲料'],False,15.0,79.0,40.0,15.0,0.6767510252844092,233
39,拾山,ejpq,2,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.8527594427760499,37
40,米奧屋台式茶飲,l9dw,1,['飲料'],False,15.0,79.0,40.0,15.0,0.47646453984877624,516
41,台西鵝肉快炒店,yz7i,3,"['湯品', '台式']",False,15.0,79.0,40.0,15.0,0.30930385608713684,97
42,松之富日式食堂,s09a,2,"['麵食', '日式']",False,15.0,79.0,40.0,15.0,1.152948808521041,48
43,嵩香茶行,i7hj,2,['飲料'],False,15.0,79.0,40.0,15.0,0.7480329027901127,454
44,T4清茶達人 (台中東勢店),zsx8,2,['飲料'],False,15.0,79.0,40.0,15.0,0.8154356277659152,642
45,鳳檸茶飲料店,x4ap,1,['飲料'],False,15.0,79.0,40.0,15.0,1.5156042866792896,133
46,一福味麵食館,h8yd,2,"['湯品', '麵食', '台式']",False,15.0,79.0,40.0,15.0,0.40908769191733946,626
47,GABI咖啡,i7gd,1,"['咖啡', '飲料']",False,15.0,79.0,40.0,15.0,1.0695599327776988,70
48,Pizza Hut必勝客 (台中東勢店),j0re,2,"['披薩', '歐美']",False,15.0,79.0,15.0,10.0,0.7680364644298662,1478
49,麥當勞 (S280 東勢中正店),hof2,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,10.0,0.37719375050000553,1344
50,豚將日本拉麵 (台中東勢店),c5fg,2,"['麵食', '日式']",False,15.0,79.0,10.0,5.0,0.3501062504490732,1009
51,七嘴八舌滷味 (台中東勢店),hnev,2,['小吃'],False,15.0,79.0,10.0,5.0,0.5435621484884977,193
52,六扇門 (台中東勢店),f0a7,2,"['火鍋', '台式']",True,15.0,79.0,25.0,15.0,0.5401418791636244,1692
53,胖老爹美式炸雞 (台中東勢店),j1td,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.3493738083989995,1370
