,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,西濱蛋炒飯,y3dv,2,"['湯品', '台式']",True,15.0,79.0,50.0,35.0,2.095997532235489,7292
1,麻角-鍋專門鍋物．拌麵,wcrq,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.9420233414040327,800
2,斗六門當歸鴨 (台中美村南店),m4gl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.195281165244452,1883
3,鴨王鴨肉飯 (台中向上店),z4jg,2,"['湯品', '台式']",True,15.0,79.0,30.0,15.0,1.3931612638841728,8368
4,3鼎紅麻辣鴨血臭豆腐 (南屯黎明店),imxx,2,['小吃'],False,15.0,79.0,25.0,5.0,2.100808156408241,221
5,鴨莊,b7yt,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.0406737417273972,2259
6,周記豆花 (台中黎明店),y8ae,2,['甜點'],False,15.0,79.0,25.0,10.0,2.0882818988762892,2008
7,釜山崔炸雞 (南區大慶店),ikgs,2,"['韓式', '炸雞']",False,15.0,79.0,25.0,5.0,2.4747553438900187,1935
8,春陽茶事 (台中一中店),q2dn,2,['飲料'],False,15.0,79.0,25.0,5.0,3.432077950958924,664
9,斗六門當歸鴨 台中南屯店,r2ox,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.4444923935089151,1998
10,頂呱呱TKK (台中南屯店),qn5z,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,5.0,2.208646654740917,463
11,肉鮮生Mr.M.EAT韓式烤肉 (台中文心店),i28p,2,"['韓式', '便當', '炸雞']",False,15.0,79.0,35.0,20.0,1.1567821000223817,28
12,信川屋博多豚骨拉麵店,jbvp,2,"['麵食', '日式']",False,15.0,79.0,30.0,15.0,1.633669046419723,10
13,八玖鼎港式飲茶餐廳,c674,3,['港式'],False,15.0,79.0,50.0,30.0,2.33592836621371,32
14,御饌臻品 (台中黎明店),nbju,3,"['麵食', '台式']",False,15.0,79.0,50.0,30.0,3.067437034951681,13
15,上和園滷味,yqr5,2,['小吃'],False,15.0,79.0,25.0,5.0,3.2385427264752353,8
