,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大雅-小林現炒,tvat,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.7942431974352773,1143
1,T4清茶達人 (台中神岡店),h1zz,2,['飲料'],False,15.0,79.0,20.0,5.0,0.3161200910814641,1131
2,上宇林 (大雅民生店),db80,2,['飲料'],False,15.0,79.0,25.0,5.0,3.420067099080557,311
3,炒飯超人 (台中大雅店),b3dg,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,3.8475695067079267,2663
4,熱火美式牛排,xwq8,2,"['歐美', '牛排']",False,15.0,79.0,40.0,20.0,3.7210753982545173,220
5,清心福全 (神岡中山店),t1xc,2,['飲料'],False,15.0,79.0,20.0,5.0,0.17965525978382196,665
6,麥當勞 (S500 神岡中山店),m8fb,2,"['漢堡', '歐美']",False,15.0,79.0,30.0,10.0,2.878315799480984,5252
7,豚將日本拉麵 (台中大雅店),h6uk,2,"['麵食', '日式']",True,15.0,79.0,25.0,5.0,3.482152991667802,2160
8,阿國香雞排,oq8u,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.664416337886172,2490
9,喫茶小舖 (神岡中山店),e6xv,1,['飲料'],False,15.0,79.0,20.0,5.0,0.5455817809732668,524
10,八方雲集 (台中神岡店),d9sd,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.395357332866875,1846
11,饌囍堂臭臭鍋神岡店,d8cp,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,0.986308900291587,1355
12,柴居（大雅店）,d1qn,2,"['湯品', '麵食', '台式']",False,15.0,79.0,30.0,5.0,3.846899722757221,3644
13,50嵐 (神岡社口店),l72x,2,['飲料'],False,15.0,79.0,25.0,5.0,2.568525553739723,1049
14,元氣當歸鴨 (台中神岡店),o6il,2,"['湯品', '台式']",False,15.0,79.0,35.0,15.0,2.8474811872900223,3519
15,海島雞排,d5rt,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,10.0,2.6771548875719344,1419
16,四海遊龍 (神岡中山店),d2cu,2,"['台式', '餃子']",False,15.0,79.0,25.0,10.0,2.48436500083314,2312
17,爆新美式炸雞 (台中神岡店),s7lv,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,15.0,0.5485898819524155,423
18,參壹麵舖,p3ok,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.5497773489351543,974
19,胖老爹美式炸雞 (神岡和睦店),kg6v,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.695450551370228,32
20,鴨園當歸鴨魯飯 (台中大雅店),ozg7,2,"['湯品', '台式']",False,15.0,79.0,35.0,15.0,3.5640112452737687,528
