,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台中后里店),z1kn,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,1.3483361456582392,2372
1,ㄚ蓉冰店,r0lo,2,['甜點'],False,15.0,79.0,20.0,5.0,1.2710297179893624,318
2,二鍋頭東山鴨頭 (台中后里店),t5fm,2,['小吃'],False,9.0,79.0,25.0,15.0,0.36507616695682643,718
3,麥當勞 (S538 后里甲后店),fkj6,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,1.0542861371756298,522
4,蔡家火雞肉飯（台中甲后店）,zu3q,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.057288652833535,1455
5,雞大爺炸食 (台中后里店),o9gb,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,1.175332280365187,1131
6,元氣當歸鴨 (台中后里店),g0ic,2,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,1.3243450342447818,1683
7,喵阿姨複合式餐飲,qglk,2,['台式'],False,15.0,79.0,20.0,10.0,0.3524552913732245,103
8,50嵐 (后里甲后店),zp11,2,['飲料'],True,9.0,79.0,20.0,5.0,1.4524328012347407,1621
9,后里湯餃,i9xw,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,10.0,1.2518896397622272,1137
10,57蛋炒飯,z63s,1,['台式'],False,15.0,79.0,20.0,10.0,0.9464176436097992,33
11,乖乖鍋燒麵 (台中后里店),g4zz,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0681941819070706,1229
12,清心福全 (后里甲后店),sa3m,2,['飲料'],False,9.0,79.0,20.0,5.0,1.313312608430997,706
13,阿亮香雞排 (台中后里店),tq9b,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.6558926326591819,78
14,胖老爹美式炸雞 (台中后里店),e5bs,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.3623950158105753,3163
15,白巷子 (后里甲后店),vkht,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1963211847587527,40
16,腸旺麵線蚵仔煎,vg1p,1,['小吃'],False,9.0,79.0,20.0,5.0,1.3723897975992412,564
17,就要醬滷 (台中后里店),sceu,2,['小吃'],False,15.0,79.0,25.0,10.0,1.2573963000308062,135
18,可不可熟成紅茶 (台中后里店),wlhd,1,['飲料'],False,9.0,79.0,20.0,5.0,1.4466586681846252,884
19,三媽臭臭鍋 (台中后里店),k8ns,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.5677695563114964,2090
20,小佐お茶作 (台中后里店),imuk,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1326471609673066,116
21,85度C (后里甲后店),d3wp,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,1.3499926830080742,1189
22,龜記茗品 (台中后里店),s2ie,2,['飲料'],False,9.0,79.0,20.0,5.0,1.3038402421726254,271
23,喫茶小舖 (后里甲后店),e2nt,2,['飲料'],False,15.0,79.0,20.0,5.0,1.274729860099063,1404
24,大苑子 (后里店),ui42,2,['飲料'],False,9.0,79.0,20.0,5.0,1.4157036640611593,738
25,食在老玉小吃店,q0q3,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,0.6832267197297793,135
26,迷客夏 Milksha (臺中后里店),h9ur,2,['飲料'],False,9.0,79.0,20.0,5.0,1.2763488874767144,1123
27,七嘴八舌 (台中后里店),bh54,2,['小吃'],False,9.0,79.0,20.0,5.0,1.4907879546787324,77
28,六扇門 (台中后里店),d6mm,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.3948770366631822,2159
29,打鐵豆花 (台中后里店),wp0a,2,['甜點'],False,15.0,79.0,25.0,10.0,1.3609745339825705,125
30,W煙燻魯味湯包,amc3,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,10.0,1.1611386414754294,480
31,戰鬥雞-油雞/醉雞 輕食 (台中后里店),bubx,2,['小吃'],False,15.0,79.0,20.0,5.0,1.46661309164944,28
32,TEATOP 第一味 (台中后綜店),e8xi,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1636951639712287,1176
33,大碗公冰·甜品 (台中后里店),g9ha,2,['甜點'],False,9.0,79.0,25.0,10.0,1.4943478110021733,1374
34,食神滷味 (台中后里店),k3v1,2,['小吃'],False,9.0,79.0,20.0,5.0,1.4735277264124218,151
35,牛媽媽牛排 (台中后里店),d9pk,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.1080567122571783,750
36,Bimi炸雞,pgco,2,"['小吃', '炸雞']",False,9.0,79.0,35.0,20.0,1.0202976782182094,460
37,車牌仔腳 (后里四村店),xhx9,1,"['麵食', '台式']",False,9.0,79.0,20.0,10.0,0.48292553893916623,152
38,嘉福異國料理,td4h,2,"['麵食', '東南亞']",False,9.0,79.0,20.0,5.0,1.4854216932722422,299
39,雙醬咖哩 (后里甲后店),f1hu,2,"['咖哩', '日式']",False,9.0,79.0,25.0,10.0,1.474641776905762,2073
40,三商巧福 (4338台中后里店),s5zq,2,"['麵食', '台式']",False,9.0,79.0,40.0,25.0,1.0055770888862534,1359
41,爆新美式炸雞 (台中后里店),gfzp,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,15.0,0.48204574743472944,360
42,昌平炸雞王 (台中后里店),e0xb,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,1.184173165423518,901
43,九條牛牛肉麵 (台中后里店)​,d5ff,2,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,1.5100647311999649,933
44,Real soul 餐飲,ul4j,2,"['麵食', '咖哩', '日式']",False,15.0,79.0,25.0,10.0,1.6248121240551543,17
45,黑龍蒜味肉羹,evmt,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.2624478702906545,41
46,大甲嘉家樂肉丸 (台中后里店),d7vr,2,"['湯品', '小吃']",False,15.0,79.0,20.0,5.0,1.6208857295728563,1261
47,CoCo都可 (台中后里店),eidb,2,['飲料'],False,15.0,79.0,20.0,5.0,1.600570177399323,133
48,ㄚ蓉冰店,r0lo,2,['甜點'],False,15.0,79.0,20.0,5.0,1.2710297179893624,318
49,二鍋頭東山鴨頭 (台中后里店),t5fm,2,['小吃'],False,9.0,79.0,25.0,15.0,0.36507616695682643,718
50,麥當勞 (S538 后里甲后店),fkj6,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,5.0,1.0542861371756298,522
51,蔡家火雞肉飯（台中甲后店）,zu3q,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.057288652833535,1455
52,雞大爺炸食 (台中后里店),o9gb,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,1.175332280365187,1131
53,元氣當歸鴨 (台中后里店),g0ic,2,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,1.3243450342447818,1683
54,喵阿姨複合式餐飲,qglk,2,['台式'],False,15.0,79.0,20.0,10.0,0.3524552913732245,103
55,50嵐 (后里甲后店),zp11,2,['飲料'],True,9.0,79.0,20.0,5.0,1.4524328012347407,1621
56,后里湯餃,i9xw,2,"['湯品', '台式', '餃子']",False,15.0,79.0,20.0,10.0,1.2518896397622272,1137
57,57蛋炒飯,z63s,1,['台式'],False,15.0,79.0,20.0,10.0,0.9464176436097992,33
58,乖乖鍋燒麵 (台中后里店),g4zz,1,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0681941819070706,1229
59,清心福全 (后里甲后店),sa3m,2,['飲料'],False,9.0,79.0,20.0,5.0,1.313312608430997,706
60,阿亮香雞排 (台中后里店),tq9b,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.6558926326591819,78
61,胖老爹美式炸雞 (台中后里店),e5bs,2,"['歐美', '炸雞']",False,15.0,79.0,30.0,15.0,1.3623950158105753,3163
62,白巷子 (后里甲后店),vkht,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1963211847587527,40
63,腸旺麵線蚵仔煎,vg1p,1,['小吃'],False,9.0,79.0,20.0,5.0,1.3723897975992412,564
64,就要醬滷 (台中后里店),sceu,2,['小吃'],False,15.0,79.0,25.0,10.0,1.2573963000308062,135
65,可不可熟成紅茶 (台中后里店),wlhd,1,['飲料'],False,9.0,79.0,20.0,5.0,1.4466586681846252,884
66,三媽臭臭鍋 (台中后里店),k8ns,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.5677695563114964,2090
67,小佐お茶作 (台中后里店),imuk,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1326471609673066,116
68,85度C (后里甲后店),d3wp,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,1.3499926830080742,1189
69,龜記茗品 (台中后里店),s2ie,2,['飲料'],False,9.0,79.0,20.0,5.0,1.3038402421726254,271
70,喫茶小舖 (后里甲后店),e2nt,2,['飲料'],False,15.0,79.0,20.0,5.0,1.274729860099063,1404
71,大苑子 (后里店),ui42,2,['飲料'],False,9.0,79.0,20.0,5.0,1.4157036640611593,738
72,食在老玉小吃店,q0q3,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,0.6832267197297793,135
73,迷客夏 Milksha (臺中后里店),h9ur,2,['飲料'],False,9.0,79.0,20.0,5.0,1.2763488874767144,1123
74,七嘴八舌 (台中后里店),bh54,2,['小吃'],False,9.0,79.0,20.0,5.0,1.4907879546787324,77
75,六扇門 (台中后里店),d6mm,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.3948770366631822,2159
76,打鐵豆花 (台中后里店),wp0a,2,['甜點'],False,15.0,79.0,25.0,10.0,1.3609745339825705,125
77,W煙燻魯味湯包,amc3,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,10.0,1.1611386414754294,480
78,戰鬥雞-油雞/醉雞 輕食 (台中后里店),bubx,2,['小吃'],False,15.0,79.0,20.0,5.0,1.46661309164944,28
79,TEATOP 第一味 (台中后綜店),e8xi,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1636951639712287,1176
80,大碗公冰·甜品 (台中后里店),g9ha,2,['甜點'],False,9.0,79.0,25.0,10.0,1.4943478110021733,1374
81,食神滷味 (台中后里店),k3v1,2,['小吃'],False,9.0,79.0,20.0,5.0,1.4735277264124218,151
82,牛媽媽牛排 (台中后里店),d9pk,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.1080567122571783,750
83,Bimi炸雞,pgco,2,"['小吃', '炸雞']",False,9.0,79.0,35.0,20.0,1.0202976782182094,460
84,車牌仔腳 (后里四村店),xhx9,1,"['麵食', '台式']",False,9.0,79.0,20.0,10.0,0.48292553893916623,152
85,嘉福異國料理,td4h,2,"['麵食', '東南亞']",False,9.0,79.0,20.0,5.0,1.4854216932722422,299
86,雙醬咖哩 (后里甲后店),f1hu,2,"['咖哩', '日式']",False,9.0,79.0,25.0,10.0,1.474641776905762,2073
87,三商巧福 (4338台中后里店),s5zq,2,"['麵食', '台式']",False,9.0,79.0,40.0,25.0,1.0055770888862534,1359
88,爆新美式炸雞 (台中后里店),gfzp,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,15.0,0.48204574743472944,360
89,昌平炸雞王 (台中后里店),e0xb,2,"['歐美', '炸雞']",False,15.0,79.0,25.0,10.0,1.184173165423518,901
90,九條牛牛肉麵 (台中后里店)​,d5ff,2,"['麵食', '台式']",False,9.0,79.0,30.0,15.0,1.5100647311999649,933
91,Real soul 餐飲,ul4j,2,"['麵食', '咖哩', '日式']",False,15.0,79.0,25.0,10.0,1.6248121240551543,17
92,黑龍蒜味肉羹,evmt,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.2624478702906545,41
93,大甲嘉家樂肉丸 (台中后里店),d7vr,2,"['湯品', '小吃']",False,15.0,79.0,20.0,5.0,1.6208857295728563,1261
94,CoCo都可 (台中后里店),eidb,2,['飲料'],False,15.0,79.0,20.0,5.0,1.600570177399323,133
95,烏弄 (后里甲后店),xa5t,2,['飲料'],False,15.0,79.0,20.0,5.0,1.457444519691884,11
96,高茗轟炸雞,j7ai,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.0956025806076763,630
97,料亭日本料理,cfl4,2,['日式'],False,15.0,79.0,25.0,5.0,1.7646268427730842,51
98,黑沃咖啡 (后里文明店),t2hq,2,"['咖啡', '飲料']",False,9.0,79.0,20.0,5.0,0.9659939117048415,257
99,Mr.Wish 鮮果茶玩家 (后里甲后店),b0kt,2,['飲料'],True,15.0,79.0,20.0,5.0,1.3566553128137846,1168
100,渴以茶 (后里甲后店),qcmv,2,['飲料'],False,9.0,79.0,20.0,5.0,1.2015757730669585,49
