,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (頭份中華店),z9fe,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,2.3680437091600273,4093
1,Let's Tea樂子茶,nu8g,2,['飲料'],False,9.0,79.0,20.0,5.0,2.7932874386153994,371
2,小農契作鮮果茶,a6bk,2,['飲料'],False,9.0,79.0,20.0,5.0,2.7540053548006864,2230
3,喫茶小舖 (頭份信義店),b2yc,1,['飲料'],False,9.0,79.0,20.0,5.0,2.8213029707497532,1143
4,康青龍 (頭份文化店),b4ww,2,['飲料'],False,9.0,79.0,25.0,5.0,3.8581002343786195,2209
5,Burger King 漢堡王 (頭份中華店),glbi,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,5.0,2.200722596305654,368
6,联亭泡菜鍋,y8lo,2,"['火鍋', '台式']",False,9.0,79.0,35.0,15.0,2.788663144017273,1663
7,蔡家虱目魚,c9jw,2,"['湯品', '台式']",False,9.0,79.0,30.0,15.0,2.259885701038736,911
8,台北麻將麻辣臭豆腐 (苗栗頭份店),u8nc,2,"['火鍋', '台式']",True,9.0,79.0,30.0,15.0,2.425542479423827,1416
9,金牌脆皮臭豆腐,fbc7,2,['小吃'],False,9.0,79.0,25.0,5.0,3.6495622470898117,186
10,一喜鍋、麻辣滷、拌麵 (苗栗頭份店),fgc5,2,"['火鍋', '台式']",False,9.0,79.0,45.0,30.0,3.215929715343002,200
11,麥當勞 (S205 苗栗頭份店),z4zx,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,10.0,2.2067987948930505,25719
12,圓寶香雞排,b5td,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.14773426144156707,1523
13,鬍鬚張魯肉飯 (頭份中華店),dzc8,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,2.2370164705109343,615
