,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (頭份中華店),z9fe,2,"['披薩', '歐美']",False,9.0,79.0,20.0,10.0,0.6658311288188504,4093
1,9453休閒釣蝦場,p2mb,3,"['湯品', '台式']",False,9.0,79.0,35.0,20.0,0.8288278034039446,868
2,G罩杯鹽水雞 (苗栗竹南店),cgmz,2,['小吃'],False,9.0,79.0,25.0,5.0,3.6869855654496715,158
3,鍋賣局 (頭份中興店),kh6b,2,"['火鍋', '台式']",False,9.0,79.0,35.0,25.0,0.9188850254569271,155
4,伊莉莎白紅茶書房 (竹南車站殿),bz7v,2,['飲料'],False,9.0,79.0,25.0,5.0,3.4183921951804472,146
5,穩飲茶府,js8i,1,['飲料'],False,9.0,79.0,25.0,5.0,3.3313786428848307,225
6,喜力茶飲,a7vz,2,['飲料'],False,9.0,79.0,25.0,5.0,3.3284506854483444,2694
7,Let's Tea樂子茶,nu8g,2,['飲料'],False,9.0,79.0,20.0,5.0,2.042001936587606,371
8,小農契作鮮果茶,a6bk,2,['飲料'],False,9.0,79.0,20.0,5.0,1.0506319132435804,2230
9,喫茶小舖 (頭份信義店),b2yc,1,['飲料'],False,9.0,79.0,20.0,5.0,0.9994161805695253,1143
10,联亭泡菜鍋,y8lo,2,"['火鍋', '台式']",False,9.0,79.0,30.0,15.0,0.7160511279280742,1663
11,蔡家虱目魚,c9jw,2,"['湯品', '台式']",False,9.0,79.0,25.0,15.0,0.44166450975610366,911
12,台北麻將麻辣臭豆腐 (苗栗頭份店),u8nc,2,"['火鍋', '台式']",True,9.0,79.0,25.0,15.0,0.7840205714373508,1416
13,金牌脆皮臭豆腐,fbc7,2,['小吃'],False,9.0,79.0,20.0,5.0,2.119405478307409,186
14,三漫食義,vkqd,3,"['歐美', '麵食']",False,9.0,79.0,20.0,10.0,1.9255283469446536,693
15,一喜鍋、麻辣滷、拌麵 (苗栗頭份店),fgc5,2,"['火鍋', '台式']",False,9.0,79.0,40.0,30.0,1.0226842195390675,200
16,麥當勞 (S205 苗栗頭份店),z4zx,2,"['漢堡', '歐美']",False,9.0,79.0,20.0,10.0,0.34838556377290136,25719
17,Burger King 漢堡王 (頭份中華店),glbi,2,"['漢堡', '歐美']",False,9.0,79.0,20.0,5.0,0.37991991647446277,368
18,萬安當歸鴨肉麵線/鴨肉飯,fazg,2,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,0.1836069837498032,2973
19,鬍鬚張魯肉飯 (頭份中華店),dzc8,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,0.4353888496275206,615
20,梁社漢排骨 (頭份建國店),ksgp,2,"['便當', '台式']",False,9.0,79.0,15.0,5.0,0.028727091779901178,800
21,呷億燒烤便當店,k5wk,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,0.34714950352242224,2457
22,永和四海豆漿大王,e8es,1,['小吃'],False,9.0,79.0,20.0,10.0,0.4206382534447838,6362
23,八方雲集 (苗栗頭份店),e8dy,2,"['台式', '餃子']",False,9.0,79.0,20.0,5.0,1.0145083111154627,3121
24,粥大福 (頭份建國店),qmqg,2,['台式'],False,9.0,79.0,20.0,10.0,0.8161186887234053,170
25,夯臭豆腐 (頭份店),z4el,1,['小吃'],False,9.0,79.0,20.0,5.0,1.1503060880707825,3881
26,元爵味黃燜雞米飯 (頭份和平店),sl4j,2,['中式'],False,9.0,79.0,20.0,5.0,1.2844811526036692,622
27,可不可熟成紅茶 (頭份建國店),qojq,2,['飲料'],False,9.0,79.0,15.0,5.0,0.4082192965020109,1611
28,老媽子麵店,y6qo,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.109546900309179,3930
29,陳家炒泡麵,z1si,2,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,0.5280472093317332,1740
30,萬波島嶼紅茶 (苗栗頭份店),hx87,2,['飲料'],False,9.0,79.0,15.0,5.0,0.33158670478602603,719
31,四海遊龍 (頭份建國店),dkcf,2,"['台式', '餃子']",False,9.0,79.0,20.0,10.0,0.1762470477342424,1232
32,炸本部 (苗栗頭份店),c9tb,2,"['小吃', '炸雞']",False,9.0,79.0,15.0,5.0,0.529907964221028,1537
33,鶴茶樓 鶴頂紅茶商店 (頭份中興店),bxtt,2,['飲料'],False,9.0,79.0,15.0,5.0,0.3312300739144696,94
34,摩斯漢堡Mos Burger (苗栗頭份店),y4sx,2,"['漢堡', '日式']",False,9.0,79.0,30.0,15.0,0.4479646362909526,5848
35,豆蔣 甜品、舒肥專賣,oj81,2,['甜點'],False,9.0,79.0,20.0,10.0,0.5053849090227244,409
36,六扇門 (苗栗頭份中正店),a4oc,2,"['火鍋', '台式']",False,9.0,79.0,30.0,20.0,0.8393628180229922,4335
37,金正好吃(台灣小吃頭份建國店),xwo0,2,"['湯品', '小吃']",False,9.0,79.0,15.0,5.0,0.3556823626427692,223
38,炒作,q296,2,"['湯品', '麵食', '台式']",False,9.0,79.0,15.0,5.0,0.1810838747622215,58
39,小豬很忙蔬果滷味 (頭份建國店),y2xa,2,['小吃'],False,9.0,79.0,20.0,10.0,0.837328414453581,2235
40,鮮炒飲食,rb5m,2,"['便當', '台式']",False,9.0,79.0,20.0,5.0,2.007011782847404,1015
41,麻古茶坊 (苗栗頭份尚順店),g0uq,2,['飲料'],True,9.0,79.0,20.0,5.0,1.1397863593217448,3492
42,親愛的小籠湯包 (頭份中華店),z4uk,2,"['中式', '麵食']",False,9.0,79.0,20.0,5.0,0.9478019991011711,3262
43,紅吱吱平價牛排 (苗栗頭份店),n0tn,2,"['歐美', '牛排']",False,9.0,79.0,25.0,10.0,1.1184811905243137,3306
44,開源社香雞排 (苗栗頭份店),d2zl,2,"['小吃', '炸雞']",False,9.0,79.0,30.0,20.0,1.0489170821079017,4068
45,讚不絕口小火鍋 (頭份建國店),y9ty,2,"['火鍋', '台式']",False,9.0,79.0,25.0,15.0,0.13383663685530184,1678
46,CoCo都可 (頭份建國店),pjoz,2,['飲料'],False,9.0,79.0,15.0,5.0,0.15878629587667548,151
47,大呼過癮 (頭份建國店),y4hq,2,"['火鍋', '台式']",True,9.0,79.0,30.0,20.0,0.08792008355812525,3609
48,9453休閒釣蝦場,p2mb,3,"['湯品', '台式']",False,9.0,79.0,35.0,20.0,0.8288278034039446,868
49,G罩杯鹽水雞 (苗栗竹南店),cgmz,2,['小吃'],False,9.0,79.0,25.0,5.0,3.6869855654496715,158
50,鍋賣局 (頭份中興店),kh6b,2,"['火鍋', '台式']",False,9.0,79.0,35.0,25.0,0.9188850254569271,155
51,伊莉莎白紅茶書房 (竹南車站殿),bz7v,2,['飲料'],False,9.0,79.0,25.0,5.0,3.4183921951804472,146
52,穩飲茶府,js8i,1,['飲料'],False,9.0,79.0,25.0,5.0,3.3313786428848307,225
53,喜力茶飲,a7vz,2,['飲料'],False,9.0,79.0,25.0,5.0,3.3284506854483444,2694
