,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好客黑白切,d3n9,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.7363938332242854,356
1,CoCo都可 (苗栗公館店),r72d,2,['飲料'],False,9.0,79.0,15.0,5.0,0.19828206592428801,526
2,清心福全 (公館大同店),f5su,1,['飲料'],False,9.0,79.0,15.0,5.0,0.2391340497229645,2234
3,6合麵飯館,f9ez,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.6886623250302617,1486
4,小確幸麻辣燙,f0mf,2,['小吃'],False,9.0,79.0,20.0,10.0,0.37995746623297355,573
5,胖老爹美式炸雞 (苗栗公館店),o6ij,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,0.34633851063542404,1675
6,林肯香雞排 (苗栗公館店),rw37,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.43483627924636054,10
7,成功牛排 (苗栗公館店),p6gc,2,"['台式', '牛排']",False,9.0,79.0,25.0,15.0,0.2188038140496447,460
8,好事燒烤,yyj8,2,['小吃'],False,9.0,79.0,25.0,15.0,0.38670129365795974,76
9,雞車炸物,ez6e,2,"['便當', '台式', '炸雞']",False,9.0,79.0,25.0,15.0,0.5669831102094524,9
10,艾葛來牛肉麵,rg3r,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.6619732385155506,16
11,美而美 (公館館中店),f9vf,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.848102177556397,1756
12,早安美芝城 (公館活力玉泉店),ky65,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.3509356052163364,275
13,樂吃早午餐,f0om,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.6185298184194398,1803
14,麥町吐司工房 (苗栗公館店),t4dp,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,0.562201263448497,127
15,美美小吃,l8qw,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,0.22784068940500612,766
16,弘爺漢堡 (三寶二店),t7rq,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.42707332567661177,432
17,拉亞漢堡 (苗栗公館五穀店),f3rg,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,1.764070323099623,515
18,諾漾咖啡,v6ey,1,"['咖啡', '蛋糕', '歐美']",False,9.0,79.0,40.0,15.0,0.2533490831170638,467
19,水濂凍,teu6,1,['飲料'],False,9.0,79.0,40.0,15.0,0.2729831865537042,40
20,石一籠 (苗栗公館店),ifmz,2,"['中式', '湯品', '麵食']",False,9.0,79.0,40.0,15.0,2.733826988722044,151
21,哈哈肉焿,f1sn,1,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,0.33888168476346103,984
22,小惡魔牛肉麵,w96i,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,0.524208134873452,49
23,八方雲集 (苗栗公館店),h9q9,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,0.630444301796379,591
24,樂翻天火鍋 (苗栗公館店),f9oa,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,0.2455512664414462,511
25,美樂冰店,ev6m,2,['甜點'],False,9.0,79.0,40.0,15.0,0.2853163899853736,43
26,MuMu悠然時光,f3ib,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,0.9198884086999293,203
27,come飲(苗栗公館店),f4qy,1,['飲料'],False,9.0,79.0,40.0,15.0,0.539671333749931,743
28,丸很大章魚燒 (苗栗公館店),gejy,1,['日式'],False,9.0,79.0,40.0,15.0,0.1990829341704852,47
29,阿富水煎包 (苗栗公館店),f0to,1,['小吃'],False,9.0,79.0,40.0,15.0,0.2254714497397079,246
30,消防暑冷熱飲城,ybnu,1,['甜點'],False,9.0,79.0,40.0,15.0,0.2343988974057248,57
31,Hen厚食早午餐,iklt,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.915154321430553,430
32,嗑宇味牛排工廠,x747,2,"['台式', '牛排']",False,9.0,79.0,40.0,15.0,3.5708307737714637,129
33,CoCo都可 (苗栗公館店),r72d,2,['飲料'],False,9.0,79.0,15.0,5.0,0.19828206592428801,526
34,清心福全 (公館大同店),f5su,1,['飲料'],False,9.0,79.0,15.0,5.0,0.2391340497229645,2234
35,6合麵飯館,f9ez,2,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,1.6886623250302617,1486
36,小確幸麻辣燙,f0mf,2,['小吃'],False,9.0,79.0,20.0,10.0,0.37995746623297355,573
37,胖老爹美式炸雞 (苗栗公館店),o6ij,2,"['歐美', '炸雞']",False,9.0,79.0,30.0,15.0,0.34633851063542404,1675
38,林肯香雞排 (苗栗公館店),rw37,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,10.0,0.43483627924636054,10
39,成功牛排 (苗栗公館店),p6gc,2,"['台式', '牛排']",False,9.0,79.0,25.0,15.0,0.2188038140496447,460
40,好事燒烤,yyj8,2,['小吃'],False,9.0,79.0,25.0,15.0,0.38670129365795974,76
41,雞車炸物,ez6e,2,"['便當', '台式', '炸雞']",False,9.0,79.0,25.0,15.0,0.5669831102094524,9
42,艾葛來牛肉麵,rg3r,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,2.6619732385155506,16
43,美而美 (公館館中店),f9vf,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.848102177556397,1756
44,早安美芝城 (公館活力玉泉店),ky65,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.3509356052163364,275
45,樂吃早午餐,f0om,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.6185298184194398,1803
46,麥町吐司工房 (苗栗公館店),t4dp,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,0.562201263448497,127
47,美美小吃,l8qw,2,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,0.22784068940500612,766
48,弘爺漢堡 (三寶二店),t7rq,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,0.42707332567661177,432
49,拉亞漢堡 (苗栗公館五穀店),f3rg,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,1.764070323099623,515
50,諾漾咖啡,v6ey,1,"['咖啡', '蛋糕', '歐美']",False,9.0,79.0,40.0,15.0,0.2533490831170638,467
51,水濂凍,teu6,1,['飲料'],False,9.0,79.0,40.0,15.0,0.2729831865537042,40
52,石一籠 (苗栗公館店),ifmz,2,"['中式', '湯品', '麵食']",False,9.0,79.0,40.0,15.0,2.733826988722044,151
53,哈哈肉焿,f1sn,1,"['麵食', '台式']",False,9.0,79.0,40.0,15.0,0.33888168476346103,984
54,小惡魔牛肉麵,w96i,2,"['湯品', '麵食', '台式']",False,9.0,79.0,40.0,15.0,0.524208134873452,49
55,八方雲集 (苗栗公館店),h9q9,2,"['台式', '餃子']",False,9.0,79.0,40.0,15.0,0.630444301796379,591
56,樂翻天火鍋 (苗栗公館店),f9oa,2,"['火鍋', '台式']",False,9.0,79.0,40.0,15.0,0.2455512664414462,511
57,美樂冰店,ev6m,2,['甜點'],False,9.0,79.0,40.0,15.0,0.2853163899853736,43
58,MuMu悠然時光,f3ib,2,"['歐美', '麵食']",False,9.0,79.0,40.0,15.0,0.9198884086999293,203
59,come飲(苗栗公館店),f4qy,1,['飲料'],False,9.0,79.0,40.0,15.0,0.539671333749931,743
60,丸很大章魚燒 (苗栗公館店),gejy,1,['日式'],False,9.0,79.0,40.0,15.0,0.1990829341704852,47
61,阿富水煎包 (苗栗公館店),f0to,1,['小吃'],False,9.0,79.0,40.0,15.0,0.2254714497397079,246
62,消防暑冷熱飲城,ybnu,1,['甜點'],False,9.0,79.0,40.0,15.0,0.2343988974057248,57
63,Hen厚食早午餐,iklt,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.915154321430553,430
64,嗑宇味牛排工廠,x747,2,"['台式', '牛排']",False,9.0,79.0,40.0,15.0,3.5708307737714637,129
