,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (彰化中山店),a8kf,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.7703849765757462,2901
1,胖老爹美式炸雞 (彰化彰師店),a4wn,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,10.0,2.7969649494555697,1251
2,老先覺功夫窯燒鍋 (彰化中山店),z7al,2,"['火鍋', '台式']",True,19.0,79.0,30.0,20.0,0.7964143895142384,2506
3,萬波島嶼紅茶 (彰化中華店),liaa,2,['飲料'],False,19.0,79.0,15.0,5.0,0.9236698834404095,157
4,水雲朵DrinkStore (彰化曉陽店),g9wo,2,['飲料'],False,19.0,79.0,15.0,5.0,0.35957382916602465,44
5,甲文青 (彰化成功店),p2fs,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8687445719683499,679
6,水巷茶弄 (彰化民族店),d9sf,2,['飲料'],False,19.0,79.0,15.0,5.0,0.550860777509187,1633
7,老賴茶棧 (彰化民族店),kh1r,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4365864938121419,706
8,鶴茶樓 (彰化民族店),jecz,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4550881457253371,1048
9,醋頭家 (彰化大埔店),wc6t,2,['飲料'],False,19.0,79.0,15.0,5.0,0.9838842934266311,599
10,頂呱呱TKK (彰化站前店),qb5x,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,1.122232006607376,381
11,彰化木瓜牛乳大王 (中正總店),k0rn,1,['甜點'],True,19.0,79.0,15.0,5.0,0.7188583056777986,1092
12,品八方 (彰化金馬店),q7es,3,['港式'],False,19.0,79.0,20.0,5.0,2.074443623636817,12
13,員林南門四神湯 (彰化中正店),p7nr,2,"['湯品', '麵食', '台式']",True,19.0,79.0,15.0,5.0,0.31124011205394775,2012
14,鼎香無骨鹽酥雞,eq9k,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.3103737913962789,395
15,不時不食清鍋物,rczj,3,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,1.0079618714559164,419
16,联亭泡菜鍋 (彰化永安店),g5fz,3,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.499949832094067,1969
17,燒瓶子。大肆の鍋 (彰化店),kmi8,3,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,0.7046455134518453,246
18,21PLUS、21風味館 (彰化中正門市),mctj,3,"['歐美', '炸雞']",False,19.0,79.0,15.0,5.0,0.8548951622095606,260
19,漢林鐵板燒 (彰化中央店),z8kq,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.9381627985414271,4977
20,麥當勞 (S207 彰化曉陽店),d4iz,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,0.3156812072682996,6750
21,肯德基KFC炸雞漢堡店 (彰化中山店),a5mx,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,15.0,5.0,0.7131339093890205,2796
22,川牛木石亭 (彰化中華店),a8bh,2,"['便當', '日式']",False,19.0,79.0,15.0,5.0,0.9913551016298724,2578
23,犁田鹹酥雞 (彰化華山店),tlr0,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.7458147161667169,1188
24,瘋雞鹽酥雞2.0,z1uq,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.8773783388920339,2462
25,釜山崔炸雞 (彰化曉陽店),hkej,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,10.0,0.5115168073516854,372
26,台北江麻辣臭豆腐 (彰化曉陽店),shvt,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,0.5911124131936545,1418
27,鴨莊鴨魯飯,sq63,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,1.1375521140399674,519
28,Burger King 漢堡王 (彰化店),qvfh,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,5.0,1.1911757874786737,2071
29,方濟各牛排屋,z7cg,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.25503986902231135,1843
30,爭鮮PLUS (彰化店),yc9h,2,['日式'],False,19.0,79.0,15.0,5.0,0.6741166298949578,1268
31,燒等幾勒碳烤,z8ve,2,['小吃'],False,19.0,79.0,20.0,10.0,0.41233062635096734,1489
32,紅嬌炸粿,t6dx,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.6089750329901344,857
